ko_group	mag	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
nirK	CAN_3_bin.221	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_4_bin.116	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_5_bin.106	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_5_bin.112	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_5_bin.147	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_5_bin.177	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_5_bin.40	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	CAN_5_bin.70	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	coasm_bin.185	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	coasm_bin.260	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	coasm_bin.481	0.000000	0.000000	0.000000	0.000000	0.000000
nirK	coasm_bin.55	0.000000	0.000000	0.000000	0.000000	0.000000
norBC/nosZ	CAN_1_bin.210	1.913876	1.850724	1.840043	2.342336	1.596294
norBC/nosZ	CAN_1_bin.77	2.264979	2.376726	2.441039	2.742158	2.319440
norBC/nosZ	CAN_1_bin.98	1.404438	1.252462	1.119545	1.601179	1.052099
norBC/nosZ	CAN_2_bin.125	2.297003	1.906766	2.247382	1.365403	1.044400
norBC/nosZ	CAN_2_bin.159	1.708737	1.496092	1.430354	2.656406	1.857146
norBC/nosZ	CAN_2_bin.6	1.440510	0.705512	0.766446	1.452738	0.536589
norBC/nosZ	CAN_3_bin.203	6.816627	6.707381	7.352359	8.080723	7.316137
norBC/nosZ	CAN_3_bin.221	3.104258	3.028879	3.180186	3.931710	3.292109
norBC/nosZ	CAN_4_bin.116	0.000000	0.000000	0.000000	0.000000	0.000000
norBC/nosZ	CAN_5_bin.106	8.939460	9.737246	10.239870	9.496280	8.550571
norBC/nosZ	CAN_5_bin.112	9.270669	12.212612	13.147210	3.681473	1.829115
norBC/nosZ	CAN_5_bin.147	2.642327	2.853790	2.867744	2.485876	2.693644
norBC/nosZ	CAN_5_bin.177	2.062687	1.625034	1.883992	2.613494	1.580639
norBC/nosZ	CAN_5_bin.40	7.746846	8.966026	9.753377	3.570724	3.002707
norBC/nosZ	CAN_5_bin.70	1.301357	0.723190	0.965083	1.507333	1.611528
norBC/nosZ	coasm_bin.185	1.851626	1.440817	1.574606	1.707665	1.453876
norBC/nosZ	coasm_bin.260	5.656720	5.524415	5.689922	2.966128	2.609627
norBC/nosZ	coasm_bin.481	2.681308	2.664514	2.037685	2.865153	2.396889
norBC/nosZ	coasm_bin.55	1.494486	0.855889	0.721435	16.676768	7.591549
