asv,asv_len,rel_ab,midas_taxonomy,best_organism,best_genome_id,best_align_score,best_identity,best_edlib_distance,best_genus,best_family
00fb9aad4ff840201dfcb1ca02405c04,543,0.094334,Bacteria,Klebsiella pneumoniae 18443,573.95363,322.0,1.0,216,Klebsiella,Enterobacteriaceae
010986139ed60489250b7a421e4d63d9,370,0.000257,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae midas_g_6110 midas_s_37804,Bacillota bacterium USST_maxbin.110,1879010.10662,710.0,0.9838,6,,
010c4e8cfb1c11912d23e854660dd57b,374,0.000525,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae,Giesbergeria sp. R32x_68d_np_Bin2.16,2818473.28,613.0,0.9333,26,Giesbergeria,Comamonadaceae
011befe1668bc005622daeaefd053a7b,373,0.002022,Bacteria Patescibacteria Microgenomatia Ca_Shapirobacteria midas_f_2290,uncultured Gammaproteobacteria bacterium binchicken_co173_477,86473.2608,600.0,0.9223,29,,
012538fa4337eb1e9e3874a2e0792491,393,0.00121,Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Rhodobacter,Sediminibacterium sp. RHBRASLY1,2897834.4,760.0,0.9873,5,Sediminibacterium,Chitinophagaceae
0138936a169c4a0914606cedbcd38fa6,377,0.000476,Bacteria Actinobacteriota Actinobacteria midas_o_5 midas_f_5 midas_g_399 midas_s_18349,uncultured Actinomycetota bacterium MFD09779.bin.1.13,3039803.760,729.0,0.9867,5,,
01678bd1450874fd4ee087d0d2ee5349,371,0.000794,Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfovibrionaceae Desulfovibrio Desulfovibrio_paquesii,Desulfovibrio gigas DSM 1382 = ATCC 19364,1121448.10,707.0,0.9811,7,Megalodesulfovibrio,Desulfovibrionaceae
016fa797236db441417c96f55f929969,374,0.00154,Bacteria Bdellovibrionota Oligoflexia 0319-6G20 midas_f_9443 midas_g_9443,Oligoflexia bacterium strain T7-022_bin-565,2599941.21,668.0,0.9572,16,,
01a7c19fe64d4300e6e5a8a7280a10bb,372,0.01969,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae,Comamonas jiangduensis 4-AB0-52,1194168.15,744.0,1.0,0,Comamonas,Comamonadaceae
01e6385565684b446c620b0be139197b,543,0.137248,Bacteria,Klebsiella pneumoniae 18443,573.95363,320.0,1.0,223,Klebsiella,Enterobacteriaceae
0201ad826209ed7fb2b6de607f76957e,374,0.00132,Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae Anaerolinea midas_s_26471,Ornatilinea apprima strain P3M-1,1134406.9,673.0,0.9599,15,Ornatilinea,Anaerolineaceae
0203cb85481b6a76d794ca9f1001c499,368,0.012322,Bacteria Planctomycetota Pla4_lineage midas_o_40607 midas_f_45449 midas_g_45449 midas_s_45449,uncultured candidate division WWE3 bacterium SRR6007446_bin.103_CONCOCT_v1.1_MAG,422285.13,676.0,0.9674,12,,
024ff7a3d8178eb2902938d9b3559288,375,0.000938,Bacteria Actinobacteriota Actinobacteria midas_o_5 midas_f_5 midas_g_3281 midas_s_65744,Candidatus Nanopelagicales bacterium Prado020,2518612.91,740.0,0.9947,2,,
026170bed2fa94c8277a5244500b93cd,374,0.0011,Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Aquimonas Aquimonas_voraii,Nodosilinea sp. LEGE 07088,2777968.3,718.0,0.984,6,Nodosilinea,Nodosilineaceae
026600da36b900cf6ff6ee481b90793a,374,0.003235,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Methylophilaceae Methylotenera,uncultured beta proteobacterium MFD04716.bin.1.308,86027.1245,748.0,1.0,0,,
027118164bf6cedbd3fbb210686cc4a4,374,0.001415,Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae,Anaerolineae bacterium MS_R1_8,2052143.440,723.0,0.9866,5,,
027867aaaa14717d1963e634425f886e,372,0.002636,Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amaricoccus midas_s_4750,uncultured Alphaproteobacteria bacterium MFD05442.bin.1.280,91750.4498,719.0,0.9866,5,,
02969019e96fef0fe3e2f02f38316afa,372,0.00061,Bacteria Planctomycetota Planctomycetes Gemmatales Gemmataceae,uncultured Planctomycetaceae bacterium MFD04540.bin.2.69,100233.310,596.0,0.9227,29,,Planctomycetaceae
02b7af11150741f6de128690c4aa3340,372,0.000407,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae,Candidatus Nanopelagicales bacterium concoct.19.ELB,2518612.307,724.0,0.9892,4,,
02ba8019542c93b74df972fc25fe10af,391,0.000791,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Azospira midas_s_1294,Azonexus sp. STL-PRO91,1872668.87,756.0,0.9948,7,Azonexus,Azonexaceae
02da44e500ade6eb6bd919f883d0dd32,374,0.000425,Bacteria Chloroflexi Anaerolineae SBR1031 midas_f_12777 midas_g_50688 midas_s_50688,Anaerolineales bacterium strain H2_CFX3,2073117.45,612.0,0.9259,27,,
02f9493dbcd235f6075e0e3ae622c7ca,374,0.04206,Bacteria Acidobacteriota Holophagae Holophagales Holophagaceae midas_g_8315 midas_s_61093,uncultured Holophaga sp. c3c763bb-72ba-4188-aae9-c4b83244ba6d,188475.3,693.0,0.9706,11,Holophaga,Holophagaceae
030b136dcdd837ecdce0a7a95adc2d56,374,0.000489,Bacteria Planctomycetota OM190 midas_o_35381 midas_f_35381,Planctomycetes bacterium strain new MAG-33,2026780.437,748.0,1.0,0,,
03174ff6cb4a5f7bcc5b7e4ef924c60e,392,0.003222,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Thauera,Thauera sp. JM12B12,3142262.4,770.0,0.9949,3,Thauera,Zoogloeaceae
032641f730d95c79b76dd4cbae0c246d,375,0.000595,Bacteria Planctomycetota Planctomycetes Isosphaerales Isosphaeraceae midas_g_8808 midas_s_8808,Verrucomicrobia bacterium ADurb.Bin474,1852931.3,745.0,0.9973,1,,
033af4ac7057fa72e75b20588418c9ce,372,0.061657,Bacteria Bacteroidota Bacteroidia Chitinophagales Saprospiraceae midas_g_27875 midas_s_27875,Candidatus Paceibacterota bacterium UR_AS_maxbin.219,2053589.824,672.0,0.9624,14,,
034e485b2f313e4a9185045f02cc7220,374,0.001312,Bacteria Myxococcota Myxococcia Myxococcales Anaeromyxobacteraceae Anaeromyxobacter midas_s_42239,Myxococcaceae bacterium MAG_AAO_H10.6,2484252.86,718.0,0.984,6,,Myxococcaceae
0352c42e74bd96a671fe5854263a5f5e,378,0.001111,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae,Methanobrevibacter sp. CTOTU7683,66852.198,756.0,1.0,0,Methanobrevibacter,Methanobacteriaceae
038885272dbaefde0423e01959faac01,369,0.000607,Bacteria Patescibacteria Microgenomatia Ca_Collierbacteria midas_f_28139 midas_g_57021 midas_s_57021,uncultured Pseudomonadales bacterium SRP119689_co1_317,332614.293,525.0,0.8868,42,,
039bd133ce59253899414b6c8ba6d67e,372,0.230415,Bacteria Bacteroidota Ignavibacteria SJA-28 midas_f_31 midas_g_55441 midas_s_55441,Ignavibacteria bacterium SMAG_U6915,2053306.284,642.0,0.9464,20,,
039cb9ac8d5af2c99ca408814ddc77d1,374,0.003842,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Thauera,Thauera sp. JM12B12,3142262.4,743.0,0.9973,1,Thauera,Zoogloeaceae
03ba4c458f3389eca8eb21b22290ed10,373,0.004246,Bacteria Desulfobacterota Syntrophorhabdia Syntrophorhabdales Syntrophorhabdaceae Syntrophorhabdus,Deltaproteobacteria bacterium RA.bin14,2026735.1906,736.0,0.9946,2,,
03bed64096e13e23200fd80d0ae715cb,375,0.00047,Bacteria Patescibacteria Saccharimonadia Saccharimonadales midas_f_5391 midas_g_5391 midas_s_5391,Candidatus Saccharimonadia bacterium XM1_ASGE3bin.33,2890869.72,541.0,0.8912,41,,
03d60eb1912411d9516686d1c0e8d77a,374,0.005424,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Thauera,Thauera sp. JM12B12,3142262.4,743.0,0.9973,1,Thauera,Zoogloeaceae
03ed5312cd679b937d3c7931ab12461a,372,0.000607,Bacteria Chloroflexi Anaerolineae RBG-13-54-9,Anaerolineaceae bacterium 6_bin.133,2024896.394,542.0,0.8928,41,,Anaerolineaceae
03f4e6a353b02382d205f0d832831e81,370,0.0005,Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Macellibacteroides,Macellibacteroides fermentans ZNE14_Bin9,879969.11,735.0,0.9973,1,Macellibacteroides,Porphyromonadaceae
03f77fdbf7ce18584760066d1364d36c,376,0.001574,Bacteria Patescibacteria Microgenomatia Ca_Pacebacteria midas_f_46393 midas_g_46393 midas_s_46393,uncultured Candidatus Saccharibacteria bacterium SRR3330208_bin.157_CONCOCT_v1.1_MAG,179883.460,727.0,0.9867,5,,
03fd988de7a0981d1db2c0b6d206c259,373,0.027864,Bacteria Proteobacteria Alphaproteobacteria Micavibrionales midas_f_2019 midas_g_2019 midas_s_51741,Pseudobdellovibrionaceae bacterium BF4_112,2026715.109,701.0,0.9759,9,,Pseudobdellovibrionaceae
040c74eae6a3629f697268413ded437a,372,0.000502,Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Pleomorphomonadaceae midas_g_7101 midas_s_34709,Pinisolibacter sp. MA2-2,2891943.3,694.0,0.9731,10,,
042ad52e2c8d4dce2d2cc2e796463849,370,0.00732,Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Flavobacterium,Flavobacterium ummariense strain DS-12,913024.3,700.0,0.9784,8,Paenimyroides,Flavobacteriaceae
0435b3a5879a68e5afbc66915ecda61d,369,0.100678,Bacteria Bacteroidota Bacteroidia Cytophagales Spirosomaceae Lacihabitans,Cytophagaceae bacterium strain Ribe_18-Q3-R11-54_MAXAC.058,2026729.16,728.0,0.9946,2,,Cytophagaceae
04790f5aba82b91059a546812ad694dc,369,0.001574,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Fusibacteraceae Fusibacter midas_s_29079,uncultured candidate division WWE3 bacterium SRR6007446_bin.103_CONCOCT_v1.1_MAG,422285.13,738.0,1.0,0,,
0480b6a16673d25ac01d1da0b2833512,374,0.101914,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Sulfuritalea midas_s_22252,uncultured Pseudomonadota bacterium MFD04716.bin.2.51,153809.1471,738.0,0.9947,2,,
0493af645ecdf91cff6896ec5d5aca21,372,0.000478,Bacteria Proteobacteria Alphaproteobacteria,uncultured Alphaproteobacteria bacterium strain Umea_bin-10455,91750.678,481.0,0.8636,51,,
049a47aba1aa118b203038be18526b1b,368,0.004044,Bacteria Bacteroidota Ignavibacteria SJA-28 midas_f_31 midas_g_171,Ignavibacteria bacterium AS-MICRO-OLR.79,2053306.302,731.0,0.9973,1,,
049e6f182990799b700d79450499710f,372,0.029903,Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Ensifer midas_s_40162,Ensifer adhaerens strain W2-A26,106592.67,744.0,1.0,0,Ensifer,Rhizobiaceae
04bc2a095282907ef4df7a2a9447166f,374,0.001726,Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae midas_g_467 midas_s_1462,Oligoflexia bacterium RA_AS_maxbin.396_sub,2599941.90,748.0,1.0,0,,
04c76aef3814297a297700d39de56c6c,370,0.130689,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae midas_g_39476 midas_s_54616,Spirochaetota bacterium SOY_31_metabat_206,2202144.358,695.0,0.9757,9,,
04cf15134dd14ddeb54a2e95c09d4349,370,0.001411,Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Sphingobacterium midas_s_116344,Sphingobacterium nematocida strain DSM 24091,1513896.4,740.0,1.0,0,Sphingobacterium,Sphingobacteriaceae
04dee080600d54204c5137107b0f3bc7,372,0.000397,Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae,Nitratireductor kimnyeongensis KACC 11904,430679.7,539.0,0.8898,41,Nitratireductor,Phyllobacteriaceae
04f5c0bee93d6ee05c38c74e0bc674ce,372,0.003487,Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Paracoccus,Paracoccus sp. (in: a-proteobacteria) R32x_68d_np_Bin2.8,267.50,729.0,0.9919,3,Paracoccus,Paracoccaceae
04f675d15a1bc17e4b7e8c7893e1a816,374,0.002381,Bacteria Planctomycetota Phycisphaerae Phycisphaerales Phycisphaeraceae SM1A02,Bryobacteraceae bacterium strain co.spades.DASTOOL.1kb_086,2212468.23,678.0,0.9626,14,,Bryobacteraceae
04f9300ab6041a85696e8ea5a232b1cb,372,0.015232,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae Inhella midas_s_16241,Inhella inkyongensis strain IMCC1713,392593.4,739.0,0.9973,1,Inhella,Sphaerotilaceae
0501fa310449443c35bacacdd60bbf34,391,0.039169,Bacteria Proteobacteria Gammaproteobacteria Competibacterales Competibacteraceae Ca_Competibacter midas_s_198,uncultured Gammaproteobacteria bacterium MFD09964.bin.1.117,86473.1588,775.0,0.9974,2,,
0502fdd9c919fd2982a93b66cda6697d,372,0.000404,Bacteria Firmicutes Bacilli Bacillales midas_f_83150 midas_g_83150 midas_s_117738,Bacteroidota bacterium JPAS_maxbin.122_sub,1898104.3469,428.0,0.8333,64,,
051d14c7d7e9a5358e8da8a52b48bca3,370,0.001005,Bacteria Bacteroidota Bacteroidia Bacteroidales Marinilabiliaceae,Geofilum sp. HF401 strain HF401,1965019.3,675.0,0.9649,13,Geofilum,Marinilabiliaceae
0522f424a0ae2c7f046c5bcafebbc0ca,374,0.007076,Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae Ca_Villigracilis,uncultured bacterium CTOTU24522,77133.18342,738.0,0.9947,2,,
0528c8d6cf081ba719cf96cb550150fb,374,0.069188,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Azonexus midas_s_1978,Dechloromonas sp. XY25,2908002.3,733.0,0.992,3,Dechloromonas,Azonexaceae
053bd1513e7a8fbb621acfa37d09c4b2,370,0.01202,Bacteria Bacteroidota Bacteroidia,Bacteroidia bacterium UR_AS_maxbin.241_sub,2044936.833,463.0,0.8518,55,,
05797ff5d08a4c360d45bd689238c2f1,370,0.000938,Bacteria,uncultured Candidatus Saccharibacteria bacterium SRR3330208_bin.157_CONCOCT_v1.1_MAG,179883.460,215.0,0.7282,105,,
057bcefe7d185d0daf7b610144b1fa59,374,0.049875,Bacteria Chloroflexi Chloroflexia Thermomicrobiales JG30-KF-CM45 midas_g_859,Thermomicrobiales bacterium ACE_NR_CHLO14,2482790.55,743.0,0.9973,1,,
05b92f31a7635c80f9228282dfe2b96b,374,0.035234,Bacteria Chloroflexi Anaerolineae SBR1031 Flexifilaceae midas_g_25102,Chloroflexi bacterium strain Fred_18-Q3-R57-64_MAXAC.112,2026724.1150,534.0,0.8859,43,,
05c2b2196ce76f5eab58355bd11f5964,386,0.001494,Bacteria Patescibacteria Gracilibacteria JGI_0000069-P22 midas_f_15723 midas_g_61007 midas_s_61007,Candidatus Gracilibacteria bacterium STE_160,2044595.218,707.0,0.9663,13,,
05fd476024a64f2da18888c8cd557724,391,0.000305,Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Terrimonas,Chitinophagales bacterium strain UWPOB_CHIT3,2448779.36,760.0,0.9948,4,,
060668a761747dc3cbb3600cf5edeb83,371,0.000809,Bacteria Verrucomicrobiota Omnitrophia Omnitrophales Omnitrophaceae Ca_Omnitrophus midas_s_102753,uncultured Planctomycetales bacterium SRP089250_co1_128,100371.179,672.0,0.9623,14,,
0620149226837b0dc24e722a745740cf,372,0.002179,Bacteria Planctomycetota Planctomycetes Planctomycetales Rubinisphaeraceae SH-PL14,Planctomycetaceae bacterium STL-PLA46,2026779.942,729.0,0.9919,3,,Planctomycetaceae
06288435b328d35994bcc8f72ea0fc3a,370,0.143133,Bacteria Bacteroidota Bacteroidia Bacteroidales Bacteroidetes_vadinHA17,Bacteroidetes bacterium strain Mari_18-Q3-R65-66_MAXAC.224,1898104.640,730.0,0.9946,2,,
062e7dbc610b8b01dd84f42a754d5060,370,0.010311,Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Terrimonas,Chitinophagaceae bacterium AS_Ams2_Bin4,1869212.1133,740.0,1.0,0,,Chitinophagaceae
063669beab0e471ace7cbc32283416e9,372,0.018803,Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae Brevundimonas,Brevundimonas sp. EA21-04,1871086.331,744.0,1.0,0,Brevundimonas,Caulobacteraceae
0639fb06d056d80fbc504c42c4169a68,371,0.003202,Bacteria Bacteroidota Bacteroidia Cytophagales Spirosomaceae Persicitalea midas_s_51357,Ravibacter arvi JCM 31920,2051041.3,622.0,0.9353,24,Ravibacter,Spirosomataceae
063e3c61d923929c5cba4b90a947805a,374,0.206766,Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae Ca_Villigracilis Ca_Villigracilis_propinquus,Anaerolineales bacterium BIN21,2073117.781,743.0,0.9973,1,,
065262b748557031f638872e76923c72,372,0.018216,Bacteria Proteobacteria Alphaproteobacteria Reyranellales Reyranellaceae Reyranella Reyranella_massiliensis,Proteobacteria bacterium REYR1,1977087.1560,744.0,1.0,0,,
0654e615fe3e9b0487505848dc4dbb78,372,0.002645,Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Mesorhizobium midas_s_13110,Rhizobiaceae bacterium ACE_NR_PROT7,1913961.66,739.0,0.9973,1,,Rhizobiaceae
065a98742b20d730265fb45221fd34c4,372,0.033994,Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Paracoccus,Paracoccus lutimaris strain CECT 8525,1490030.4,744.0,1.0,0,Paracoccus,Paracoccaceae
06894625cc4725640c9c1bba0d9aefc8,372,0.001466,Bacteria Proteobacteria Alphaproteobacteria Defluviicoccales Defluviicoccaceae Defluviicoccus midas_s_3306,Verrucomicrobiae bacterium RA_AS_maxbin.390,2499141.287,739.0,0.9973,1,,
06c4ab89a8abc60620b11d6b8eea8592,376,0.001501,Bacteria Actinobacteriota Acidimicrobiia Microtrichales Ilumatobacteraceae CL500-29_marine_group,Ilumatobacteraceae bacterium binned_ad_9.196,2497619.239,742.0,0.9947,2,,Ilumatobacteraceae
06ccbfa9dbe3fb9fac793fe2c480825c,374,0.012446,Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae Anaerolinea midas_s_26471,Ornatilinea apprima strain P3M-1,1134406.9,673.0,0.9599,15,Ornatilinea,Anaerolineaceae
06d64517fda152cd491385c24677d09a,543,0.324149,Bacteria,Klebsiella pneumoniae 18443,573.95363,322.0,1.0,217,Klebsiella,Enterobacteriaceae
06e148ad8b35489ea97e51ef733e9550,370,0.001313,Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Macellibacteroides,Macellibacteroides fermentans ZNE14_Bin9,879969.11,740.0,1.0,0,Macellibacteroides,Porphyromonadaceae
06e4bf90950ed9dead32a26e0b26aa88,374,0.000563,Bacteria Bdellovibrionota Bdellovibrionia Bdellovibrionales Bdellovibrionaceae Bdellovibrio midas_s_84868,Bdellovibrionales bacterium ND5_Bin_38_2,2053517.215,638.0,0.9412,22,,
06e777dc86f294846df60a1bdcfe6530,369,0.002329,Bacteria Bacteroidota Bacteroidia Cytophagales Spirosomaceae Leadbetterella,Candidatus Paceibacterota bacterium UR_AS_maxbin.219,2053589.824,696.0,0.9783,8,,
06f43456e63206281ba1162e4e6d66d4,374,0.001196,Bacteria Proteobacteria Gammaproteobacteria Run-SP154 midas_f_27 midas_g_5853 midas_s_8467,Gammaproteobacteria bacterium Bin_66_3,1913989.2461,718.0,0.984,6,,
06f8906355750050f44895281f3523fb,370,0.000809,Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Pedobacter,Daejeonella sp. H1SJ63,3034145.3,730.0,0.9946,2,Daejeonella,Sphingobacteriaceae
0706c8897410dc86c4fe695f43953448,374,0.000733,Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae Neochlamydia midas_s_82383,Parachlamydiaceae bacterium MAG_MBR_H125.37,2052176.23,703.0,0.9759,9,,Parachlamydiaceae
070f6743fd9c43985346d7912cd11526,374,0.003235,Bacteria Proteobacteria Gammaproteobacteria Coxiellales Coxiellaceae Coxiella midas_s_76325,Gammaproteobacteria bacterium GD-1,1913989.6082,738.0,0.9947,2,,
0717fa5cad93ab5cb1a3e9929e7014c1,392,0.000489,Bacteria Desulfobacterota Desulfuromonadia PB19 midas_f_1334 midas_g_1334 midas_s_22378,Gemmatimonadaceae bacterium maxbin.174_sub,2026741.100,765.0,0.9873,5,,Gemmatimonadaceae
071b20ea2fe191bc56e1001e3c3ef244,372,0.014495,Bacteria Proteobacteria Gammaproteobacteria Competibacterales Competibacteraceae Ca_Competibacter midas_s_198,uncultured Gammaproteobacteria bacterium MFD09964.bin.1.117,86473.1588,739.0,0.9973,1,,
07246a1fc2c2fed9e54374f5ee46c333,375,0.050561,Bacteria Actinobacteriota Actinobacteria Micrococcales Intrasporangiaceae,Ornithinibacter aureus strain DSM 23364,622664.3,750.0,1.0,0,Ornithinibacter,Intrasporangiaceae
0740074747aaa37414ce56733c3f3259,372,0.020576,Bacteria Proteobacteria Gammaproteobacteria Competibacterales Competibacteraceae Ca_Competibacter midas_s_198,uncultured Gammaproteobacteria bacterium MFD09964.bin.1.117,86473.1588,739.0,0.9973,1,,
074805110994d976b97dcfaeb0ad4352,378,0.000527,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae,Methanobrevibacter arboriphilus strain SA,39441.6,751.0,0.9974,1,Methanobrevibacter,Methanobacteriaceae
07640d1fcdb6b920c0b4257f7c9c028e,374,0.000868,Bacteria Myxococcota Polyangia Polyangiales Phaselicystidaceae Phaselicystis midas_s_52974,Polyangiaceae bacterium strain AalW_18-Q3-R10-53_BATAC.388,2268199.15,728.0,0.9893,4,,Polyangiaceae
0770fd1ca9e37cef3ffdf1ba2abc344f,374,0.0008,Bacteria Chloroflexi Chloroflexia Thermomicrobiales JG30-KF-CM45 midas_g_859,uncultured Chloroflexia bacterium MFD05442.bin.2.324,1672391.187,743.0,0.9973,1,,
07c181c387580192eace1408605a1b7c,373,0.000617,Bacteria Proteobacteria Gammaproteobacteria Diplorickettsiales Diplorickettsiaceae midas_g_59492 midas_s_76389,uncultured Pseudomonadota bacterium MFD02832.bin.3.194,153809.1225,596.0,0.92,30,,
07c684ece86de1b12bf432870683e62b,373,0.00144,Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingobium,Sphingobium subterraneum strain DSM 102255,627688.3,746.0,1.0,0,Sphingobium,Sphingobiaceae
07d3708e3046a2846a0b1cc67846a658,376,0.013011,Bacteria Chloroflexi Chloroflexia Chloroflexales Herpetosiphonaceae Herpetosiphon Herpetosiphon_aurantiacus,Herpetosiphon gulosus NBRC 112829,1973496.3,747.0,0.9973,1,Herpetosiphon,Herpetosiphonaceae
07d8bf1afa43126d7ab9ca4fefad8259,390,0.003451,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae,Giesbergeria sp. R32x_68d_np_Bin2.16,2818473.28,760.0,0.9898,4,Giesbergeria,Comamonadaceae
0803dcf438801c4492629e7ca94cca2e,370,0.001415,Bacteria Spirochaetota Spirochaetia Spirochaetales Spirochaetaceae Spirochaeta,Spirochaeta lutea JC230,1480694.8,580.0,0.9135,32,Spirochaeta,Spirochaetaceae
080c84745ca48dd0e7ef7580df83bafb,370,0.001245,Bacteria Bacteroidota Bacteroidia Bacteroidales Marinilabiliaceae,Geofilum sp. HF401 strain HF401,1965019.3,675.0,0.9649,13,Geofilum,Marinilabiliaceae
0814110fd0410b6f675526dc4d4a32fb,371,0.000762,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Romboutsia,Romboutsia sp. CE17,2724150.3,737.0,0.9973,1,Romboutsia,Peptostreptococcaceae
081f8228264f0575df0146e28439e003,374,0.002224,Bacteria Firmicutes midas_c_4 midas_o_7 midas_f_118715 midas_g_118715 midas_s_118715,Bacillota bacterium JPNG_maxbin.051,1879010.10762,563.0,0.9011,37,,
