asv,best_identity,rel_ab,shared_of_20,raw_overlap_pct,score_aware_overlap_pct,midas_tail
80c0442c351dd90fed3a3a4003060d02,0.8152,0.002444,3,15.00,15.00,Bacteria
81e951fa3bbca03a1188bb6d282d031c,0.6897,0.008253,3,15.00,20.00,Bacteria
8317562ebc444858349cc0b5230ccc00,0.6897,0.001587,3,15.00,20.00,Bacteria
85bca76ce4d392240944116ba5861980,0.8152,0.001111,3,15.00,15.00,Bacteria
8efe2ca0e38bbfa667bbc4205e885149,0.8152,0.001547,3,15.00,15.00,Bacteria
fa1dd707401ef7b8d0f0aae044f3d9e7,0.8152,0.001889,3,15.00,15.00,Bacteria
00db0c0419e71a3222dc483990c535b9,1.0000,0.153785,4,20.00,20.00,Bacteria
00fb9aad4ff840201dfcb1ca02405c04,1.0000,0.094334,4,20.00,20.00,Bacteria
01e6385565684b446c620b0be139197b,1.0000,0.137248,4,20.00,20.00,Bacteria
06d64517fda152cd491385c24677d09a,1.0000,0.324149,4,20.00,20.00,Bacteria
0d5684084754718a1d7b73e9dcf98774,0.8173,0.001858,4,20.00,20.00,Bacteria
0fc7f7c3041ddcb9a84bc04e7ab692c9,1.0000,0.247764,4,20.00,20.00,Bacteria
17c65f6cfd231e0c9e406790d9d3a1aa,1.0000,0.205522,4,20.00,20.00,Bacteria
19c857b22d546bef9380ac77c4e966b2,1.0000,0.262875,4,20.00,20.00,Bacteria
24213db804e55e47a3bf42bcad5d39c8,0.8173,0.001190,4,20.00,20.00,Bacteria
2de4388ce0c4a7c0ebf33ffecf2833a6,1.0000,0.176811,4,20.00,20.00,Bacteria
2ea260fa05c7b7d6c26b6f1c210ab480,1.0000,0.512926,4,20.00,20.00,Bacteria
35c223d822e53d52a1ebdc52dd7e2aa6,1.0000,0.387570,4,20.00,20.00,Bacteria
396eda642a103099dcd076571d336a4f,1.0000,0.209476,4,20.00,20.00,Bacteria
4683ce2d7b946ec221cd2f31b8fbddba,0.8221,0.000952,4,20.00,20.00,Bacteria
49ab3361f8a135a616b6e56b9bae715c,0.8221,0.003400,4,20.00,20.00,Bacteria
629e04f85038d16a624e0bb20529ccba,0.8221,0.002592,4,20.00,20.00,Bacteria
67e6b5fb391a2cf333fcaaf3355a2aae,1.0000,0.176811,4,20.00,20.00,Bacteria
7116bed927bbdaf0240846a104ac07ee,0.8293,0.000500,4,20.00,25.00,Bacteria
76da683c7b87cc132359e85e4d6b665c,1.0000,0.162095,4,20.00,20.00,Bacteria
7b52f68db73cd04e4b8e7d818fce4701,0.7937,0.000257,4,20.00,25.00,Bacteria
83622ee831a53b5795dca453bc597a5a,0.8221,0.001539,4,20.00,20.00,Bacteria
862ec4f66343b35b148d8435e049742d,1.0000,0.246854,4,20.00,20.00,Bacteria
9b13e5021d68ef93844f65f09f57923c,0.9519,0.131261,4,20.00,20.00,Bacteria
9b48b70ea2b0fd754aeb65f48f98bfc5,0.7534,0.000993,4,20.00,30.00,Bacteria
a1af46c6171033e48f05d0a8cf37960c,1.0000,0.156334,4,20.00,20.00,Bacteria
a5866514aeec22a7e1ef6b551fbc51c4,0.8221,0.001545,4,20.00,20.00,Bacteria
b62cc31b5ab7e4b588b7c4c8e87a5565,1.0000,0.143392,4,20.00,20.00,Bacteria
bad3678daf87cf1036da3cc02c47842a,1.0000,0.204339,4,20.00,20.00,Bacteria
bf27583a7d2920cbf7a3dd2ca3cdbe1c,1.0000,0.189221,4,20.00,20.00,Bacteria
c3e6a4d92e551d79b031203f4fcf71bb,1.0000,0.280042,4,20.00,20.00,Bacteria
c8fe99c6faa517e87039c1e485be2b7c,1.0000,0.278817,4,20.00,20.00,Bacteria
cd5a90e48ecab9609ecaaeee72c17cfb,1.0000,0.244917,4,20.00,20.00,Bacteria
dc72d9f5977d2189d1b3c9893811724d,0.8009,0.001486,4,20.00,20.00,Bacteria
de4090c830fababc6ced64b1c6e4b735,1.0000,0.156334,4,20.00,20.00,Bacteria
e18d508d7c9da79f55e6c71fc498cb02,1.0000,0.124906,4,20.00,20.00,Bacteria
ec8d76047007f031188c2bd78d4eaa6d,1.0000,0.099751,4,20.00,20.00,Bacteria
ee1ff1dc0dd8d21601dcda9a5936a436,1.0000,0.173052,4,20.00,20.00,Bacteria
eef646ce737d72b0aa1a8c0ec4525af2,1.0000,0.210742,4,20.00,20.00,Bacteria
f8b8054859951df3c0593ba759b10654,1.0000,0.138356,4,20.00,20.00,Bacteria
f8f0c664ff7039f9883ef5a392b9a63e,1.0000,0.112416,4,20.00,20.00,Bacteria
f9064f30857bcc580608baa5095caa79,1.0000,0.244952,4,20.00,20.00,Bacteria
fc77b6329439fa3c5b2e72bc704130c8,1.0000,0.274314,4,20.00,20.00,Bacteria
346805d4d19b3978691caa8f86c5cfbf,0.8293,0.000498,5,25.00,35.00,Bacteria
6e2b6abbb72e3973b56c9a0790e3e63e,1.0000,0.178171,5,25.00,30.00,Bacteria
709114ac57082fe5edb58b1a3f574458,0.8221,0.001281,5,25.00,25.00,Bacteria
88c682d86d5979e60d9f98cac1436714,1.0000,0.031867,5,25.00,25.00,Bacteria
c162d5a1b4b395e4aca298053ba70363,0.9465,0.212509,5,25.00,25.00,Bacteria
c60d470e449d6f9d60579f6824a3b314,0.8293,0.000617,5,25.00,35.00,Bacteria
f77b0d2585041bda6fc6c32a34efabfa,0.8293,0.012389,5,25.00,35.00,Bacteria
53a95a6c56eafdc9d4117dc7572c016c,0.7959,0.018736,6,30.00,45.00,Bacteria
8ad6d06a0dcc9d3fbb946a22225278df,1.0000,0.018867,6,30.00,30.00,Bacteria
00dd8e42dc15418793a226b9e5a15faf,0.7174,0.001196,7,35.00,65.00,Bacteria
a90eaf1a46ab8017fbe63130eff2fc01,0.8333,0.000651,7,35.00,35.00,Bacteria
b860c06c26ea7ff16406b9aef4ec0340,0.7120,0.000375,7,35.00,65.00,Bacteria
d5d08460890e015cada4e235e7f83a94,1.0000,0.049327,7,35.00,35.00,Bacteria
db0d2bf7b96d4430d6b5d3fc5f364e47,0.8344,0.000915,7,35.00,60.00,Bacteria
6e1e69886157c9df0862d02621fa082d,0.8408,0.000489,8,40.00,65.00,Bacteria
7dfda645fe03997c478210f17df9db15,0.7174,0.000815,8,40.00,70.00,Bacteria
c6d62e2937c5377fc30542368a7b105c,0.7278,0.002224,10,50.00,80.00,Bacteria
4123d8b297bfb313e838243a51ae59b5,0.7677,0.000687,11,55.00,70.00,Bacteria
40bc2d42f1b4e06b6cacb266164e3ef3,0.9848,0.000436,12,60.00,100.00,midas_s_11131
835349c4f0b6ca49252ebf56af09f869,0.7128,0.000654,12,60.00,75.00,Bacteria
fdc664639ba2f8551a6f2e16e60c3b84,0.7267,0.000805,12,60.00,95.00,Bacteria
89e53eacc3f92ffd4d51d8038b48f425,0.8301,0.002022,13,65.00,95.00,Bacteria
1a9780bf1c30e8e1780127857e86e643,0.8276,0.014978,14,70.00,70.00,Bacteria
5aed197679198ad0c5c2cab57f631d0e,0.9964,0.019733,14,70.00,70.00,midas_s_25511
90a7b01da42a833e054a8ee9a60395af,0.9920,0.000291,14,70.00,100.00,Enterobacteriaceae
95e21d61b09a2f177bbd8ef029e75ad6,0.7723,0.001689,14,70.00,80.00,Bacteria
b6659ef305819aabacf82fa333d503b6,0.9964,0.021140,14,70.00,70.00,midas_s_25511
bab0ed3035ce36c68a5744f9c71b85ad,0.8276,0.168566,14,70.00,70.00,Bacteria
eb56f0d3939546db4d0dedcbde1d36a1,0.9946,0.003056,14,70.00,100.00,Enterobacteriaceae
6786956e5d741de3549e1c89e3a608b0,0.9326,0.000525,16,80.00,100.00,midas_g_85764
91348d63117b9aaa68fa33d1cf0ac077,0.7048,0.000794,16,80.00,90.00,midas_g_25076
bf801383d7e87f1565f57f0d95149ad8,0.9864,0.002857,16,80.00,90.00,midas_s_116209
e28a53202ff0677d3a36b748e4ea7204,0.7076,0.000489,16,80.00,95.00,Bacteria
e6a7dffbdc6ce1194eb95aa242f90625,0.7372,0.000791,16,80.00,85.00,midas_s_120143
141ed0dbc1503f7d445e17f477dbd9ee,0.9115,0.044934,17,85.00,90.00,Bacteria
5a69c1b436717e60011823957a98792e,1.0000,0.001054,17,85.00,100.00,midas_s_17510
a76631b9e04eed439fbb4c95e80b6dbe,0.9293,0.000740,17,85.00,100.00,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ad12436b2909aaea909f7c55d9c07e1d,0.7424,0.014368,17,85.00,100.00,midas_s_100664
f8e0faa0efb532934d600f4216fe24a9,0.9973,0.002099,17,85.00,95.00,midas_s_11214
04dee080600d54204c5137107b0f3bc7,0.8898,0.000397,18,90.00,100.00,Rhizobiaceae
060668a761747dc3cbb3600cf5edeb83,0.9623,0.000809,18,90.00,90.00,midas_s_102753
0b33bd30acb8030dc0b722e6e2783816,0.8757,0.002117,18,90.00,100.00,midas_s_7080
1152f6add612b87370db0ab4431ce219,0.8099,0.000527,18,90.00,95.00,Bacteria
22a8878d65414c6f84ae21a8b0ea58f2,0.9708,0.007015,18,90.00,95.00,Bacteria
28bdca1534c4ef35bc8e5c439f0fc4b5,0.8943,0.015396,18,90.00,100.00,Bacteria
28e2a006adff328490c58a4ac4462fd3,0.9568,0.011961,18,90.00,100.00,midas_s_44956
3179097cec67cf61dd26558cebd8a692,0.9299,0.000470,18,90.00,90.00,Zoogloea
37946f40ffae43c5efe8a25c736d6355,0.9973,0.013353,18,90.00,90.00,midas_g_9416
38f975a085b480ef58264fa6d54c4630,0.9746,0.059744,18,90.00,100.00,Bacteria
5024c37341f679e9d7add57316b32160,1.0000,0.003163,18,90.00,100.00,midas_s_11214
5731cfdeed260eb467e032ef6ffcb6f7,1.0000,0.031172,18,90.00,100.00,Bacteria
5b4676d996816a7ecafd1d3a4e823766,0.8583,0.017230,18,90.00,95.00,midas_s_43884
6317629dfbe0e4805dd5a24aa87bf155,0.9355,0.000404,18,90.00,100.00,midas_g_1955
68d8ed7c8b41a1f6e461674c4d220b5a,1.0000,0.001486,18,90.00,100.00,Mycobacterium
6b1eaa17f54e2143e94e87e3a5d52093,0.9973,0.001340,18,90.00,100.00,midas_s_11214
6da80d4e7c7e2bdc35722de865d272af,0.9746,0.036258,18,90.00,100.00,Bacteria
7387a84d75b472328da80139ec6ea4c4,0.9568,0.018030,18,90.00,100.00,midas_s_44956
752816d35abeff51623f1d41da3195e0,0.8939,0.001820,18,90.00,100.00,Bacteria
75e18934be37209a093fccd91b5fd572,0.9831,0.077301,18,90.00,100.00,Bacteria
7f424c736e48bb174c1350c46a378a9a,0.9378,0.001601,18,90.00,95.00,midas_s_116209
85378f305b0641620475dcd4d7f5647d,1.0000,0.001913,18,90.00,95.00,Bacteria
9180b8e95198bc9b6029a6a95ba84e2d,1.0000,0.000470,18,90.00,95.00,midas_g_13131
94285fbe9c0b5fbbdfeb330126791b1c,0.9576,0.040802,18,90.00,100.00,Bacteria
9a6f77574162e1aa671fe214cbde4b59,0.8786,0.000938,18,90.00,100.00,midas_s_7080
aba45fa814b1f66ccf89dd19d0905f72,0.9784,0.000478,18,90.00,90.00,midas_f_49881
abb606f4206f008ff9e3c29222d9b4bb,0.9733,0.019690,18,90.00,100.00,midas_s_67231
afdfe39510e78bcb087e4c04f7890d5e,1.0000,0.000257,18,90.00,100.00,midas_s_198
b0f54603be7b9a66fced41b4c9e8d380,0.9759,0.005177,18,90.00,100.00,midas_s_67231
b6aad32851d90af36e41f27ddd2402fc,0.9595,0.060024,18,90.00,100.00,midas_s_44956
b7f74040869199a20280aedf96cb1da9,0.9485,0.015375,18,90.00,95.00,midas_s_116209
c02b937044bdecbae864fc14bb4099f4,0.8660,0.000604,18,90.00,100.00,midas_s_80133
dabc9f9604ba21ee96d2587a53735805,0.8590,0.000986,18,90.00,100.00,midas_s_50550
db6c7ce1a37e8601f346ff1365721965,0.9831,0.078271,18,90.00,100.00,Bacteria
f291b04e088de724fc023a7a2408b73f,0.9864,0.000794,18,90.00,90.00,midas_s_116209
f5a5bc3fc7c2468c4930ee99c7749ed1,0.9893,0.000440,18,90.00,90.00,midas_g_13131
fdfc9e69d2e2c637b744e8c0eb8904cb,0.9679,0.000493,18,90.00,90.00,midas_s_44926
030b136dcdd837ecdce0a7a95adc2d56,1.0000,0.000489,19,95.00,100.00,midas_f_35381
033af4ac7057fa72e75b20588418c9ce,0.9624,0.061657,19,95.00,100.00,midas_s_27875
0639fb06d056d80fbc504c42c4169a68,0.9353,0.003202,19,95.00,100.00,midas_s_51357
070f6743fd9c43985346d7912cd11526,0.9947,0.003235,19,95.00,95.00,midas_s_76325
07d3708e3046a2846a0b1cc67846a658,0.9973,0.013011,19,95.00,95.00,Herpetosiphon_aurantiacus
08409eb55d39ef45b31d93c3d30fd901,0.9706,0.000986,19,95.00,95.00,midas_f_216
09a4781a19669568e2550e5209a15310,0.9482,0.001115,19,95.00,95.00,Izemoplasmataceae
0bf149a521f4703877030dd4a5400fb7,0.9813,0.001011,19,95.00,95.00,midas_f_2010
0d11d6a8712cae5d455a294b5d6c0c85,0.8743,0.000478,19,95.00,100.00,midas_s_113571
0d6c28aa5b3430bb5d8204eefa258c3c,0.9407,0.258640,19,95.00,100.00,midas_s_51357
0e9f69e7329a21af2062fe981a08f388,0.7387,0.001677,19,95.00,100.00,midas_s_56486
1149cb2d4d4f437a0029b2b75171e141,1.0000,0.001111,19,95.00,100.00,Pseudopelobacter
1259ec9a253d79f3ff2dd32c3052bf53,0.9486,0.025156,19,95.00,95.00,Leadbetterella
150625307cd503954ff7abb066c4c3fb,0.9328,0.000617,19,95.00,100.00,midas_s_56280
1729a5333f4900973fb4ca061b9201f5,0.9272,0.000493,19,95.00,95.00,midas_s_69387
180574bdcb92469c5ca92ca54bcff786,0.9225,0.000809,19,95.00,100.00,midas_s_119092
1842ef039a9dc8050ad14908ce1cf256,0.9672,0.000434,19,95.00,100.00,midas_s_100370
18784b0b6521305af0b3902fe294cc16,0.7874,0.012005,19,95.00,100.00,midas_s_113674
1c958b3f63ec46d9ff95e6d5b2e8460c,0.9326,0.000607,19,95.00,100.00,Omnitrophaceae
1fea5ce3c0cf928345d17af098c9d695,0.7848,0.000595,19,95.00,100.00,midas_s_113674
200727417d50397946def5cc625b303c,0.9595,0.012446,19,95.00,100.00,midas_s_58746
205315dbeb3b10d644e640345acfd1cd,0.9545,0.001011,19,95.00,95.00,midas_s_114539
2136e957bd8bf484e0b98998e45bc9fe,0.9788,0.026903,19,95.00,95.00,midas_g_10951
2429cd6f0fe0d95df344c1852f732a3c,0.9599,0.002491,19,95.00,100.00,midas_s_45403
25cdbc2e9bb078ad00a68839ca3dd009,0.9626,0.181598,19,95.00,100.00,Anaerolinea
260d439ee8d7ae86e61a81c833b8529a,0.8162,0.001666,19,95.00,100.00,Mitochondria
270627d3212731c2b2ef818a4d511844,0.9280,0.015897,19,95.00,100.00,midas_s_87076
28353afe1c834630c711d5e68a3f9f5e,0.9973,0.000375,19,95.00,95.00,midas_g_6328
2a4969aabd4d443104a7903122d43131,1.0000,0.004537,19,95.00,95.00,midas_s_19225
2ae3562e8955beb3652525b8da4fe85a,0.9866,0.018583,19,95.00,100.00,midas_s_19225
2dc055ff0870e6513b40c70a2cf467c6,0.9299,0.000607,19,95.00,95.00,midas_g_96711
2e343082f387ca02451d70bebad85c3e,0.9496,0.001415,19,95.00,100.00,midas_s_39974
2eeeae8f52e8ca2c81d1a5aa610df33c,0.9704,0.000607,19,95.00,100.00,midas_s_79561
3038e6386b7aca2cc4c759ff6fa3bf66,0.9973,0.000750,19,95.00,100.00,midas_s_6709
30aeb46c6e17d3281b40f7a6d11760f3,0.9380,0.144708,19,95.00,100.00,midas_s_51357
3129070c724154621ca8c4d1eab32923,0.7899,0.000640,19,95.00,100.00,midas_c_12349
312b4f86e655ca2bf427dc5bf6832df3,0.9225,0.013701,19,95.00,100.00,Burkholderiales
31351b61355be00ed6b9da5b1f46a4c0,0.9947,0.002831,19,95.00,100.00,Babeliales
353c33e92295d7b19403ab7ae7d43944,0.9865,0.001176,19,95.00,95.00,midas_s_36044
369f9a488f30b2d79f7f35e9cae73074,0.7666,0.000436,19,95.00,100.00,midas_s_60854
372f6da810f7903a1a1bb90e04adba2f,0.8329,0.001176,19,95.00,95.00,midas_s_41974
37f36806ac7870816ad47529b73b3249,0.8575,0.054806,19,95.00,95.00,midas_s_43884
3a9b29e00996044bc61ea25435599312,0.9704,0.000809,19,95.00,100.00,midas_s_2563
3aebfc183dab7a4ce69dbc3d6b8d25ef,0.9174,0.000556,19,95.00,100.00,Microscillaceae
3bc1594a7965d41c46743242913b69a1,0.9491,0.004422,19,95.00,95.00,midas_g_22753
3d19b3b2c2437a80b51cf0f9839b7848,0.9866,0.031445,19,95.00,100.00,midas_s_36179
3d6f0cf82375dd201006e06de2608f95,0.9067,0.000751,19,95.00,100.00,midas_f_3438
3e053ee958571da2605735c2a36121ba,0.9655,0.000436,19,95.00,95.00,midas_g_44844
415cb650eb9ef794d6a5db65bdf7f43b,0.9759,0.156128,19,95.00,100.00,midas_s_100370
4199bd6e556db2c424fe9f2b70a51956,0.9654,0.000977,19,95.00,95.00,midas_s_28091
41eeac01ed59e24df6f880b303d814b0,0.9920,0.035883,19,95.00,100.00,midas_s_14202
42704bce4903920f79354029dd48e4dd,0.8880,0.041104,19,95.00,100.00,Alphaproteobacteria
4339e6c67ae72fbd2826bf740e406339,0.9946,0.000794,19,95.00,100.00,Acinetobacter_bohemicus
48a0a932695537ad8cf3c22b471de289,0.6879,0.001270,19,95.00,100.00,Bacteria
493bfe280fd04430eb5fb0734d5ffefa,0.9840,0.003327,19,95.00,95.00,midas_g_2842
4bcebf812cad89472ab6a3c8ff9b622a,0.9514,0.002502,19,95.00,100.00,midas_s_28875
4bea53b2aad77f2569a0182f6b84255e,1.0000,0.000500,19,95.00,100.00,midas_s_30643
4ec7f6af7658f82ab3a5fbfb8797075a,0.9733,0.000654,19,95.00,100.00,Saccharimonadales
5029789a8737b1908620b346544cc304,1.0000,0.000498,19,95.00,95.00,Family_XI
51213ff8942f5af284ea7ca759e137c9,0.9947,0.000641,19,95.00,95.00,midas_g_2842
5162c3c7122dca90a70db06cebe65cea,0.9568,0.000605,19,95.00,100.00,midas_s_58746
51d55db96ddfccf013fab2fc67c4965b,0.9974,0.000489,19,95.00,100.00,midas_s_10120
52fb28de37b20bccb60112277a3b7c8b,0.9973,0.002582,19,95.00,100.00,midas_g_120
536505d096617d3fc33fe46336e964eb,0.9973,0.001019,19,95.00,100.00,midas_s_89675
55778aa25d2c2a28761fbaa2e49017ef,0.9973,0.026971,19,95.00,100.00,midas_s_40120
5706c48f6a665ed36bc8a0001efd437a,0.7666,0.000407,19,95.00,100.00,Bacteria
576aba11798b5bc4980fe34bdd67f4e5,0.9299,0.000660,19,95.00,100.00,Rickettsiaceae
5847674812cd5fee8605822f1b409000,0.9812,0.000607,19,95.00,95.00,midas_s_92297
58a61e954e046fd693ca228b0b53732b,0.8909,0.000500,19,95.00,100.00,midas_s_23286
58df471fd622a9b8e9b96155eb56102c,0.8853,0.001574,19,95.00,100.00,Alphaproteobacteria
5a0ed48c1d6865fb7ce4a578e9733c4f,0.9867,0.001852,19,95.00,95.00,midas_s_5736
5ab8522bd7bddcd06fd820ccd78ecd3c,0.9091,0.236480,19,95.00,95.00,midas_s_110135
5b037b212e245cb845421309d19405b9,1.0000,0.002372,19,95.00,95.00,midas_s_41104
5d70a046de358712e2c31d6a7ffd6b22,0.8651,0.032995,19,95.00,100.00,midas_g_23973
5db694edf839eff28cb6a47bb5b50693,1.0000,0.001726,19,95.00,100.00,midas_s_6709
6172466e0e1fe3a1d76cd12dbd874612,0.9198,0.001001,19,95.00,95.00,midas_f_3092
62244b360d2525054f511f389c32c707,0.9893,0.021082,19,95.00,100.00,midas_g_5914
62dd86fceee8f280657e80f205ec9223,0.9626,0.005661,19,95.00,100.00,Anaerolinea
63a939ef460a1c91f8082de5c7765e8c,0.9679,0.002628,19,95.00,95.00,midas_s_76325
63cfada9b46ce5734c3f5380659c3880,0.9865,0.001302,19,95.00,95.00,midas_s_59744
67038b91efddfaf0b588e824c984416b,0.7316,0.000837,19,95.00,95.00,midas_s_114104
672b6453f598d7b011f83bd5320ffc25,0.9465,0.000529,19,95.00,95.00,midas_s_67230
69b893f09bbd823da6b73c58b50b2afd,0.7633,0.000960,19,95.00,100.00,Bacteria
6a448e76c2dc01c3ef1d09eecc9c465f,0.9706,0.000607,19,95.00,100.00,midas_s_112762
6a4c1dfeb6c3138c19f795f81a030010,0.8800,0.013601,19,95.00,100.00,Xanthomonadales
6bd691d8b931cc70c4fc99d59830cd0e,0.9920,0.001440,19,95.00,100.00,Iamia
6d65904cb3eb4b876625ec8f5a680b41,1.0000,0.056219,19,95.00,100.00,midas_s_40120
6ec99de658e6963811472e437060b8ee,0.8304,0.000740,19,95.00,95.00,midas_g_31827
6f641fea03ecea937147828fc5017bfc,0.7754,0.000407,19,95.00,100.00,midas_g_49974
6f71b337a2341f3665c267efa246a7d2,0.8833,0.000898,19,95.00,100.00,midas_s_81744
70661802af1287e2001afb4829e3ca85,0.9337,0.000440,19,95.00,100.00,Aeromonas
7141921d9117df050c7e3d64516ff8c7,0.8598,0.002219,19,95.00,100.00,Roseiflexaceae
71bb7c8a89ff40f0beb9d9fe8e800eea,0.9734,0.000929,19,95.00,95.00,midas_s_40442
71dc7211a33712c3e25cc2fc9426a92b,0.9759,0.004141,19,95.00,100.00,midas_s_7617
7588bcbe0895d848810eb6d9995af72f,0.9973,0.002224,19,95.00,95.00,Turneriella
783a572faa9d67ef65895f4768db2525,0.9031,0.003033,19,95.00,100.00,midas_s_25874
78b73822c7d92a8712610ea1ce0463aa,0.9266,0.001090,19,95.00,100.00,midas_s_17905
79f4b4c69c43f9fc726deee40b36d3f3,0.9707,0.001411,19,95.00,95.00,midas_s_28091
7a036d2a259ecbb8a50ca68f85ca33cb,1.0000,0.000470,19,95.00,100.00,midas_s_198
7a1fce47a0352ac83474de96ac0dcc61,0.9597,0.000611,19,95.00,100.00,Burkholderiales
7c982bee5a9ed9bced5a6bc1eaff325d,0.9005,0.013678,19,95.00,100.00,Proteobacteria
7dd27bf7fddd54fe34ae617463d8fa8c,0.9947,0.077668,19,95.00,95.00,Turneriella
8067951b417666b27ad1923d92e22b94,0.6754,0.000529,19,95.00,100.00,Mitochondria
80727dcfaf8c73e3eeda6cae94c81ad2,0.9733,0.023063,19,95.00,95.00,midas_f_216
81b33405415423bc8a36fce22dc73ca2,0.9915,0.061657,19,95.00,100.00,Bacteria
8414a5712bde54805a0b3e12e1684607,0.9492,0.000706,19,95.00,100.00,midas_s_5331
85445783ba3d7cdde41bac89a1a62db7,0.9679,0.002224,19,95.00,100.00,Longilinea
85b3828cd1148b869a305d453acbcf19,0.9946,0.002219,19,95.00,100.00,midas_s_41931
85bcdf9057ab9d5f86df9a303b3a2bf4,1.0000,0.002383,19,95.00,95.00,midas_s_32719
878373e79c05a9c44b8799d5b674c104,0.9545,0.120401,19,95.00,100.00,Anaerolineaceae
878953a1c5c8a9ee61cc28b66f2ad9aa,0.8564,0.169127,19,95.00,100.00,midas_s_102284
881f69e0907491e17f7a3315c386b873,0.9893,0.048167,19,95.00,95.00,midas_s_19225
8b4539bc106db14b9be0549224c5b3a1,0.9171,0.000436,19,95.00,95.00,midas_f_3092
8db3eecf74023f0e70c8c6f2c7a06a26,0.9973,0.001251,19,95.00,100.00,midas_s_6709
8dddc010930174c81129a400de4404f2,0.9892,0.004984,19,95.00,100.00,midas_s_564
8e179d2649a6ae20bfb32dccff3e4b2a,1.0000,0.002037,19,95.00,95.00,Turneriella
8e5ee4e1cc4ad54354ee2238a68084e9,0.9826,0.000478,19,95.00,95.00,OLB12
916ef61e7162aac51fc2064646390f7b,0.9787,0.023898,19,95.00,100.00,Bacteria
9212f7f2b6466bcfa9d26b11a9523d67,0.9622,0.012939,19,95.00,100.00,midas_s_86034
92f8142b2b7c7ec25eff6e3312f554e9,0.9923,0.001743,19,95.00,100.00,Ca_Competibacter
932c967745864abcaacf4cdc7c68d390,0.9865,0.015375,19,95.00,100.00,Bacteroidales
95e488206b0462863c2930d5349c5376,0.8086,0.000404,19,95.00,95.00,Bacteria
95fa96923b6e1ce51a88fad8a3c40ee8,0.8509,0.036060,19,95.00,100.00,midas_s_102284
96d4abd11d71393b9239a8925b64312f,0.9389,0.012042,19,95.00,95.00,midas_g_30365
97553c132d5da70c3ce813743b4f072e,0.8984,0.000407,19,95.00,100.00,midas_s_118715
994bda015851e45d1185756d3f8dda95,0.8997,0.001760,19,95.00,100.00,Bacteria
999548a0d11a5cf66fb91361df8cd8cc,0.9867,0.102761,19,95.00,95.00,midas_s_31429
9b18b7ffd25021beb07672d898a96057,0.9814,0.004217,19,95.00,95.00,midas_s_5736
9b4d551e7d1dbc1ef6011d7df9c5f042,0.9973,0.161823,19,95.00,95.00,Runella
9be4eb1513844bc2494719a921e72c82,0.9464,0.000476,19,95.00,95.00,midas_g_22753
9c1bc88364f10f3788b9c578774d7b19,0.9946,0.147865,19,95.00,95.00,Runella
9c2171bd8804e383c95fe4217ce934dc,0.9814,0.000489,19,95.00,100.00,midas_s_26415
