MAG,protein_id,KO,gene,pathway,step
CAN_2_bin.176,contig_10109_pilon_368,K01848,mcmB,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.176,contig_10109_pilon_724,K00703,glgC,Glycogen,Glycogen_synthesis
CAN_2_bin.176,contig_10109_pilon_770,K00937,ppk,PolyP,PolyP_synthesis
CAN_2_bin.176,contig_10109_pilon_1051,K22468,ppk2,PolyP,PolyP_synthesis
CAN_2_bin.176,contig_10109_pilon_1143,K07657,phoB,Phosphate,Phosphate_regulation
CAN_2_bin.176,contig_10109_pilon_1255,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_10109_pilon_1256,K02037,pstC,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_10109_pilon_1257,K02038,pstA,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_10109_pilon_1258,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.176,contig_10109_pilon_1259,K07657,phoB,Phosphate,Phosphate_regulation
CAN_2_bin.176,contig_10109_pilon_1260,K07636,phoR,Phosphate,Phosphate_regulation
CAN_2_bin.176,contig_10109_pilon_1261,K02039,phoU,Phosphate,Phosphate_regulation
CAN_2_bin.176,contig_10109_pilon_1545,K01848,mcmB,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.23,contig_7313_pilon_96,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.23,contig_7313_pilon_103,K01908,prpE,Propionate_PHV,Propionyl_CoA_synthesis
CAN_2_bin.23,contig_8182_pilon_72,K00362,nirB,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.23,contig_8182_pilon_73,K00363,nirD,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.23,contig_7731_pilon_115,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.23,contig_7731_pilon_116,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.23,contig_7731_pilon_117,K03821,phaC,PHA,PHA_synthesis
CAN_2_bin.23,contig_7731_pilon_147,K00362,nirB,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.23,contig_7731_pilon_148,K00363,nirD,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.23,contig_8188_pilon_150,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.23,contig_3830_pilon_56,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.23,contig_3830_pilon_168,K22468,ppk2,PolyP,PolyP_synthesis
CAN_2_bin.23,contig_3830_pilon_220,K02039,phoU,Phosphate,Phosphate_regulation
CAN_2_bin.23,contig_12647_pilon_17,K15864,nirS,Denitrification,NO2_to_NO
CAN_2_bin.23,contig_12647_pilon_94,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.23,contig_12647_pilon_115,K03821,phaC,PHA,PHA_synthesis
CAN_2_bin.23,contig_4422_pilon_112,K07636,phoR,Phosphate,Phosphate_regulation
CAN_2_bin.23,contig_4422_pilon_113,K07657,phoB,Phosphate,Phosphate_regulation
CAN_2_bin.23,contig_24594_pilon_16,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.23,contig_14707_pilon_29,K05973,phaZ,PHA,PHA_degradation
CAN_2_bin.23,contig_7445_pilon_30,K00925,ackA,Acetate,Acetate_activation
CAN_2_bin.23,contig_7445_pilon_92,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.23,contig_7445_pilon_97,K02567,napA,Denitrification,NO3_to_NO2
CAN_2_bin.23,contig_7445_pilon_100,K02568,napB,Denitrification,NO3_to_NO2
CAN_2_bin.23,contig_7445_pilon_103,K02305,norC,Denitrification,NO_to_N2O
CAN_2_bin.23,contig_7445_pilon_104,K04561,norB,Denitrification,NO_to_N2O
CAN_2_bin.23,contig_7445_pilon_202,K01720,prpD,Propionate_PHV,Methylcitrate_cycle
CAN_2_bin.23,contig_7445_pilon_297,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.23,contig_25077_pilon_113,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.23,contig_25077_pilon_114,K02038,pstA,Phosphate,Phosphate_transport
CAN_2_bin.23,contig_25077_pilon_115,K02037,pstC,Phosphate,Phosphate_transport
CAN_2_bin.23,contig_25077_pilon_116,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.23,contig_10487_pilon_20,K01659,prpC,Propionate_PHV,Methylcitrate_cycle
CAN_2_bin.23,contig_505_pilon_162,K00925,ackA,Acetate,Acetate_activation
CAN_2_bin.23,contig_505_pilon_249,K05973,phaZ,PHA,PHA_degradation
CAN_2_bin.23,contig_3967_pilon_157,K03821,phaC,PHA,PHA_synthesis
CAN_2_bin.23,contig_3967_pilon_311,K00376,nosZ,Denitrification,N2O_to_N2
CAN_2_bin.23,contig_3967_pilon_436,K00937,ppk,PolyP,PolyP_synthesis
CAN_2_bin.6,contig_4248_pilon_258,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.6,contig_4248_pilon_329,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.6,contig_4248_pilon_480,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.6,contig_4248_pilon_640,K03821,phaC,PHA,PHA_synthesis
CAN_2_bin.6,contig_4248_pilon_647,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.6,contig_4248_pilon_698,K02567,napA,Denitrification,NO3_to_NO2
CAN_2_bin.6,contig_4248_pilon_701,K02568,napB,Denitrification,NO3_to_NO2
CAN_2_bin.6,contig_4248_pilon_714,K00376,nosZ,Denitrification,N2O_to_N2
CAN_2_bin.6,contig_4248_pilon_733,K01908,prpE,Propionate_PHV,Propionyl_CoA_synthesis
CAN_2_bin.6,contig_4248_pilon_903,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.6,contig_4248_pilon_1036,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.6,contig_4248_pilon_1037,K02037,pstC,Phosphate,Phosphate_transport
CAN_2_bin.6,contig_4248_pilon_1038,K02038,pstA,Phosphate,Phosphate_transport
CAN_2_bin.6,contig_4248_pilon_1039,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.6,contig_4248_pilon_1040,K02039,phoU,Phosphate,Phosphate_regulation
CAN_2_bin.6,contig_4248_pilon_1041,K07657,phoB,Phosphate,Phosphate_regulation
CAN_2_bin.6,contig_4248_pilon_1042,K07636,phoR,Phosphate,Phosphate_regulation
CAN_2_bin.6,contig_4248_pilon_1219,K00363,nirD,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.6,contig_4248_pilon_1220,K00362,nirB,Nitrogen_other,DNRA_NO2_to_NH4
CAN_2_bin.6,contig_4248_pilon_1279,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.6,contig_4248_pilon_1333,K15864,nirS,Denitrification,NO2_to_NO
CAN_2_bin.6,contig_4248_pilon_1338,K15864,nirS,Denitrification,NO2_to_NO
CAN_2_bin.6,contig_1004_pilon_60,K03821,phaC,PHA,PHA_synthesis
CAN_2_bin.6,contig_1004_pilon_288,K00925,ackA,Acetate,Acetate_activation
CAN_2_bin.6,contig_1004_pilon_320,K01214,glgX,Glycogen,Glycogen_debranching
CAN_2_bin.6,contig_1004_pilon_324,K00700,glgA,Glycogen,Glycogen_synthesis
CAN_2_bin.6,contig_1004_pilon_507,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.6,contig_1004_pilon_545,K03821,phaC,PHA,PHA_synthesis
CAN_2_bin.6,contig_1004_pilon_546,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.6,contig_1004_pilon_547,K00023,phaB,PHA,PHA_synthesis
CAN_2_bin.6,contig_1004_pilon_577,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.6,contig_1004_pilon_577,K01848,mcmB,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.6,contig_1004_pilon_849,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.6,contig_5682_pilon_91,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.6,contig_5682_pilon_341,K00688,glgP,Glycogen,Glycogen_degradation
CAN_2_bin.6,contig_5682_pilon_342,K00703,glgC,Glycogen,Glycogen_synthesis
CAN_2_bin.6,contig_5182_pilon_31,K00626,phaA,PHA,PHA_synthesis
CAN_2_bin.6,contig_5182_pilon_230,K00937,ppk,PolyP,PolyP_synthesis
CAN_2_bin.66,contig_13170_pilon_68,K00700,glgA,Glycogen,Glycogen_synthesis
CAN_2_bin.66,contig_13170_pilon_165,K22468,ppk2,PolyP,PolyP_synthesis
CAN_2_bin.66,contig_25376_pilon_9,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.66,contig_25376_pilon_10,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.66,contig_25376_pilon_11,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.66,contig_25376_pilon_12,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_2_bin.66,contig_25376_pilon_62,K01214,glgX,Glycogen,Glycogen_debranching
CAN_2_bin.66,contig_3065_pilon_8,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.66,contig_2765_pilon_44,K00700,glgA,Glycogen,Glycogen_synthesis
CAN_2_bin.66,contig_18307_pilon_26,K00376,nosZ,Denitrification,N2O_to_N2
CAN_2_bin.66,contig_25526_pilon_15,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.66,contig_25526_pilon_16,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.66,contig_25526_pilon_17,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.66,contig_25663_pilon_37,K02039,phoU,Phosphate,Phosphate_regulation
CAN_2_bin.66,contig_14204_pilon_11,K01895,acs,Acetate,Acetate_activation
CAN_2_bin.66,contig_1010_pilon_39,K00700,glgA,Glycogen,Glycogen_synthesis
CAN_2_bin.66,contig_11683_pilon_1,K00703,glgC,Glycogen,Glycogen_synthesis
CAN_2_bin.66,contig_16592_pilon_4,K02040,pstS,Phosphate,Phosphate_transport
CAN_2_bin.66,contig_16592_pilon_5,K02037,pstC,Phosphate,Phosphate_transport
CAN_2_bin.66,contig_16592_pilon_6,K02038,pstA,Phosphate,Phosphate_transport
CAN_2_bin.66,contig_16592_pilon_7,K02036,pstB,Phosphate,Phosphate_transport
CAN_2_bin.66,contig_4548_pilon_6,K00688,glgP,Glycogen,Glycogen_degradation
CAN_2_bin.66,contig_6785_pilon_59,K02035,pit,Phosphate,Phosphate_transport
CAN_2_bin.66,contig_6785_pilon_130,K00937,ppk,PolyP,PolyP_synthesis
CAN_2_bin.66,contig_6785_pilon_131,K00937,ppk,PolyP,PolyP_synthesis
CAN_3_bin.10,contig_9490_pilon_129,K01214,glgX,Glycogen,Glycogen_debranching
CAN_3_bin.10,contig_9490_pilon_253,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_9490_pilon_510,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_9490_pilon_600,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.10,contig_9490_pilon_711,K00925,ackA,Acetate,Acetate_activation
CAN_3_bin.10,contig_9490_pilon_742,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_9490_pilon_904,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_9490_pilon_931,K02039,phoU,Phosphate,Phosphate_regulation
CAN_3_bin.10,contig_9490_pilon_932,K07657,phoB,Phosphate,Phosphate_regulation
CAN_3_bin.10,contig_8129_pilon_12,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_8129_pilon_54,K22468,ppk2,PolyP,PolyP_synthesis
CAN_3_bin.10,contig_8129_pilon_89,K00937,ppk,PolyP,PolyP_synthesis
CAN_3_bin.10,contig_8129_pilon_96,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_3_bin.10,contig_8129_pilon_123,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.10,contig_9567_pilon_69,K07636,phoR,Phosphate,Phosphate_regulation
CAN_3_bin.10,contig_9567_pilon_100,K00688,glgP,Glycogen,Glycogen_degradation
CAN_3_bin.10,contig_9567_pilon_101,K00700,glgA,Glycogen,Glycogen_synthesis
CAN_3_bin.10,contig_9567_pilon_103,K00703,glgC,Glycogen,Glycogen_synthesis
CAN_3_bin.10,contig_9567_pilon_104,K01214,glgX,Glycogen,Glycogen_debranching
CAN_3_bin.10,contig_9567_pilon_269,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_9567_pilon_315,K22468,ppk2,PolyP,PolyP_synthesis
CAN_3_bin.10,contig_9567_pilon_392,K03821,phaC,PHA,PHA_synthesis
CAN_3_bin.10,contig_9567_pilon_393,K05973,phaZ,PHA,PHA_degradation
CAN_3_bin.10,contig_8482_pilon_180,K02039,phoU,Phosphate,Phosphate_regulation
CAN_3_bin.10,contig_8482_pilon_181,K02036,pstB,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_8482_pilon_182,K02038,pstA,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_8482_pilon_183,K02037,pstC,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_8482_pilon_184,K02040,pstS,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_7299_pilon_331,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.10,contig_7299_pilon_332,K00023,phaB,PHA,PHA_synthesis
CAN_3_bin.10,contig_7299_pilon_444,K00376,nosZ,Denitrification,N2O_to_N2
CAN_3_bin.10,contig_7299_pilon_468,K15864,nirS,Denitrification,NO2_to_NO
CAN_3_bin.10,contig_7299_pilon_470,K02305,norC,Denitrification,NO_to_N2O
CAN_3_bin.10,contig_7299_pilon_471,K04561,norB,Denitrification,NO_to_N2O
CAN_3_bin.10,contig_7299_pilon_513,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_7299_pilon_673,K02040,pstS,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_7299_pilon_871,K00925,ackA,Acetate,Acetate_activation
CAN_3_bin.10,contig_7299_pilon_872,K00634,pta,Acetate,Acetate_activation
CAN_3_bin.10,contig_3795_pilon_34,K22468,ppk2,PolyP,PolyP_synthesis
CAN_3_bin.10,contig_3795_pilon_85,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_3795_pilon_172,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_3795_pilon_249,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.10,contig_3795_pilon_382,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_3795_pilon_448,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_19424_pilon_57,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.10,contig_19424_pilon_96,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.10,contig_19424_pilon_101,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.10,contig_19424_pilon_101,K01908,prpE,Propionate_PHV,Propionyl_CoA_synthesis
CAN_3_bin.10,contig_19424_pilon_180,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.10,contig_3793_pilon_16,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.10,contig_3793_pilon_62,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.124,contig_6437_pilon_1,K00374,narI/narV,Denitrification,NO3_to_NO2
CAN_3_bin.124,contig_6437_pilon_21,K04561,norB,Denitrification,NO_to_N2O
CAN_3_bin.124,contig_25528_pilon_12,K05973,phaZ,PHA,PHA_degradation
CAN_3_bin.124,contig_29185_pilon_6,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.124,contig_5541_pilon_7,K03821,phaC,PHA,PHA_synthesis
CAN_3_bin.124,contig_3886_pilon_8,K00925,ackA,Acetate,Acetate_activation
CAN_3_bin.124,contig_31327_pilon_20,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.124,contig_31327_pilon_21,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.124,contig_18193_pilon_32,K01720,prpD,Propionate_PHV,Methylcitrate_cycle
CAN_3_bin.124,contig_24126_pilon_25,K00023,phaB,PHA,PHA_synthesis
CAN_3_bin.124,contig_29274_pilon_21,K01659,prpC,Propionate_PHV,Methylcitrate_cycle
CAN_3_bin.124,contig_11207_pilon_36,K02040,pstS,Phosphate,Phosphate_transport
CAN_3_bin.124,contig_11207_pilon_37,K02040,pstS,Phosphate,Phosphate_transport
CAN_3_bin.124,contig_11207_pilon_38,K02037,pstC,Phosphate,Phosphate_transport
CAN_3_bin.124,contig_11207_pilon_39,K02038,pstA,Phosphate,Phosphate_transport
CAN_3_bin.124,contig_11207_pilon_40,K02036,pstB,Phosphate,Phosphate_transport
CAN_3_bin.124,contig_11207_pilon_41,K02039,phoU,Phosphate,Phosphate_regulation
CAN_3_bin.124,contig_16589_pilon_3,K00368,nirK,Denitrification,NO2_to_NO
CAN_3_bin.124,contig_11972_pilon_40,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.13,contig_995_pilon_297,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.13,contig_995_pilon_374,K00023,phaB,PHA,PHA_synthesis
CAN_3_bin.13,contig_995_pilon_376,K00023,phaB,PHA,PHA_synthesis
CAN_3_bin.13,contig_995_pilon_498,K03821,phaC,PHA,PHA_synthesis
CAN_3_bin.13,contig_995_pilon_701,K02040,pstS,Phosphate,Phosphate_transport
CAN_3_bin.13,contig_995_pilon_702,K02040,pstS,Phosphate,Phosphate_transport
CAN_3_bin.13,contig_995_pilon_703,K02037,pstC,Phosphate,Phosphate_transport
CAN_3_bin.13,contig_995_pilon_704,K02038,pstA,Phosphate,Phosphate_transport
CAN_3_bin.13,contig_995_pilon_705,K02036,pstB,Phosphate,Phosphate_transport
CAN_3_bin.13,contig_995_pilon_706,K02039,phoU,Phosphate,Phosphate_regulation
CAN_3_bin.13,contig_2319_pilon_27,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.13,contig_2826_pilon_75,K00368,nirK,Denitrification,NO2_to_NO
CAN_3_bin.13,contig_2826_pilon_85,K04561,norB,Denitrification,NO_to_N2O
CAN_3_bin.13,contig_2826_pilon_93,K02567,napA,Denitrification,NO3_to_NO2
CAN_3_bin.13,contig_2826_pilon_94,K02568,napB,Denitrification,NO3_to_NO2
CAN_3_bin.13,contig_2826_pilon_662,K01908,prpE,Propionate_PHV,Propionyl_CoA_synthesis
CAN_3_bin.13,contig_2826_pilon_666,K01659,prpC,Propionate_PHV,Methylcitrate_cycle
CAN_3_bin.13,contig_2830_pilon_166,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.13,contig_17232_pilon_444,K07657,phoB,Phosphate,Phosphate_regulation
CAN_3_bin.13,contig_17232_pilon_445,K07636,phoR,Phosphate,Phosphate_regulation
CAN_3_bin.13,contig_17232_pilon_446,K00937,ppk,PolyP,PolyP_synthesis
CAN_3_bin.13,contig_17232_pilon_633,K05973,phaZ,PHA,PHA_degradation
CAN_3_bin.203,contig_30742_pilon_40,K03821,phaC,PHA,PHA_synthesis
CAN_3_bin.203,contig_30517_pilon_36,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.203,contig_30517_pilon_36,K01908,prpE,Propionate_PHV,Propionyl_CoA_synthesis
CAN_3_bin.203,contig_30517_pilon_128,K22468,ppk2,PolyP,PolyP_synthesis
CAN_3_bin.203,contig_30517_pilon_260,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.203,contig_30517_pilon_302,K01895,acs,Acetate,Acetate_activation
CAN_3_bin.203,contig_30517_pilon_318,K00363,nirD,Nitrogen_other,DNRA_NO2_to_NH4
CAN_3_bin.203,contig_30517_pilon_319,K00362,nirB,Nitrogen_other,DNRA_NO2_to_NH4
CAN_3_bin.203,contig_30517_pilon_381,K05973,phaZ,PHA,PHA_degradation
CAN_3_bin.203,contig_30743_pilon_36,K02567,napA,Denitrification,NO3_to_NO2
CAN_3_bin.203,contig_30743_pilon_39,K02568,napB,Denitrification,NO3_to_NO2
CAN_3_bin.203,contig_5762_pilon_151,K02035,pit,Phosphate,Phosphate_transport
CAN_3_bin.203,contig_5762_pilon_231,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.203,contig_7224_pilon_127,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_3_bin.203,contig_7224_pilon_128,K01847,mcmA,Propionate_PHV,Methylmalonyl_CoA
CAN_3_bin.203,contig_7224_pilon_141,K00626,phaA,PHA,PHA_synthesis
CAN_3_bin.203,contig_7224_pilon_167,K00703,glgC,Glycogen,Glycogen_synthesis
