user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CAN_1_bin.84	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__CFX2;s__CFX2 sp017303775	GCA_017303775.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__CFX2;s__CFX2 sp017303775	98.81	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_1_bin.98	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp014879755	GCF_024235695.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp014879755	99.48	0.963	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_029255145.1, s__Accumulibacter sp003538495, 95.0, 83.43, 0.197; GCF_907163085.1, s__Accumulibacter sp907163085, 95.0, 82.94, 0.194	N/A	N/A	N/A	N/A
CAN_2_bin.125	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	GCF_010093385.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	97.15	0.867	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_014852005.1, s__Pseudoxanthomonas_A sp014852005, 95.0, 87.06, 0.454; GCF_006716465.1, s__Pseudoxanthomonas_A sp006716465, 95.0, 87.51, 0.491; GCF_002863005.1, s__Pseudoxanthomonas_A sp002863005, 95.0, 87.62, 0.473; GCF_029542205.1, s__Pseudoxanthomonas_A sp029542205, 95.0, 87.67, 0.493; GCF_001556105.1, s__Pseudoxanthomonas_A mexicana_A, 95.0, 86.52, 0.41; GCF_001427585.1, s__Pseudoxanthomonas_A sp001427585, 95.0, 88.37, 0.527; GCF_900116385.1, s__Pseudoxanthomonas_A sp900116385, 95.0, 88.08, 0.507; GCF_022539275.1, s__Pseudoxanthomonas_A sp022539275, 95.0, 87.44, 0.514; GCF_001427635.1, s__Pseudoxanthomonas_A sp001427635, 95.0, 87.88, 0.49; GCF_014851805.1, s__Pseudoxanthomonas_A sp014851805, 95.0, 87.25, 0.46; GCF_010093445.1, s__Pseudoxanthomonas_A japonensis, 95.0, 87.22, 0.503; GCF_026625825.1, s__Pseudoxanthomonas_A sp026625825, 95.0, 85.23, 0.319; GCA_946886405.1, s__Pseudoxanthomonas_A sp946886405, 95.0, 86.55, 0.398; GCF_022965755.1, s__Pseudoxanthomonas_A sp022965755, 95.0, 93.08, 0.794; GCF_014851815.1, s__Pseudoxanthomonas_A sp014851815, 95.0, 87.41, 0.474; GCF_946886695.1, s__Pseudoxanthomonas_A sp946886695, 95.0, 87.09, 0.453; GCA_937975725.1, s__Pseudoxanthomonas_A sp937975725, 95.0, 85.38, 0.265; GCF_900104255.1, s__Pseudoxanthomonas_A sp900104255, 95.0, 88.13, 0.52	N/A	N/A	N/A	N/A
CAN_2_bin.151	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.23	11	0.99255	N/A
CAN_2_bin.159	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas sp017302035	GCA_017302035.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas sp017302035	99.25	0.903	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000972865.1, s__Pseudoxanthomonas suwonensis_B, 95.0, 86.45, 0.304; GCF_000510725.1, s__Pseudoxanthomonas sp000510725, 95.0, 84.24, 0.208; GCF_010093235.1, s__Pseudoxanthomonas suwonensis, 95.0, 83.59, 0.2; GCF_000513955.1, s__Pseudoxanthomonas suwonensis_C, 95.0, 85.13, 0.278; GCF_010211765.1, s__Pseudoxanthomonas kaohsiungensis, 95.0, 85.1, 0.267; GCA_025232375.1, s__Pseudoxanthomonas sp025232375, 95.0, 84.41, 0.239; GCA_017745195.1, s__Pseudoxanthomonas sp017745195, 95.0, 84.54, 0.218; GCA_018060215.1, s__Pseudoxanthomonas sp018060215, 95.0, 88.09, 0.4; GCF_010093225.1, s__Pseudoxanthomonas koreensis, 95.0, 86.24, 0.33; GCF_014202435.1, s__Pseudoxanthomonas broegbernensis, 95.0, 84.11, 0.213; GCF_000513995.1, s__Pseudoxanthomonas sp000513995, 95.0, 85.6, 0.287; GCF_000185965.1, s__Pseudoxanthomonas suwonensis_A, 95.0, 84.27, 0.2; GCF_010093205.1, s__Pseudoxanthomonas daejeonensis, 95.0, 83.82, 0.24; GCF_010093185.1, s__Pseudoxanthomonas jiangsuensis, 95.0, 85.39, 0.277; GCF_010093135.1, s__Pseudoxanthomonas taiwanensis, 95.0, 84.16, 0.199	N/A	N/A	N/A	N/A
CAN_2_bin.173	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JACDQM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JACDQM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	57.42	11	0.95838	N/A
CAN_2_bin.176	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.11	11	0.98798	N/A
CAN_2_bin.23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea sp023150065	GCF_023150065.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea sp023150065	95.64	0.831	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002028455.1, s__Zoogloea sp002028455, 95.0, 82.85, 0.174; GCF_008107625.1, s__Zoogloea oleivorans, 95.0, 83.54, 0.207; GCA_018241685.1, s__Zoogloea sp018241685, 95.0, 83.17, 0.181; GCF_016703645.1, s__Zoogloea sp008011925, 95.0, 87.89, 0.44; GCA_018241665.1, s__Zoogloea sp018241665, 95.0, 83.3, 0.169; GCA_030157785.1, s__Zoogloea oleivorans_A, 95.0, 83.66, 0.17; GCA_009026175.1, s__Zoogloea sp009026175, 95.0, 85.68, 0.279; GCA_023150125.1, s__Zoogloea sp023150125, 95.0, 85.59, 0.172; GCF_030161255.1, s__Zoogloea oryzae, 95.0, 83.99, 0.178; GCA_023150095.1, s__Zoogloea sp023150095, 95.0, 84.29, 0.167; GCF_006539865.1, s__Zoogloea ramigera, 95.0, 83.74, 0.164; GCA_018241725.1, s__Zoogloea sp018241725, 95.0, 82.74, 0.157; GCA_016790385.1, s__Zoogloea sp016790385, 95.0, 87.06, 0.248; GCF_012927165.1, s__Zoogloea dura, 95.0, 84.82, 0.293; GCA_937967645.1, s__Zoogloea sp937967645, 95.0, 85.33, 0.264; GCA_017309145.1, s__Zoogloea sp017309145, 95.0, 85.58, 0.228; GCA_016789125.1, s__Zoogloea sp016789125, 95.0, 84.41, 0.16; GCF_028689785.1, s__Zoogloea sp028689785, 95.0, 90.52, 0.672; GCA_016720685.1, s__Zoogloea sp016720685, 95.0, 82.95, 0.15; GCF_017302315.1, s__Zoogloea sp017302315, 95.0, 88.11, 0.432	N/A	N/A	N/A	N/A
CAN_2_bin.6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Desulfobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Desulfobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.39	11	0.96778	N/A
CAN_2_bin.66	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.52	11	0.98208	N/A
CAN_3_bin.10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.58	11	0.98966	N/A
CAN_3_bin.124	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.83	11	0.98586	N/A
CAN_3_bin.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A japonensis	GCF_010093445.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A japonensis	97.36	0.859	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_006716465.1, s__Pseudoxanthomonas_A sp006716465, 95.0, 87.02, 0.427; GCF_946886695.1, s__Pseudoxanthomonas_A sp946886695, 95.0, 86.92, 0.423; GCF_002863005.1, s__Pseudoxanthomonas_A sp002863005, 95.0, 88.13, 0.482; GCF_014851815.1, s__Pseudoxanthomonas_A sp014851815, 95.0, 90.16, 0.621; GCF_022539275.1, s__Pseudoxanthomonas_A sp022539275, 95.0, 89.3, 0.574; GCF_014851805.1, s__Pseudoxanthomonas_A sp014851805, 95.0, 89.0, 0.539; GCF_001556105.1, s__Pseudoxanthomonas_A mexicana_A, 95.0, 89.73, 0.541; GCA_937975725.1, s__Pseudoxanthomonas_A sp937975725, 95.0, 85.38, 0.268; GCF_010093385.1, s__Pseudoxanthomonas_A mexicana, 95.0, 88.03, 0.451; GCF_029542205.1, s__Pseudoxanthomonas_A sp029542205, 95.0, 87.07, 0.423; GCF_001427585.1, s__Pseudoxanthomonas_A sp001427585, 95.0, 86.87, 0.394; GCF_026625825.1, s__Pseudoxanthomonas_A sp026625825, 95.0, 85.09, 0.286; GCF_900104255.1, s__Pseudoxanthomonas_A sp900104255, 95.0, 86.64, 0.406; GCF_001427635.1, s__Pseudoxanthomonas_A sp001427635, 95.0, 88.89, 0.568; GCF_022965755.1, s__Pseudoxanthomonas_A sp022965755, 95.0, 87.32, 0.447; GCA_946886405.1, s__Pseudoxanthomonas_A sp946886405, 95.0, 87.9, 0.51; GCF_900116385.1, s__Pseudoxanthomonas_A sp900116385, 95.0, 86.18, 0.373; GCF_014852005.1, s__Pseudoxanthomonas_A sp014852005, 95.0, 86.59, 0.399	N/A	N/A	N/A	N/A
CAN_3_bin.203	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__JAEULV01;s__JAEULV01 sp016793065	GCA_016793065.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__JAEULV01;s__JAEULV01 sp016793065	99.25	0.94	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_3_bin.205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.2	11	0.98279	N/A
CAN_3_bin.208	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.71	11	0.94461	N/A
CAN_3_bin.216	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	99.32	11	0.98878	N/A
CAN_3_bin.221	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__OLB5 sp002344125	GCA_002344125.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__OLB5 sp002344125	97.15	0.833	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_3_bin.227	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__Kapaibacteriaceae;g__Kapaibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__Kapaibacteriaceae;g__Kapaibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.99	11	0.9879	N/A
CAN_3_bin.43	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.83	11	0.98726	N/A
CAN_4_bin.103	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__UBA2796;g__UBA2796;s__UBA2796 sp014879835	GCA_014879835.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__UBA2796;g__UBA2796;s__UBA2796 sp014879835	99.05	0.919	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_4_bin.107	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.22	11	0.95931	Genome has more than 10.0% of markers with multiple hits
CAN_4_bin.11	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__Villigracilis sp002343775	GCA_002343775.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__Villigracilis sp002343775	98.02	0.871	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_4_bin.112	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__2-12-FULL-35-15 sp016787165	GCA_016787165.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__2-12-FULL-35-15 sp016787165	99.33	0.879	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_4_bin.116	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter;s__Competibacter sp014879435	GCA_014879435.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter;s__Competibacter sp014879435	97.97	0.776	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_4_bin.142	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__Vicingus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__Vicingus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.95	11	0.99445	N/A
CAN_4_bin.152	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp963205025	GCA_963205025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp963205025	98.33	0.885	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017302105.1, s__Brevundimonas sp017302105, 95.0, 83.97, 0.25; GCF_000428765.1, s__Brevundimonas aveniformis, 95.0, 82.19, 0.16	N/A	N/A	N/A	N/A
CAN_4_bin.154	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.65	11	0.98162	N/A
CAN_4_bin.166	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__UTCHB3;s__UTCHB3 sp016707285	GCA_016707285.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__UTCHB3;s__UTCHB3 sp016707285	98.54	0.928	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_016714125.1, s__UTCHB3 sp016714125, 95.0, 87.94, 0.521	N/A	N/A	N/A	N/A
CAN_4_bin.195	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.69	11	0.98668	N/A
CAN_4_bin.197	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__CAIKZJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__CAIKZJ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.07	11	0.93684	N/A
CAN_4_bin.208	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.47	11	0.94432	N/A
CAN_4_bin.220	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__JAIUNP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__JAIUNP01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.37	11	0.95735	N/A
CAN_4_bin.225	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.59	11	0.95056	N/A
