Date_key,Date,DO_Avg_1350_1410,,DO_Max_1350_1410,ANA_ORP_Min_0850_0945,AER_ORP_Max_1350_1410,ANA_ORP_Slope1,ANA_ORP_Slope2,ANA_ORP_Slope3,ANO_Slope1,ANO_Slope2,ANO_Slope3,ANO_Peak_ORP_C1,ANO_Peak_Time_C1,ANO_Peak_Minutes_C1,ANO_Peak_ORP_C2,ANO_Peak_Time_C2,ANO_Peak_Minutes_C2,ANO_Peak_ORP_C3,ANO_Peak_Time_C3,ANO_Peak_Minutes_C3,ANO_Turn_ORP_C1,ANO_Turn_Time_C1,ANO_Turn_Minutes_C1,ANO_Turn_ORP_C2,ANO_Turn_Time_C2,ANO_Turn_Minutes_C2,ANO_Turn_ORP_C3,ANO_Turn_Time_C3,ANO_Turn_Minutes_C3
2/6/2023,#NAME?,1.501818182,,1.68,-162,171,-0.274503968,-0.28640873,-0.293650794,-0.008186275,-0.006409314,-0.006868687,-66,12:30:00,175,-157,17:36:00,1,-53,4:34:00,179,-66,12:30:00,175,-166,17:58:00,23,-53,4:34:00,179
2/7/2023,#NAME?,3.851818182,,3.92,198,159,7.94E-04,0.017956349,-0.251587302,-0.003737745,-0.001078431,-0.003535354,199,9:36:00,1,-212,17:36:00,1,196,1:36:00,1,126,12:30:00,175,-218,17:58:00,23,107,4:34:00,179
2/8/2023,#NAME?,2.121818182,,2.65,-150,158,-0.248710317,-0.258531746,-0.278174603,-0.005122549,-0.004546569,-0.005606061,-64,12:30:00,175,-143,17:36:00,1,-30,4:34:00,179,-64,12:30:00,175,-150,17:58:00,23,-30,4:34:00,179
2/9/2023,#NAME?,0.429090909,,0.67,-148,131,-0.264186508,-0.273611111,-0.298214286,-0.005330882,-0.005710784,-0.006010101,-82,12:30:00,175,-137,17:36:00,1,-69,4:34:00,179,-82,12:30:00,175,-146,17:58:00,23,-69,4:34:00,179
2/10/2023,#NAME?,0.374545455,,0.56,-142,152,-0.307440476,-0.336210318,-0.351488095,-0.006176471,-0.005625,-0.006060606,-77,12:30:00,175,-140,17:36:00,1,-59,4:34:00,179,-77,12:30:00,175,-148,17:58:00,23,-59,4:34:00,179
2/11/2023,#NAME?,1.115454545,,1.85,-140,171,-0.346527778,-0.344940476,-0.361607143,-0.007990196,-0.007218137,-0.008686869,-70,12:30:00,175,-139,17:36:00,1,-59,4:34:00,179,-70,12:30:00,175,-139,17:36:00,1,-59,4:34:00,179
2/12/2023,#NAME?,0.017272727,,0.03,-111,40,-0.743353174,-0.691269841,-0.705952381,-0.016593137,-0.014031863,-0.012575758,-37,12:30:00,175,-116,17:36:00,1,-56,4:34:00,179,-37,12:30:00,175,-134,17:58:00,23,-56,4:34:00,179
2/13/2023,#NAME?,0.014545455,,0.03,-119,83,-0.713690475,-0.70486111,-0.715873016,-0.009681373,-0.009007353,-0.012474747,56,12:22:00,167,-119,17:36:00,1,40,4:34:00,179,53,12:30:00,175,-119,17:36:00,1,40,4:34:00,179
2/14/2023,#NAME?,5.311818182,,5.57,-86,318,-0.660218254,-0.616071428,-0.604761904,-0.013357843,-0.010563725,-0.015757576,175,12:30:00,175,-85,17:36:00,1,191,4:34:00,179,175,12:30:00,175,-102,17:58:00,23,191,4:34:00,179
2/15/2023,#NAME?,2.84,,3.51,-149,300,-0.698710318,-0.822817459,-0.828075396,-0.006482843,-0.005061275,-0.00520202,13,12:30:00,175,-143,17:36:00,1,54,4:34:00,179,13,12:30:00,175,-150,17:58:00,23,54,4:34:00,179
2/16/2023,#NAME?,3.950909091,,4.58,-151,306,-0.835912699,-0.843452381,-0.848015873,-0.005220588,-0.004142157,-0.005909091,2,12:30:00,175,-144,17:36:00,1,12,4:34:00,179,2,12:30:00,175,-151,17:58:00,23,12,4:34:00,179
2/17/2023,#NAME?,4.967272727,,5.47,-137,306,-0.605158729,-0.562400794,-0.501388889,-0.005735294,-0.005992647,-0.006666667,-13,12:30:00,175,-124,17:36:00,1,-15,4:34:00,179,-13,12:30:00,175,-134,17:58:00,23,-15,4:34:00,179
2/18/2023,#NAME?,4.340909091,,4.98,-82,320,-0.388392856,-0.512996031,-0.459623016,-0.00504902,-0.00625,-0.012424242,70,12:28:00,173,-49,17:36:00,1,-24,4:34:00,179,70,12:30:00,175,-64,17:58:00,23,-24,4:34:00,179
2/19/2023,#NAME?,8.551818182,,8.61,321,287,-0.434325396,0.009424603,-0.016071429,-0.013970588,-0.004620098,-0.009242424,324,9:36:00,1,-61,17:36:00,1,127,4:32:00,177,295,10:56:00,81,-76,17:58:00,23,126,4:34:00,179
2/20/2023,#NAME?,2.030909091,,2.86,-47,305,-0.530555556,-0.540079365,-0.506448412,-0.012977941,-0.016568627,-0.018484848,109,12:28:00,173,-42,17:36:00,1,111,4:34:00,179,108,12:30:00,175,-69,17:58:00,23,111,4:34:00,179
2/21/2023,#NAME?,1.910909091,,2.74,-43,307,-0.431746032,-0.412301588,-0.390575396,-0.012855392,-0.013235294,-0.016161616,131,12:26:00,171,-19,17:36:00,1,132,4:32:00,177,131,12:30:00,175,-46,17:58:00,23,124,4:34:00,179
2/22/2023,#NAME?,1.417272727,,2.21,-101,289,-0.315376984,-0.391765873,-0.405853174,-0.010281863,-0.005502451,-0.005252525,40,12:30:00,175,-104,17:36:00,1,59,4:34:00,179,40,12:30:00,175,-114,17:58:00,23,59,4:34:00,179
2/23/2023,#NAME?,8.319090909,,8.37,344,262,-0.386309523,0.026190476,7.94E-04,-0.002414216,-0.010012255,-0.006262626,348,9:36:00,1,185,17:36:00,1,216,4:34:00,179,301,11:10:00,95,175,17:58:00,23,216,4:34:00,179
2/24/2023,#NAME?,8.851818182,,8.93,291,226,-0.571031745,0.012003968,6.94E-04,-0.006446078,-0.014375,-0.012828283,295,9:36:00,1,158,17:36:00,1,-20,4:34:00,179,291,9:46:00,11,138,17:58:00,23,-20,4:34:00,179
2/25/2023,#NAME?,1.221818182,,2.09,-118,261,-0.38125,-0.369246031,-0.307738095,-0.005245098,-0.005147059,-0.002121212,-18,12:30:00,175,-119,17:36:00,1,1,4:34:00,179,-18,12:30:00,175,-124,17:58:00,23,1,4:34:00,179
2/26/2023,#NAME?,8.324545455,,8.46,468,386,-0.272619048,-0.23095238,-0.15734127,-0.004522059,-0.014411765,-0.003838384,473,9:36:00,1,511,17:36:00,1,-20,4:34:00,179,473,9:36:00,1,503,17:58:00,23,-20,4:34:00,179
2/27/2023,#NAME?,8.311818182,,8.44,481,422,-0.154960317,-0.073015873,-0.054662698,-0.005404412,-0.006911765,-0.011616162,486,9:36:00,1,461,17:36:00,1,505,1:36:00,1,436,12:30:00,175,461,17:36:00,1,458,4:34:00,179
2/28/2023,#NAME?,6.86,,7.11,393,410,-0.006150794,-0.004365079,-0.019642857,-0.019473039,-0.032843137,-0.030707071,649,9:36:00,1,-50,17:36:00,1,611,1:36:00,1,649,9:36:00,1,-50,17:36:00,1,611,1:36:00,1
3/1/2023,#NAME?,5.522727273,,5.96,201,235,7.94E-04,-6.94E-04,0.078670635,-0.141446078,-0.095196078,-0.06020202,421,9:36:00,1,401,17:36:00,1,291,1:36:00,1,421,9:36:00,1,401,17:36:00,1,291,1:36:00,1
3/2/2023,#NAME?,5.872727273,,6.1,275,338,-0.001884921,-7.94E-04,-7.94E-04,-0.03129902,-0.034166667,-0.086363636,449,9:36:00,1,316,17:36:00,1,405,1:36:00,1,449,9:36:00,1,316,17:36:00,1,405,1:36:00,1
3/3/2023,#NAME?,4.558181818,,4.82,93,266,-0.001190476,-0.001190476,-0.005952381,-0.149411765,-0.111311275,-0.095454545,218,9:36:00,1,128,17:36:00,1,271,1:36:00,1,218,9:36:00,1,128,17:36:00,1,271,1:36:00,1
3/4/2023,#NAME?,4.907272727,,5.09,69,302,-4.96E-04,-6.94E-04,-0.006051587,-0.124215686,-0.096875,-0.135707071,213,9:36:00,1,191,17:36:00,1,251,1:36:00,1,213,9:36:00,1,191,17:36:00,1,251,1:36:00,1
3/5/2023,#NAME?,3.726363636,,4,-4,239,-0.001190476,-0.001488095,6.94E-04,-0.086482843,-0.065330882,-0.105,91,9:36:00,1,75,17:36:00,1,170,1:36:00,1,91,9:36:00,1,75,17:36:00,1,170,1:36:00,1
3/6/2023,#NAME?,2.730909091,,3.05,-45,191,-6.94E-04,-6.94E-04,0.049603175,-0.055183824,-0.054264706,-0.032929293,28,9:36:00,1,-106,17:36:00,1,36,1:36:00,1,28,9:36:00,1,-106,17:36:00,1,36,1:36:00,1
3/7/2023,#NAME?,2.010909091,,3.04,-118,147,-9.92E-05,-9.92E-05,0.014583333,-0.033186275,-0.032892157,-0.004444444,-71,9:36:00,1,-98,17:36:00,1,-67,1:36:00,1,-71,9:36:00,1,-111,17:58:00,23,-67,1:36:00,1
3/8/2023,#NAME?,0.67,,2.05,-117,137,0.001488095,-0.003373016,1.01E-12,-0.028578431,-0.031973039,-0.038888889,-85,9:36:00,1,-95,17:36:00,1,-37,1:36:00,1,-85,9:36:00,1,-95,17:36:00,1,-37,1:36:00,1
3/9/2023,#NAME?,0.528181818,,1.21,-131,188,-0.001587302,-0.001488095,-0.001587302,-0.031335784,-0.032879902,-0.041313131,-99,9:36:00,1,-100,17:36:00,1,-95,1:36:00,1,-99,9:36:00,1,-100,17:36:00,1,-95,1:36:00,1
3/10/2023,#NAME?,0.046363636,,0.06,-132,177,-6.94E-04,-0.001488095,0.033531746,-0.036053922,-0.039718137,-0.006717172,-97,9:36:00,1,306,17:36:00,1,-99,1:36:00,1,-97,9:36:00,1,295,17:58:00,23,-99,1:36:00,1
3/11/2023,#NAME?,7.212727273,,7.27,279,259,-0.00218254,0.005555556,0.006051587,-0.00377451,-0.012205882,0.00530303,287,9:50:00,15,281,17:52:00,17,272,1:36:00,1,268,10:04:00,29,261,17:58:00,23,267,4:34:00,179
3/12/2023,#NAME?,7.263636364,,7.37,257,238,0.006845238,0.006150794,0.007142857,NA,-0.008431373,-0.009473039,270,9:56:00,21,268,17:54:00,19,274,1:54:00,19,230,12:30:00,175,223,18:58:00,83,233,4:34:00,119
3/13/2023,#NAME?,0.05,,0.06,243,-130,0.006150794,9.92E-05,-0.211904762,-0.008419118,-0.006740196,-0.003995098,248,9:36:00,1,-201,17:36:00,1,271,1:54:00,19,232,10:12:00,37,-217,18:58:00,83,271,1:54:00,19
3/14/2023,#NAME?,0.051818182,,0.06,-243,-141,-0.159821429,-0.118253968,-0.211706349,-0.004742647,-0.005294118,-0.007316176,-239,9:36:00,1,-239,17:36:00,1,-215,1:36:00,1,-239,12:30:00,175,-239,17:36:00,1,-217,4:34:00,179
3/15/2023,#NAME?,2.22,,2.49,-216,178,-0.22172619,-0.26359127,-0.260416667,-0.005012255,-0.004718137,-0.004215686,-67,12:30:00,175,-143,18:40:00,65,-27,4:34:00,179,-67,12:30:00,175,-178,18:58:00,83,-27,4:34:00,179
3/16/2023,#NAME?,0.047272727,,0.06,-200,205,-0.302579365,-0.359920635,-0.381150794,-0.004056373,-0.003468137,-0.003468137,-6,12:30:00,175,-108,18:46:00,71,3,4:34:00,179,-6,12:30:00,175,-110,18:58:00,83,3,4:34:00,179
3/17/2023,#NAME?,0.029090909,,0.04,-191,220,-0.37609127,-0.387797619,-0.386309524,-0.004056373,-0.004362745,-0.004276961,18,12:30:00,175,-109,18:48:00,73,38,4:34:00,179,18,12:30:00,175,-111,18:58:00,83,38,4:34:00,179
3/18/2023,#NAME?,0.054545455,,0.06,-153,248,-0.357638889,-0.339781746,-0.304761905,-0.005012255,-0.005931373,-0.006911765,86,12:30:00,175,-113,18:58:00,83,101,4:34:00,179,86,12:30:00,175,-113,18:58:00,83,101,4:34:00,179
3/19/2023,#NAME?,0.048181818,,0.06,-114,259,-0.278273809,-0.282043651,-0.292063492,-0.007855392,-0.009166667,-0.009693627,104,12:30:00,175,-103,18:52:00,77,119,4:34:00,179,104,12:30:00,175,-103,18:58:00,83,119,4:34:00,179
3/20/2023,#NAME?,0.053636364,,0.06,-77,254,-0.389583334,-0.370138889,-0.277083333,-0.010404412,-0.01129902,-0.011654412,127,12:30:00,175,-65,17:36:00,1,148,4:34:00,179,127,12:30:00,175,-65,17:36:00,1,148,4:34:00,179
3/21/2023,#NAME?,0.057272727,,0.07,-67,263,-0.259424603,-0.261805555,-0.24672619,-0.01182598,-0.011335784,-0.011286765,147,12:30:00,175,-58,17:36:00,1,155,4:34:00,179,147,12:30:00,175,-58,17:36:00,1,155,4:34:00,179
3/22/2023,#NAME?,6.266363636,,6.39,-76,267,-0.253869048,-0.252777778,-0.292956349,-0.01120098,-0.012034314,-0.008627451,170,12:30:00,175,-96,18:48:00,73,175,4:34:00,179,170,12:30:00,175,-97,18:58:00,83,175,4:34:00,179
3/23/2023,#NAME?,5.954545455,,6.1,-170,248,-0.332837301,-0.36031746,-0.377976191,-0.007316176,-0.005857843,-0.005306373,56,12:30:00,175,-100,18:46:00,71,107,4:34:00,179,56,12:30:00,175,-101,18:58:00,83,107,4:34:00,179
3/24/2023,#NAME?,5.990909091,,6.14,-176,245,-0.383829365,-0.399206349,-0.39047619,-0.00497549,-0.004522059,-0.005196078,78,12:30:00,175,-103,18:56:00,81,115,4:34:00,179,78,12:30:00,175,-103,18:58:00,83,115,4:34:00,179
3/25/2023,#NAME?,5.684545455,,5.8,265,230,-0.399107143,-0.232638889,0.00952381,-0.0375,-0.02567402,-0.010784314,278,9:36:00,1,299,17:36:00,1,232,1:36:00,1,278,9:36:00,1,299,17:36:00,1,232,1:36:00,1
3/26/2023,#NAME?,4.060909091,,4.19,329,263,-0.020734127,-0.009424603,-0.057142857,-0.012107843,-0.008455882,-0.023370098,336,9:36:00,1,156,17:36:00,1,322,1:36:00,1,336,9:36:00,1,156,17:36:00,1,322,1:36:00,1
3/27/2023,#NAME?,6.890909091,,7.05,-468,138,-0.05843254,-0.942361112,-0.725198412,-0.02442402,0.011397059,-0.005637255,-65,12:30:00,175,-157,18:54:00,79,135,1:36:00,1,-65,12:30:00,175,-157,18:58:00,83,135,1:36:00,1
3/28/2023,#NAME?,7.888181818,,7.98,-221,232,-0.97063492,-0.847420635,-0.623313491,-0.003431373,-0.004509804,-0.002879902,136,12:30:00,175,-146,18:58:00,83,112,4:34:00,179,136,12:30:00,175,-146,18:58:00,83,112,4:34:00,179
3/29/2023,#NAME?,7.846363636,,7.99,-242,257,-0.551091269,-0.364980159,-0.343055556,-0.003921569,-0.011801471,-0.007254902,167,12:30:00,175,-103,18:58:00,83,216,4:34:00,179,167,12:30:00,175,-103,18:58:00,83,216,4:34:00,179
3/30/2023,#NAME?,7.813636364,,7.93,-166,278,-0.365873016,-0.346230158,-0.344642857,-0.007892157,-0.002585784,-3.43E-04,189,12:30:00,175,-92,18:58:00,83,220,4:34:00,179,189,12:30:00,175,-92,18:58:00,83,220,4:34:00,179
3/31/2023,#NAME?,7.131818182,,7.23,-137,280,-0.308928572,-0.246825396,-0.229960317,-0.006446078,-0.007132353,-0.005073529,186,12:30:00,175,-101,18:58:00,83,223,4:34:00,179,186,12:30:00,175,-101,18:58:00,83,223,4:34:00,179
4/1/2023,#NAME?,7.626363636,,7.79,-169,251,-0.267162698,-0.305853174,-0.316468254,-0.001985294,-0.00247549,-0.001519608,99,12:30:00,175,-90,18:58:00,83,148,4:34:00,179,99,12:30:00,175,-90,18:58:00,83,148,4:34:00,179
4/2/2023,#NAME?,7.461818182,,7.57,-159,264,-0.301884921,-0.299404762,-0.289087301,-0.001789216,-0.00185049,-0.002267157,117,12:30:00,175,-92,18:58:00,83,176,4:34:00,179,117,12:30:00,175,-92,18:58:00,83,176,4:34:00,179
4/3/2023,#NAME?,7.282727273,,7.42,-172,244,-0.280853174,-0.315873016,-0.356547619,-0.001593137,-0.001715686,-0.003259804,43,12:30:00,175,-98,18:56:00,81,179,4:34:00,179,43,12:30:00,175,-98,18:58:00,83,179,4:34:00,179
4/4/2023,#NAME?,7.484545455,,7.58,-165,264,-0.343948412,-0.34672619,-0.322222222,-0.003982843,-0.001740196,-0.004705882,81,12:30:00,175,-98,18:56:00,81,136,4:34:00,179,81,12:30:00,175,-98,18:58:00,83,136,4:34:00,179
4/5/2023,#NAME?,7.421818182,,7.54,-157,277,-0.285119047,-0.275297619,-0.264186508,-0.004436275,-0.00247549,-0.005477941,97,12:30:00,175,-97,18:58:00,83,160,4:34:00,179,97,12:30:00,175,-97,18:58:00,83,160,4:34:00,179
4/6/2023,#NAME?,6.784545455,,6.87,-156,286,-0.235218254,-0.251785714,-0.237003968,-0.005563725,-0.00557598,-0.004914216,107,12:30:00,175,-96,18:58:00,83,183,4:34:00,179,107,12:30:00,175,-96,18:58:00,83,183,4:34:00,179
4/7/2023,#NAME?,5.014545455,,5.11,-138,279,-0.204265873,-0.198412699,-0.167261904,-0.004215686,-0.003541667,-0.005551471,66,12:30:00,175,-101,18:56:00,81,193,4:34:00,179,66,12:30:00,175,-101,18:58:00,83,193,4:34:00,179
4/8/2023,#NAME?,7.348181818,,7.47,-154,283,-0.22609127,-0.219146825,-0.2125,-0.005625,-0.003958333,-0.00432598,69,12:30:00,175,-96,18:56:00,81,136,4:34:00,179,69,12:30:00,175,-96,18:58:00,83,136,4:34:00,179
4/9/2023,#NAME?,7.015454545,,7.12,-145,294,-0.187896825,-0.21359127,-0.208531746,-0.004387255,-0.003995098,-0.021985294,96,12:30:00,175,38,17:36:00,1,165,4:34:00,179,96,12:30:00,175,38,17:36:00,1,165,4:34:00,179
4/10/2023,#NAME?,6.75,,6.97,-146,201,-0.083730159,-0.132142857,-0.152876984,-0.006409314,-0.005955882,-0.005,9,12:30:00,175,-97,18:58:00,83,4,4:34:00,179,9,12:30:00,175,-97,18:58:00,83,4,4:34:00,179
4/11/2023,#NAME?,7.46,,7.59,-134,277,-0.164980159,-0.134325397,-0.213492063,-0.004485294,-0.003051471,-0.008664216,58,12:30:00,175,-79,18:54:00,79,130,4:34:00,179,58,12:30:00,175,-79,18:58:00,83,130,4:34:00,179
4/12/2023,#NAME?,6.890909091,,7,-98,299,-0.183234127,-0.130456349,-0.133630952,-0.007941176,-0.007830882,-0.005465686,104,12:30:00,175,-74,18:54:00,79,184,4:34:00,179,104,12:30:00,175,-74,18:58:00,83,184,4:34:00,179
4/13/2023,#NAME?,6.384545455,,6.53,-93,302,-0.158928571,-0.115376984,-0.072718254,-0.006066176,-0.005808824,-0.006115196,117,12:30:00,175,-63,18:44:00,69,196,4:34:00,179,117,12:30:00,175,-66,18:58:00,83,196,4:34:00,179
4/14/2023,#NAME?,5.603636364,,5.79,-102,304,-0.054563492,-0.080853175,-0.140079365,-0.005931373,-0.006090686,-0.010232843,76,12:30:00,175,-54,18:40:00,65,179,4:34:00,179,76,12:30:00,175,-58,18:58:00,83,179,4:34:00,179
4/15/2023,#NAME?,4.970909091,,5.12,-64,340,-0.087797619,-0.071626984,-0.06031746,-0.009705882,-0.009791667,-0.009485294,201,12:30:00,175,-45,18:36:00,61,242,4:34:00,179,201,12:30:00,175,-56,18:58:00,83,242,4:34:00,179
4/16/2023,#NAME?,4.176363636,,4.43,-66,346,-0.060615079,-0.068650794,-0.069543651,-0.008835784,-0.009093137,-0.006691176,223,12:30:00,175,-50,18:36:00,61,268,4:34:00,179,223,12:30:00,175,-59,18:58:00,83,268,4:34:00,179
4/17/2023,#NAME?,3.720909091,,3.96,-65,348,-0.047916667,-0.049007936,-0.041369048,-0.006151961,-0.007340686,-0.005355392,212,12:30:00,175,-65,18:36:00,61,267,4:34:00,179,212,12:30:00,175,-68,18:58:00,83,267,4:34:00,179
4/18/2023,#NAME?,6.761818182,,6.95,-70,351,-0.021031746,-0.007837302,0.023809524,-0.006029412,-0.007622549,-0.002953431,201,12:30:00,175,-77,18:38:00,63,259,4:34:00,179,201,12:30:00,175,-80,18:58:00,83,259,4:34:00,179
4/19/2023,#NAME?,6.242727273,,6.52,-136,331,-0.018253968,-0.013293651,-0.011904762,-0.00122549,-0.002830882,-0.005857843,77,12:30:00,175,-94,18:56:00,81,194,4:34:00,179,77,12:30:00,175,-94,18:58:00,83,194,4:34:00,179
4/20/2023,#NAME?,5.64,,5.99,-147,317,-0.011805556,-0.023611111,-0.016666667,-0.004338235,-0.006237745,-0.005710784,24,12:30:00,175,-98,18:56:00,81,136,4:34:00,179,24,12:30:00,175,-98,18:58:00,83,136,4:34:00,179
4/21/2023,#NAME?,3.860909091,,4.51,-165,310,-0.011507936,-0.01547619,0.016865079,-0.006433824,-0.009215686,-0.008946078,-23,12:30:00,175,-84,18:38:00,63,92,4:34:00,179,-23,12:30:00,175,-86,18:58:00,83,92,4:34:00,179
4/22/2023,#NAME?,0.332727273,,0.6,-117,332,0.054464286,0.050694444,0.042956349,-0.01004902,-0.009681373,-0.008958333,93,12:30:00,175,-103,18:56:00,81,218,4:34:00,179,93,12:30:00,175,-103,18:58:00,83,218,4:34:00,179
4/23/2023,#NAME?,0.109090909,,0.14,-181,302,-0.004662698,0.013194444,0.009325397,-0.006482843,-0.005980392,-0.004767157,-76,12:30:00,175,-107,18:58:00,83,110,4:34:00,179,-76,12:30:00,175,-107,18:58:00,83,110,4:34:00,179
4/24/2023,#NAME?,0.089090909,,0.1,-178,298,0.026190476,0.02827381,0.049801587,-0.003958333,-0.004865196,-0.004816176,-109,11:00:00,85,-111,18:56:00,81,16,4:34:00,179,-109,11:14:00,99,-111,18:58:00,83,16,4:34:00,179
4/25/2023,#NAME?,4.025454545,,4.73,-175,293,0.028075397,0.013690476,0.004761905,-0.004129902,-0.005710784,-0.005772059,-111,11:14:00,99,-112,18:58:00,83,-14,4:34:00,179,-111,11:14:00,99,-112,18:58:00,83,-14,4:34:00,179
4/26/2023,#NAME?,0.093636364,,0.1,-177,284,0.033928571,0.033531746,0.029662698,-0.005514706,-0.006004902,-0.006066176,-117,10:58:00,83,-119,18:58:00,83,-24,4:34:00,179,-118,11:08:00,93,-119,18:58:00,83,-24,4:34:00,179
4/27/2023,#NAME?,0.092727273,,0.1,-176,283,0.033035714,0.034523809,0.042162698,-0.005808824,-0.006666667,-0.014754902,-126,10:52:00,77,-145,18:56:00,81,-30,4:34:00,179,-126,10:52:00,77,-145,18:58:00,83,-30,4:34:00,179
4/28/2023,#NAME?,2.430909091,,3.49,-173,240,0.051388889,0.066269841,0.081448413,-0.005906863,-0.007365196,-0.004926471,-130,10:54:00,79,-118,18:56:00,81,-34,4:34:00,179,-130,10:54:00,79,-118,18:58:00,83,-34,4:34:00,179
4/29/2023,#NAME?,0.825454545,,1.31,-166,181,0.05952381,0.037003968,0.05515873,-0.005808824,-0.006115196,-0.008186275,-128,10:56:00,81,-129,18:56:00,81,-43,4:34:00,179,-128,11:00:00,85,-129,18:58:00,83,-43,4:34:00,179
4/30/2023,#NAME?,0.103636364,,0.12,-174,114,0.064781746,0.074404762,0.060019841,-0.010257353,-0.010073529,-0.010428922,-134,10:56:00,81,-133,18:56:00,81,-60,4:34:00,179,-134,10:58:00,83,-133,18:58:00,83,-60,4:34:00,179
5/1/2023,#NAME?,2.237272727,,2.9,-185,194,0.055257936,0.043948413,0.026488095,-0.010122549,-0.008933824,-0.008921569,-142,10:58:00,83,-174,17:36:00,1,-74,4:34:00,179,-142,11:00:00,85,-174,17:36:00,1,-74,4:34:00,179
5/2/2023,#NAME?,4.79,,5.8,-174,262,0.037301587,0.024503968,0.115376984,-0.010759804,-0.010637255,-0.007401961,-169,9:36:00,1,-138,18:58:00,83,-53,4:34:00,179,-174,9:46:00,11,-138,18:58:00,83,-53,4:34:00,179
5/3/2023,#NAME?,1.507272727,,2.23,-173,224,0.045833333,0.045039682,0.040575397,-0.009693627,-0.017977941,-0.019901961,-127,11:38:00,123,-141,18:58:00,83,-76,4:34:00,179,-128,11:46:00,131,-141,18:58:00,83,-76,4:34:00,179
5/4/2023,#NAME?,2.074545455,,2.81,-166,227,0.044742064,0.040972222,0.028472222,-0.017071078,-0.017058824,-0.013713235,-133,11:36:00,121,-141,18:58:00,83,-103,4:34:00,179,-133,11:42:00,127,-141,18:58:00,83,-103,4:34:00,179
5/5/2023,#NAME?,3.511818182,,4.56,-186,230,0.037400794,0.043650794,0.056646825,-0.012328431,-0.012659314,-0.006384804,-129,11:06:00,91,-126,18:58:00,83,-130,3:06:00,91,-132,11:40:00,125,-126,18:58:00,83,-132,3:38:00,123
