genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
CAN_4_bin.166.fa,99.09521312639968,NA,NA,NA,NA,NA,19_1,NA,NA,3,99.78,98.06,NA,NA
CAN_5_bin.100.fa,83.13034146763437,NA,NA,NA,NA,NA,20_1,NA,NA,4,98.14,94.46,NA,NA
CAN_4_bin.38.fa,63.19140108577413,NA,NA,NA,NA,NA,21_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.161.fa,85.59078969327688,NA,NA,NA,NA,NA,22_1,NA,NA,2,99.93,99.93,NA,NA
CAN_4_bin.238.fa,102.64003317813452,NA,NA,NA,NA,NA,23_1,NA,NA,5,99.97,99.81,NA,NA
coasm_bin.389.fa,90.76800300218687,NA,NA,NA,NA,NA,24_1,NA,NA,2,99.92,99.92,NA,NA
coasm_bin.512.fa,96.6477587656367,NA,NA,NA,NA,NA,25_1,NA,NA,3,99.91,99.74,NA,NA
coasm_bin.115.fa,37.50309118940221,NA,NA,NA,NA,NA,26_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.206.fa,58.00450445576973,NA,NA,NA,NA,NA,27_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.237.fa,97.40179529312816,NA,NA,NA,NA,NA,28_1,NA,NA,3,99.70,99.69,NA,NA
coasm_bin.147.fa,60.50475367505452,NA,NA,NA,NA,NA,29_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.60.fa,79.8671461952963,NA,NA,NA,NA,NA,30_1,NA,NA,2,99.88,99.88,NA,NA
coasm_bin.298.fa,68.95648490266024,NA,NA,NA,NA,NA,31_0,NA,NA,1,NA,NA,NA,NA
CAN_1_bin.84.fa,86.44345212944458,NA,NA,NA,NA,NA,32_1,NA,NA,4,99.91,99.32,NA,NA
coasm_bin.313.fa,74.17442169884494,NA,NA,NA,NA,NA,33_1,NA,NA,2,99.93,99.93,NA,NA
coasm_bin.481.fa,80.85714928835854,NA,NA,NA,NA,NA,34_1,NA,NA,6,99.94,99.85,NA,NA
coasm_bin.10.fa,90.29969919340267,NA,NA,NA,NA,NA,35_1,NA,NA,3,99.83,99.62,NA,NA
coasm_bin.543.fa,82.60806607951575,NA,NA,NA,NA,NA,36_1,NA,NA,3,100.00,99.99,NA,NA
coasm_bin.320.fa,48.87170190844356,NA,NA,NA,NA,NA,37_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.260.fa,93.87950812613346,NA,NA,NA,NA,NA,38_1,NA,NA,3,99.77,99.28,NA,NA
coasm_bin.181.fa,74.72097009441993,NA,NA,NA,NA,NA,39_1,NA,NA,2,99.48,99.48,NA,NA
CAN_5_bin.9.fa,75.69740270285993,NA,NA,NA,NA,NA,40_1,NA,NA,3,99.91,99.21,NA,NA
coasm_bin.572.fa,78.15374956436791,NA,NA,NA,NA,NA,41_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.473.fa,64.01912209567125,NA,NA,NA,NA,NA,42_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.519.fa,91.7600062277152,NA,NA,NA,NA,NA,43_1,NA,NA,3,99.99,99.95,NA,NA
CAN_4_bin.70.fa,70.4685569011223,NA,NA,NA,NA,NA,44_1,NA,NA,2,99.72,99.72,NA,NA
coasm_bin.103.fa,64.95369971992997,NA,NA,NA,NA,NA,45_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.426.fa,70.06094723546454,NA,NA,NA,NA,NA,46_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.103.fa,82.96752723585666,NA,NA,NA,NA,NA,47_1,NA,NA,3,99.98,99.95,NA,NA
coasm_bin.448.fa,91.57943945199224,NA,NA,NA,NA,NA,48_1,NA,NA,3,99.91,99.85,NA,NA
CAN_4_bin.11.fa,85.58311325676829,NA,NA,NA,NA,NA,49_1,NA,NA,3,99.98,99.97,NA,NA
coasm_bin.240.fa,54.6237094584084,NA,NA,NA,NA,NA,50_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.315.fa,56.56991446229131,NA,NA,NA,NA,NA,51_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.293.fa,87.32385024898775,NA,NA,NA,NA,NA,52_1,NA,NA,2,99.76,99.76,NA,NA
coasm_bin.110.fa,64.35916906358354,NA,NA,NA,NA,NA,53_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.183.fa,79.68511431062008,NA,NA,NA,NA,NA,54_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.414.fa,66.18856052490078,NA,NA,NA,NA,NA,55_1,NA,NA,1,NA,NA,NA,NA
coasm_bin.468.fa,71.60212169889955,NA,NA,NA,NA,NA,55_2,NA,NA,1,NA,NA,NA,NA
CAN_2_bin.66.fa,84.63155394933112,NA,NA,NA,NA,NA,55_3,NA,NA,5,99.48,97.72,NA,NA
coasm_bin.324.fa,73.61628800956024,NA,NA,NA,NA,NA,55_4,NA,NA,1,NA,NA,NA,NA
coasm_bin.153.fa,88.69543373090129,NA,NA,NA,NA,NA,56_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.201.fa,80.82054463612842,NA,NA,NA,NA,NA,57_1,NA,NA,2,99.96,99.96,NA,NA
coasm_bin.578.fa,99.70261553012396,NA,NA,NA,NA,NA,58_1,NA,NA,3,99.99,99.95,NA,NA
coasm_bin.70.fa,96.27666127301973,NA,NA,NA,NA,NA,59_1,NA,NA,3,99.91,99.88,NA,NA
CAN_5_bin.169.fa,56.39456187051565,NA,NA,NA,NA,NA,60_1,NA,NA,2,99.94,99.94,NA,NA
CAN_2_bin.176.fa,96.36459080898616,NA,NA,NA,NA,NA,61_1,NA,NA,4,99.85,99.68,NA,NA
CAN_1_bin.77.fa,99.44326359598725,NA,NA,NA,NA,NA,62_1,NA,NA,6,100.00,99.95,NA,NA
coasm_bin.318.fa,83.4384536054797,NA,NA,NA,NA,NA,63_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.62.fa,93.6714219921091,NA,NA,NA,NA,NA,64_1,NA,NA,3,99.71,99.63,NA,NA
CAN_4_bin.107.fa,73.10863185614195,NA,NA,NA,NA,NA,65_1,NA,NA,2,99.57,99.57,NA,NA
coasm_bin.258.fa,80.53610566356687,NA,NA,NA,NA,NA,66_1,NA,NA,2,99.79,99.79,NA,NA
coasm_bin.348.fa,96.83629829557071,NA,NA,NA,NA,NA,67_1,NA,NA,4,99.98,99.87,NA,NA
coasm_bin.231.fa,97.09388918696362,NA,NA,NA,NA,NA,68_1,NA,NA,2,99.98,99.98,NA,NA
coasm_bin.423.fa,91.32826948926692,NA,NA,NA,NA,NA,69_1,NA,NA,4,99.85,99.60,NA,NA
coasm_bin.13.fa,78.70571596579404,NA,NA,NA,NA,NA,70_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.556.fa,73.72508823561513,NA,NA,NA,NA,NA,71_1,NA,NA,2,100.00,100.00,NA,NA
coasm_bin.86.fa,90.68513381431076,NA,NA,NA,NA,NA,72_1,NA,NA,3,99.70,99.70,NA,NA
coasm_bin.47.fa,88.95764958092843,NA,NA,NA,NA,NA,73_1,NA,NA,3,99.70,99.46,NA,NA
CAN_4_bin.62.fa,45.06089238169425,NA,NA,NA,NA,NA,74_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.92.fa,51.87797268491703,NA,NA,NA,NA,NA,75_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.261.fa,68.38764224638896,NA,NA,NA,NA,NA,76_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.55.fa,92.9744138239652,NA,NA,NA,NA,NA,77_1,NA,NA,3,100.00,100.00,NA,NA
CAN_4_bin.116.fa,97.6089065535068,NA,NA,NA,NA,NA,78_1,NA,NA,6,99.97,99.57,NA,NA
CAN_5_bin.106.fa,73.81793280402155,NA,NA,NA,NA,NA,79_1,NA,NA,4,98.04,97.33,NA,NA
CAN_4_bin.25.fa,101.87481398682378,NA,NA,NA,NA,NA,80_1,NA,NA,3,100.00,100.00,NA,NA
coasm_bin.365.fa,97.02467023182648,NA,NA,NA,NA,NA,81_1,NA,NA,2,99.84,99.84,NA,NA
CAN_4_bin.72.fa,37.63921467809549,NA,NA,NA,NA,NA,82_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.251.fa,39.48745029380844,NA,NA,NA,NA,NA,83_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.325.fa,77.44207527257063,NA,NA,NA,NA,NA,84_1,NA,NA,2,99.77,99.77,NA,NA
coasm_bin.138.fa,54.25949578294181,NA,NA,NA,NA,NA,85_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.197.fa,75.24288712815179,NA,NA,NA,NA,NA,86_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.207.fa,84.5252645031163,NA,NA,NA,NA,NA,87_1,NA,NA,2,99.43,99.43,NA,NA
coasm_bin.88.fa,101.46572838159776,NA,NA,NA,NA,NA,88_1,NA,NA,3,99.30,99.08,NA,NA
coasm_bin.538.fa,43.53601353203131,NA,NA,NA,NA,NA,89_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.27.fa,92.48752792332932,NA,NA,NA,NA,NA,90_1,NA,NA,3,99.99,99.97,NA,NA
coasm_bin.542.fa,96.7837515833863,NA,NA,NA,NA,NA,91_1,NA,NA,4,99.99,99.92,NA,NA
coasm_bin.350.fa,58.01771834057084,NA,NA,NA,NA,NA,92_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.54.fa,91.67540187163344,NA,NA,NA,NA,NA,93_1,NA,NA,2,99.86,99.86,NA,NA
coasm_bin.358.fa,83.72370361289474,NA,NA,NA,NA,NA,94_1,NA,NA,2,99.82,99.82,NA,NA
coasm_bin.535.fa,102.79825737468794,NA,NA,NA,NA,NA,95_1,NA,NA,2,100.00,100.00,NA,NA
coasm_bin.425.fa,101.01902306383803,NA,NA,NA,NA,NA,96_1,NA,NA,3,100.00,100.00,NA,NA
coasm_bin.238.fa,51.914350855947,NA,NA,NA,NA,NA,97_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.514.fa,100.11779241203028,NA,NA,NA,NA,NA,98_1,NA,NA,2,99.84,99.84,NA,NA
coasm_bin.437.fa,46.07882770851869,NA,NA,NA,NA,NA,99_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.220.fa,103.13567265143746,NA,NA,NA,NA,NA,100_1,NA,NA,3,100.00,99.30,NA,NA
coasm_bin.196.fa,80.25205173983451,NA,NA,NA,NA,NA,101_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.399.fa,94.21151187902204,NA,NA,NA,NA,NA,102_1,NA,NA,4,99.57,99.06,NA,NA
coasm_bin.118.fa,90.76137126058975,NA,NA,NA,NA,NA,103_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.386.fa,100.82649683574394,NA,NA,NA,NA,NA,104_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.52.fa,71.87902780576562,NA,NA,NA,NA,NA,105_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.289.fa,100.32548600109996,NA,NA,NA,NA,NA,106_1,NA,NA,2,98.96,98.96,NA,NA
coasm_bin.262.fa,71.35550705960017,NA,NA,NA,NA,NA,106_2,NA,NA,1,NA,NA,NA,NA
CAN_3_bin.203.fa,102.50656965220428,NA,NA,NA,NA,NA,107_1,NA,NA,6,99.97,99.14,NA,NA
coasm_bin.178.fa,58.84056983128922,NA,NA,NA,NA,NA,108_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.1.fa,103.09901225468518,NA,NA,NA,NA,NA,109_1,NA,NA,3,100.00,99.92,NA,NA
CAN_2_bin.151.fa,94.58402180391909,NA,NA,NA,NA,NA,110_1,NA,NA,5,99.98,99.66,NA,NA
CAN_4_bin.152.fa,87.75384269790844,NA,NA,NA,NA,NA,111_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.35.fa,101.96811512586272,NA,NA,NA,NA,NA,112_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.340.fa,99.182648504396,NA,NA,NA,NA,NA,113_1,NA,NA,2,99.54,99.54,NA,NA
coasm_bin.280.fa,102.1239278429344,NA,NA,NA,NA,NA,114_1,NA,NA,3,99.06,98.54,NA,NA
CAN_4_bin.44.fa,102.82547899951552,NA,NA,NA,NA,NA,115_1,NA,NA,2,99.91,99.91,NA,NA
coasm_bin.555.fa,96.7182260052512,NA,NA,NA,NA,NA,116_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.540.fa,77.46881213483849,NA,NA,NA,NA,NA,117_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.420.fa,97.62318946306485,NA,NA,NA,NA,NA,118_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.202.fa,97.81188473453128,NA,NA,NA,NA,NA,119_1,NA,NA,2,99.92,99.92,NA,NA
CAN_1_bin.177.fa,102.55982057624676,NA,NA,NA,NA,NA,120_1,NA,NA,5,100.00,99.97,NA,NA
coasm_bin.392.fa,99.54226483163522,NA,NA,NA,NA,NA,121_1,NA,NA,4,99.55,99.03,NA,NA
coasm_bin.31.fa,97.3326450560982,NA,NA,NA,NA,NA,122_1,NA,NA,3,100.00,99.97,NA,NA
coasm_bin.203.fa,72.37876763884654,NA,NA,NA,NA,NA,123_1,NA,NA,4,99.25,97.45,NA,NA
CAN_3_bin.10.fa,96.71710267640496,NA,NA,NA,NA,NA,124_1,NA,NA,4,99.78,99.21,NA,NA
coasm_bin.338.fa,70.69092586149958,NA,NA,NA,NA,NA,124_2,NA,NA,1,NA,NA,NA,NA
coasm_bin.105.fa,53.23050565148407,NA,NA,NA,NA,NA,125_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.248.fa,59.40246954800042,NA,NA,NA,NA,NA,126_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.279.fa,44.58190573804487,NA,NA,NA,NA,NA,127_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.108.fa,48.921816155263066,NA,NA,NA,NA,NA,128_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.219.fa,71.27183262505999,NA,NA,NA,NA,NA,129_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.497.fa,97.19498768761466,NA,NA,NA,NA,NA,130_1,NA,NA,2,99.11,99.11,NA,NA
coasm_bin.218.fa,92.18701014155202,NA,NA,NA,NA,NA,131_1,NA,NA,3,99.59,99.51,NA,NA
coasm_bin.93.fa,100.52655634985516,NA,NA,NA,NA,NA,132_1,NA,NA,3,99.57,99.48,NA,NA
coasm_bin.233.fa,93.95013086656436,NA,NA,NA,NA,NA,133_1,NA,NA,2,96.79,96.79,NA,NA
coasm_bin.157.fa,68.25521989310518,NA,NA,NA,NA,NA,134_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.139.fa,59.13309262852802,NA,NA,NA,NA,NA,135_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.394.fa,96.04432379443962,NA,NA,NA,NA,NA,136_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.225.fa,72.4551289353445,NA,NA,NA,NA,NA,137_1,NA,NA,2,99.94,99.94,NA,NA
coasm_bin.476.fa,53.759047883388206,NA,NA,NA,NA,NA,138_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.250.fa,90.31158699864017,NA,NA,NA,NA,NA,139_1,NA,NA,2,99.98,99.98,NA,NA
coasm_bin.185.fa,102.0582749049121,NA,NA,NA,NA,NA,140_1,NA,NA,5,99.92,98.24,NA,NA
CAN_1_bin.98.fa,102.37636579942811,NA,NA,NA,NA,NA,141_1,NA,NA,6,100.00,99.97,NA,NA
CAN_4_bin.64.fa,72.34993697508766,NA,NA,NA,NA,NA,142_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.347.fa,71.11096793841396,NA,NA,NA,NA,NA,143_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.85.fa,85.33320765817389,NA,NA,NA,NA,NA,144_1,NA,NA,2,99.87,99.87,NA,NA
coasm_bin.131.fa,52.80062776002907,NA,NA,NA,NA,NA,145_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.305.fa,49.64391910207827,NA,NA,NA,NA,NA,146_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.278.fa,48.69785298737354,NA,NA,NA,NA,NA,147_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.215.fa,101.3926712391197,NA,NA,NA,NA,NA,148_1,NA,NA,5,99.98,99.28,NA,NA
coasm_bin.395.fa,94.52797158846953,NA,NA,NA,NA,NA,149_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.558.fa,62.717295709169896,NA,NA,NA,NA,NA,150_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.75.fa,97.27045078736356,NA,NA,NA,NA,NA,151_1,NA,NA,2,99.23,99.23,NA,NA
coasm_bin.226.fa,61.47256848435664,NA,NA,NA,NA,NA,152_0,NA,NA,1,NA,NA,NA,NA
CAN_2_bin.159.fa,103.05698110919364,NA,NA,NA,NA,NA,153_1,NA,NA,6,99.85,99.59,NA,NA
CAN_3_bin.43.fa,99.02881698598488,NA,NA,NA,NA,NA,154_1,NA,NA,4,99.68,99.30,NA,NA
coasm_bin.367.fa,72.09891154672567,NA,NA,NA,NA,NA,155_0,NA,NA,1,NA,NA,NA,NA
CAN_2_bin.125.fa,93.94495354731217,NA,NA,NA,NA,NA,156_1,NA,NA,3,99.14,99.09,NA,NA
CAN_3_bin.13.fa,88.81334245981286,NA,NA,NA,NA,NA,157_1,NA,NA,4,99.08,98.80,NA,NA
CAN_5_bin.177.fa,103.05388763243418,NA,NA,NA,NA,NA,158_1,NA,NA,5,100.00,99.98,NA,NA
coasm_bin.449.fa,94.21085717716272,NA,NA,NA,NA,NA,159_0,NA,NA,1,NA,NA,NA,NA
CAN_3_bin.124.fa,92.15920416932651,NA,NA,NA,NA,NA,160_1,NA,NA,2,99.18,99.18,NA,NA
coasm_bin.471.fa,101.89259215600872,NA,NA,NA,NA,NA,161_1,NA,NA,2,99.55,99.55,NA,NA
coasm_bin.134.fa,102.33118556111438,NA,NA,NA,NA,NA,162_1,NA,NA,4,99.86,98.46,NA,NA
coasm_bin.502.fa,68.92086809321837,NA,NA,NA,NA,NA,163_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.154.fa,88.35093508332491,NA,NA,NA,NA,NA,164_1,NA,NA,2,99.55,99.55,NA,NA
coasm_bin.411.fa,99.5671597591608,NA,NA,NA,NA,NA,165_1,NA,NA,4,99.76,99.39,NA,NA
coasm_bin.485.fa,102.07731404918658,NA,NA,NA,NA,NA,166_1,NA,NA,4,99.56,99.03,NA,NA
coasm_bin.469.fa,66.19380134449995,NA,NA,NA,NA,NA,167_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.321.fa,102.94390620228832,NA,NA,NA,NA,NA,168_1,NA,NA,5,99.94,99.75,NA,NA
coasm_bin.28.fa,101.16122077607903,NA,NA,NA,NA,NA,169_1,NA,NA,4,99.97,99.68,NA,NA
coasm_bin.417.fa,102.79011593719866,NA,NA,NA,NA,NA,170_1,NA,NA,3,99.67,99.61,NA,NA
coasm_bin.496.fa,44.500861426116,NA,NA,NA,NA,NA,171_1,NA,NA,2,98.09,98.09,NA,NA
CAN_1_bin.148.fa,60.64358322139847,NA,NA,NA,NA,NA,172_1,NA,NA,2,99.42,99.42,NA,NA
coasm_bin.277.fa,81.74494191526456,NA,NA,NA,NA,NA,172_2,NA,NA,3,99.86,99.41,NA,NA
CAN_1_bin.210.fa,100.27318072151964,NA,NA,NA,NA,NA,172_3,NA,NA,5,99.45,98.70,NA,NA
coasm_bin.271.fa,101.6696338802004,NA,NA,NA,NA,NA,173_1,NA,NA,3,99.87,99.80,NA,NA
CAN_5_bin.40.fa,86.78863202255883,NA,NA,NA,NA,NA,174_1,NA,NA,6,99.17,98.34,NA,NA
coasm_bin.249.fa,74.70556569939275,NA,NA,NA,NA,NA,175_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.2.fa,103.03145303331162,NA,NA,NA,NA,NA,176_1,NA,NA,6,99.95,99.18,NA,NA
coasm_bin.51.fa,98.31091863983872,NA,NA,NA,NA,NA,177_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.563.fa,98.75318466571494,NA,NA,NA,NA,NA,178_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.255.fa,85.56634061758861,NA,NA,NA,NA,NA,179_0,NA,NA,1,NA,NA,NA,NA
CAN_3_bin.216.fa,102.61633775205246,NA,NA,NA,NA,NA,180_1,NA,NA,4,99.88,99.45,NA,NA
CAN_2_bin.23.fa,96.11752262782832,NA,NA,NA,NA,NA,181_1,NA,NA,4,99.32,99.14,NA,NA
coasm_bin.222.fa,101.50436215456315,NA,NA,NA,NA,NA,182_1,NA,NA,4,99.62,96.43,NA,NA
CAN_2_bin.173.fa,75.68576710915994,NA,NA,NA,NA,NA,183_1,NA,NA,3,99.02,98.58,NA,NA
coasm_bin.171.fa,96.20298243632315,NA,NA,NA,NA,NA,184_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.335.fa,100.02350894658224,NA,NA,NA,NA,NA,185_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.265.fa,76.39724129536249,NA,NA,NA,NA,NA,186_1,NA,NA,2,99.82,99.82,NA,NA
CAN_5_bin.97.fa,79.69900588404656,NA,NA,NA,NA,NA,187_1,NA,NA,2,99.26,99.26,NA,NA
coasm_bin.223.fa,62.93026796656842,NA,NA,NA,NA,NA,187_2,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.208.fa,91.26707983921516,NA,NA,NA,NA,NA,188_1,NA,NA,3,99.99,99.96,NA,NA
CAN_3_bin.208.fa,92.05883451857002,NA,NA,NA,NA,NA,189_1,NA,NA,4,99.64,99.10,NA,NA
CAN_4_bin.195.fa,65.86603751608095,NA,NA,NA,NA,NA,190_1,NA,NA,2,99.95,99.95,NA,NA
CAN_5_bin.70.fa,89.90218074888654,NA,NA,NA,NA,NA,191_1,NA,NA,5,99.85,98.90,NA,NA
coasm_bin.256.fa,71.06909619461993,NA,NA,NA,NA,NA,192_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.529.fa,47.88434822426616,NA,NA,NA,NA,NA,193_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.15.fa,89.77711633214595,NA,NA,NA,NA,NA,194_1,NA,NA,2,99.65,99.65,NA,NA
CAN_2_bin.6.fa,100.88516532291251,NA,NA,NA,NA,NA,195_1,NA,NA,5,99.66,99.59,NA,NA
coasm_bin.214.fa,54.7399977369769,NA,NA,NA,NA,NA,196_0,NA,NA,1,NA,NA,NA,NA
CAN_4_bin.236.fa,72.2389005731732,NA,NA,NA,NA,NA,197_1,NA,NA,2,98.95,98.95,NA,NA
coasm_bin.208.fa,91.05490220832591,NA,NA,NA,NA,NA,198_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.246.fa,74.99298438627333,NA,NA,NA,NA,NA,199_0,NA,NA,1,NA,NA,NA,NA
CAN_3_bin.227.fa,101.87938846005004,NA,NA,NA,NA,NA,200_1,NA,NA,4,100.00,99.94,NA,NA
CAN_5_bin.2.fa,101.87203520098232,NA,NA,NA,NA,NA,201_1,NA,NA,2,100.00,100.00,NA,NA
coasm_bin.484.fa,98.42601578536396,NA,NA,NA,NA,NA,202_1,NA,NA,3,99.84,99.66,NA,NA
coasm_bin.290.fa,78.44912499918924,NA,NA,NA,NA,NA,203_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.547.fa,61.27934821901023,NA,NA,NA,NA,NA,204_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.84.fa,87.47449407259276,NA,NA,NA,NA,NA,205_1,NA,NA,2,99.77,99.77,NA,NA
CAN_1_bin.5.fa,88.5520067259362,NA,NA,NA,NA,NA,206_1,NA,NA,6,100.00,99.97,NA,NA
coasm_bin.336.fa,72.74549853419933,NA,NA,NA,NA,NA,207_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.82.fa,79.788809899121,NA,NA,NA,NA,NA,208_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.92.fa,64.05061814707241,NA,NA,NA,NA,NA,209_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.495.fa,79.2495319529397,NA,NA,NA,NA,NA,210_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.90.fa,91.98789570138524,NA,NA,NA,NA,NA,211_1,NA,NA,2,100.00,100.00,NA,NA
CAN_1_bin.174.fa,93.55317997117504,NA,NA,NA,NA,NA,211_2,NA,NA,6,100.00,99.85,NA,NA
CAN_5_bin.146.fa,96.51794673517288,NA,NA,NA,NA,NA,212_1,NA,NA,5,99.99,99.93,NA,NA
coasm_bin.74.fa,99.42703485787152,NA,NA,NA,NA,NA,213_1,NA,NA,3,99.88,99.83,NA,NA
CAN_1_bin.180.fa,100.31548702650775,NA,NA,NA,NA,NA,214_1,NA,NA,3,99.92,99.86,NA,NA
coasm_bin.479.fa,70.95795210745831,NA,NA,NA,NA,NA,215_0,NA,NA,1,NA,NA,NA,NA
CAN_1_bin.2.fa,96.03750900876624,NA,NA,NA,NA,NA,216_1,NA,NA,5,100.00,99.99,NA,NA
CAN_3_bin.221.fa,101.2912211194543,NA,NA,NA,NA,NA,217_1,NA,NA,6,100.00,100.00,NA,NA
coasm_bin.466.fa,75.80156457264502,NA,NA,NA,NA,NA,218_1,NA,NA,2,99.92,99.92,NA,NA
