MAG,Denitrification_genes_present,Denitrification_genes_total,Denitrification_completeness,Denitrification_present_list,Denitrification_absent_list,Nitrogen_other_genes_present,Nitrogen_other_genes_total,Nitrogen_other_completeness,Nitrogen_other_present_list,Nitrogen_other_absent_list,PolyP_genes_present,PolyP_genes_total,PolyP_completeness,PolyP_present_list,PolyP_absent_list,Phosphate_genes_present,Phosphate_genes_total,Phosphate_completeness,Phosphate_present_list,Phosphate_absent_list,PHA_genes_present,PHA_genes_total,PHA_completeness,PHA_present_list,PHA_absent_list,Acetate_genes_present,Acetate_genes_total,Acetate_completeness,Acetate_present_list,Acetate_absent_list,Propionate_PHV_genes_present,Propionate_PHV_genes_total,Propionate_PHV_completeness,Propionate_PHV_present_list,Propionate_PHV_absent_list,Glycogen_genes_present,Glycogen_genes_total,Glycogen_completeness,Glycogen_present_list,Glycogen_absent_list
CAN_1_bin.84,1,10,1/10,nirK(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,3,8,3/8,pstC(1); pstA(1); pstB(1),pstS; pit; phoB; phoR; phoU,1,4,1/4,phaA(2),phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_1_bin.98,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk2(1),ppk; ppx,1,8,1/8,pstS(1),pstC; pstA; pstB; pit; phoB; phoR; phoU,2,4,2/4,phaA(2); phaC(2),phaB; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,2,5,2/5,glgC(1); glgP(1),glgA; glgB; glgX
CAN_2_bin.125,2,10,2/10,napA(1); napB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,2,4,2/4,phaA(1); phaB(2),phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_2_bin.151,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,1,4,1/4,phaA(1),phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_2_bin.159,1,10,1/10,norB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,5,8,5/8,pstS(2); pstC(1); pstA(1); pstB(1); phoU(1),pit; phoB; phoR,1,4,1/4,phaB(1),phaA; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_2_bin.173,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,1,8,1/8,pit(1),pstS; pstC; pstA; pstB; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmA(2),prpC; prpD; prpE; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_2_bin.176,2,10,2/10,norB(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norC,2,4,2/4,nrfA(1); nrfH(1),nirB; nirD,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(3); pstC(2); pstA(2); pstB(3); pit(4); phoB(2); phoR(3); phoU(1),,1,4,1/4,phaA(2),phaB; phaC; phaZ,2,3,2/3,ackA(1); acs(3),pta,2,5,2/5,prpE(1); mcmB(2),prpC; prpD; mcmA,4,5,4/5,glgC(1); glgB(1); glgP(1); glgX(1),glgA
CAN_2_bin.23,6,10,6/10,napA(1); napB(1); nirS(1); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(2); nirD(2),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(1); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(4); phaB(2); phaC(3); phaZ(2),,2,3,2/3,ackA(2); acs(1),pta,4,5,4/5,prpC(1); prpD(1); prpE(1); mcmA(1),mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_2_bin.6,4,10,4/10,napA(1); napB(1); nirS(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK; norB; norC,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,3,4,3/4,phaA(6); phaB(2); phaC(3),phaZ,2,3,2/3,ackA(1); acs(3),pta,3,5,3/5,prpE(1); mcmA(2); mcmB(1),prpC; prpD,4,5,4/5,glgC(1); glgA(1); glgP(1); glgX(1),glgB
CAN_2_bin.66,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(2); ppk2(1),ppx,6,8,6/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(1); phoU(1),phoB; phoR,0,4,0/4,,phaA; phaB; phaC; phaZ,1,3,1/3,acs(4),pta; ackA,1,5,1/5,mcmA(4),prpC; prpD; prpE; mcmB,4,5,4/5,glgC(1); glgA(3); glgP(1); glgX(1),glgB
CAN_3_bin.10,4,10,4/10,nirS(1); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirK,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(3),ppx,8,8,8/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(13); phoB(1); phoR(1); phoU(2),,4,4,4/4,phaA(5); phaB(1); phaC(1); phaZ(1),,3,3,3/3,pta(1); ackA(2); acs(3),,2,5,2/5,prpE(1); mcmA(1),prpC; prpD; mcmB,4,5,4/5,glgC(1); glgA(1); glgP(1); glgX(2),glgB
CAN_3_bin.124,3,10,3/10,narI/narV(1); nirK(1); norB(1),narG/narZ/nxrA; narH/narY/nxrB; napA; napB; nirS; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,5,8,5/8,pstS(2); pstC(1); pstA(1); pstB(1); phoU(1),pit; phoB; phoR,4,4,4/4,phaA(3); phaB(1); phaC(1); phaZ(1),,2,3,2/3,ackA(1); acs(1),pta,2,5,2/5,prpC(1); prpD(1),prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_3_bin.13,4,10,4/10,napA(1); napB(1); nirK(1); norB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirS; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,4,4,4/4,phaA(2); phaB(2); phaC(1); phaZ(1),,1,3,1/3,acs(1),pta; ackA,2,5,2/5,prpC(1); prpE(1),prpD; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_3_bin.203,6,10,6/10,napA(1); napB(1); nirS(1); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(2),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(7); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(5); phaB(1); phaC(1); phaZ(1),,3,3,3/3,pta(2); ackA(1); acs(4),,2,5,2/5,prpE(1); mcmA(2),prpC; prpD; mcmB,3,5,3/5,glgC(1); glgA(1); glgP(1),glgB; glgX
CAN_3_bin.205,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(3); ppk2(1),ppx,2,8,2/8,pstS(1); phoR(2),pstC; pstA; pstB; pit; phoB; phoU,2,4,2/4,phaA(1); phaB(1),phaC; phaZ,2,3,2/3,ackA(1); acs(1),pta,1,5,1/5,mcmB(1),prpC; prpD; prpE; mcmA,3,5,3/5,glgC(2); glgA(1); glgP(1),glgB; glgX
CAN_3_bin.208,6,10,6/10,napA(1); napB(1); nirS(2); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(2); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(3),ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(1); phoB(4); phoR(3); phoU(1),pit,3,4,3/4,phaA(2); phaB(2); phaC(3),phaZ,3,3,3/3,pta(1); ackA(1); acs(2),,1,5,1/5,prpE(1),prpC; prpD; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_3_bin.216,6,10,6/10,napA(1); napB(1); nirS(1); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(2); nirD(2),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,3,4,3/4,phaA(6); phaB(2); phaC(3),phaZ,2,3,2/3,ackA(2); acs(2),pta,2,5,2/5,prpE(1); mcmA(1),prpC; prpD; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_3_bin.221,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,2,4,2/4,nrfA(9); nrfH(2),nirB; nirD,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(6); phoB(1); phoR(1); phoU(1),,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,acs(2),pta; ackA,2,5,2/5,mcmA(1); mcmB(2),prpC; prpD; prpE,3,5,3/5,glgC(1); glgA(1); glgP(1),glgB; glgX
CAN_3_bin.227,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_3_bin.43,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.103,3,10,3/10,nirK(2); norC(3); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB,2,4,2/4,nrfA(1); nrfH(1),nirB; nirD,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(9); phoB(2); phoR(3); phoU(2),,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,acs(1),pta; ackA,2,5,2/5,mcmA(1); mcmB(2),prpC; prpD; prpE,5,5,5/5,glgC(1); glgA(1); glgB(1); glgP(2); glgX(1),
CAN_4_bin.107,2,10,2/10,nirK(10); nosZ(2),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC,2,4,2/4,nrfA(1); nrfH(1),nirB; nirD,1,3,1/3,ppk(3),ppk2; ppx,8,8,8/8,pstS(3); pstC(2); pstA(2); pstB(1); pit(19); phoB(2); phoR(5); phoU(1),,1,4,1/4,phaA(7),phaB; phaC; phaZ,1,3,1/3,acs(8),pta; ackA,3,5,3/5,prpE(1); mcmA(1); mcmB(4),prpC; prpD,4,5,4/5,glgC(2); glgA(6); glgP(3); glgX(2),glgB
CAN_4_bin.11,4,10,4/10,narG/narZ/nxrA(1); narI/narV(1); nirS(1); nirK(2),narH/narY/nxrB; napA; napB; norB; norC; nosZ,4,4,4/4,nirB(1); nirD(1); nrfA(1); nrfH(2),,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(3); pstC(3); pstA(3); pstB(4); pit(7); phoB(1); phoR(4); phoU(1),,1,4,1/4,phaA(4),phaB; phaC; phaZ,2,3,2/3,pta(1); acs(2),ackA,2,5,2/5,mcmA(1); mcmB(2),prpC; prpD; prpE,3,5,3/5,glgC(1); glgB(1); glgP(1),glgA; glgX
CAN_4_bin.112,4,10,4/10,nirK(2); norB(2); norC(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(3); phoR(3),pstC; pstA; pstB; phoB; phoU,2,4,2/4,phaA(1); phaB(1),phaC; phaZ,1,3,1/3,acs(1),pta; ackA,1,5,1/5,mcmB(1),prpC; prpD; prpE; mcmA,1,5,1/5,glgC(1),glgA; glgB; glgP; glgX
CAN_4_bin.116,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(2),pit,3,4,3/4,phaA(2); phaB(1); phaC(4),phaZ,2,3,2/3,pta(1); acs(2),ackA,4,5,4/5,prpD(1); prpE(1); mcmA(2); mcmB(1),prpC,4,5,4/5,glgC(1); glgA(4); glgP(1); glgX(3),glgB
CAN_4_bin.142,7,10,7/10,narG/narZ/nxrA(2); narH/narY/nxrB(1); narI/narV(1); nirS(1); nirK(1); norB(1); norC(1),napA; napB; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,2,8,2/8,pit(6); phoR(1),pstS; pstC; pstA; pstB; phoB; phoU,2,4,2/4,phaA(2); phaB(1),phaC; phaZ,1,3,1/3,acs(1),pta; ackA,1,5,1/5,mcmA(2),prpC; prpD; prpE; mcmB,1,5,1/5,glgC(1),glgA; glgB; glgP; glgX
CAN_4_bin.152,3,10,3/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1),napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,6,8,6/8,pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pstS; pit,4,4,4/4,phaA(4); phaB(1); phaC(2); phaZ(1),,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmA(3),prpC; prpD; prpE; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.154,2,10,2/10,nirS(1); norB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirK; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(1); phoB(3); phoR(1); phoU(1),pit,3,4,3/4,phaB(4); phaC(1); phaZ(1),phaA,1,3,1/3,acs(2),pta; ackA,2,5,2/5,prpC(1); prpE(5),prpD; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.166,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,2,4,2/4,nrfA(3); nrfH(2),nirB; nirD,1,3,1/3,ppk(2),ppk2; ppx,7,8,7/8,pstS(3); pstC(1); pstA(1); pstB(1); pit(1); phoR(1); phoU(1),phoB,1,4,1/4,phaA(1),phaB; phaC; phaZ,2,3,2/3,ackA(1); acs(2),pta,3,5,3/5,prpD(1); mcmA(3); mcmB(1),prpC; prpE,4,5,4/5,glgC(2); glgA(1); glgP(1); glgX(1),glgB
CAN_4_bin.195,4,10,4/10,napA(1); napB(1); nirS(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(2); ppk2(4),ppx,7,8,7/8,pstS(3); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,3,4,3/4,phaA(4); phaB(1); phaC(4),phaZ,2,3,2/3,ackA(1); acs(2),pta,2,5,2/5,prpE(1); mcmA(1),prpC; prpD; mcmB,2,5,2/5,glgA(1); glgP(1),glgC; glgB; glgX
CAN_4_bin.197,2,10,2/10,norB(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norC,2,4,2/4,nrfA(8); nrfH(1),nirB; nirD,1,3,1/3,ppk(1),ppk2; ppx,8,8,8/8,pstS(3); pstC(1); pstA(1); pstB(2); pit(2); phoB(2); phoR(2); phoU(1),,1,4,1/4,phaA(1),phaB; phaC; phaZ,2,3,2/3,ackA(1); acs(2),pta,2,5,2/5,mcmA(2); mcmB(1),prpC; prpD; prpE,3,5,3/5,glgC(3); glgA(1); glgP(1),glgB; glgX
CAN_4_bin.208,6,10,6/10,napA(1); napB(1); nirS(2); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(2),ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,3,4,3/4,phaA(4); phaB(3); phaC(3),phaZ,3,3,3/3,pta(1); ackA(1); acs(2),,2,5,2/5,prpE(1); mcmA(1),prpC; prpD; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.220,6,10,6/10,napA(1); napB(1); nirS(1); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(3); pstC(1); pstA(1); pstB(1); pit(9); phoB(1); phoR(2); phoU(1),,4,4,4/4,phaA(3); phaB(1); phaC(1); phaZ(1),,1,3,1/3,acs(4),pta; ackA,2,5,2/5,prpE(1); mcmA(2),prpC; prpD; mcmB,3,5,3/5,glgC(1); glgA(1); glgP(1),glgB; glgX
CAN_4_bin.225,3,10,3/10,napA(2); napB(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirS; nirK; norB; norC,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(3),ppx,7,8,7/8,pstS(2); pstC(2); pstA(2); pstB(2); phoB(1); phoR(1); phoU(2),pit,3,4,3/4,phaA(2); phaB(1); phaC(1),phaZ,2,3,2/3,ackA(1); acs(2),pta,1,5,1/5,mcmA(1),prpC; prpD; prpE; mcmB,3,5,3/5,glgA(1); glgP(2); glgX(2),glgC; glgB
