genome,location,length
CAN_1_bin.195.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.195.fa,894103
CAN_1_bin.1.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.1.fa,4073478
CAN_1_bin.202.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.202.fa,3344935
CAN_1_bin.203.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.203.fa,3651820
CAN_1_bin.208.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.208.fa,2872952
CAN_1_bin.209.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.209.fa,3442445
CAN_1_bin.20.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.20.fa,3796105
CAN_1_bin.210.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.210.fa,3941745
CAN_1_bin.25.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.25.fa,3791152
CAN_1_bin.28.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.28.fa,5878198
CAN_1_bin.29.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.29.fa,3925323
CAN_1_bin.2.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.2.fa,3126569
CAN_1_bin.31.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.31.fa,2457035
CAN_1_bin.38.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.38.fa,3834089
CAN_1_bin.43.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.43.fa,4943579
CAN_1_bin.48.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.48.fa,668260
CAN_1_bin.4.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.4.fa,3823324
CAN_1_bin.50.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.50.fa,3220516
CAN_1_bin.55.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.55.fa,2676214
CAN_1_bin.5.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.5.fa,2295354
CAN_1_bin.60.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.60.fa,3243860
CAN_1_bin.62.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.62.fa,3454716
CAN_1_bin.68.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.68.fa,3197093
CAN_1_bin.74.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.74.fa,3814974
CAN_1_bin.77.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.77.fa,5985155
CAN_1_bin.81.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.81.fa,2904995
CAN_1_bin.82.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.82.fa,4025944
CAN_1_bin.83.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.83.fa,3939769
CAN_1_bin.84.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.84.fa,6398485
CAN_1_bin.88.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.88.fa,4876445
CAN_1_bin.89.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.89.fa,3240257
CAN_1_bin.92.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.92.fa,3391492
CAN_1_bin.95.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.95.fa,2534461
CAN_1_bin.96.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.96.fa,4359344
CAN_1_bin.98.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_1_bin.98.fa,5022376
CAN_2_bin.104.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.104.fa,3470411
CAN_2_bin.108.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.108.fa,1721519
CAN_2_bin.10.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.10.fa,4784217
CAN_2_bin.110.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.110.fa,3294357
CAN_2_bin.111.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.111.fa,3486252
CAN_2_bin.113.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.113.fa,6173026
CAN_2_bin.119.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.119.fa,4423961
CAN_2_bin.11.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.11.fa,1834871
CAN_2_bin.120.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.120.fa,3782369
CAN_2_bin.121.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.121.fa,3456999
CAN_2_bin.125.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.125.fa,3440139
CAN_2_bin.127.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.127.fa,3173926
CAN_2_bin.129.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.129.fa,3164567
CAN_2_bin.12.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.12.fa,2732258
CAN_2_bin.136.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.136.fa,3230927
CAN_2_bin.138.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.138.fa,598219
CAN_2_bin.146.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.146.fa,1166702
CAN_2_bin.151.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.151.fa,2857677
CAN_2_bin.155.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.155.fa,4697275
CAN_2_bin.156.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.156.fa,2937889
CAN_2_bin.159.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.159.fa,2816656
CAN_2_bin.160.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.160.fa,7394971
CAN_2_bin.165.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.165.fa,2478686
CAN_2_bin.170.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.170.fa,668260
CAN_2_bin.173.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.173.fa,3870350
CAN_2_bin.174.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.174.fa,4222639
CAN_2_bin.176.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.176.fa,5834731
CAN_2_bin.19.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.19.fa,2784045
CAN_2_bin.23.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.23.fa,4657897
CAN_2_bin.27.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.27.fa,5937656
CAN_2_bin.31.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.31.fa,3282975
CAN_2_bin.32.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.32.fa,1991840
CAN_2_bin.33.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.33.fa,2168986
CAN_2_bin.34.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.34.fa,2233107
CAN_2_bin.39.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.39.fa,4281547
CAN_2_bin.3.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.3.fa,3216114
CAN_2_bin.41.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.41.fa,3524948
CAN_2_bin.42.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.42.fa,3823335
CAN_2_bin.43.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.43.fa,4322552
CAN_2_bin.46.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.46.fa,3283897
CAN_2_bin.47.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.47.fa,4112599
CAN_2_bin.48.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.48.fa,3646281
CAN_2_bin.4.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.4.fa,4088253
CAN_2_bin.51.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.51.fa,4661486
CAN_2_bin.53.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.53.fa,3613817
CAN_2_bin.58.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.58.fa,3166510
CAN_2_bin.59.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.59.fa,2887402
CAN_2_bin.62.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.62.fa,4508136
CAN_2_bin.64.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.64.fa,2072655
CAN_2_bin.66.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.66.fa,2784204
CAN_2_bin.6.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.6.fa,3163088
CAN_2_bin.7.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.7.fa,4051099
CAN_2_bin.82.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.82.fa,1813836
CAN_2_bin.88.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.88.fa,2856457
CAN_2_bin.89.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.89.fa,1589806
CAN_2_bin.92.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.92.fa,3309831
CAN_2_bin.95.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_2_bin.95.fa,5022138
CAN_3_bin.102.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.102.fa,3847856
CAN_3_bin.103.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.103.fa,3322738
CAN_3_bin.107.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.107.fa,3979302
CAN_3_bin.10.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.10.fa,4215738
CAN_3_bin.110.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.110.fa,3361203
CAN_3_bin.115.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.115.fa,2856492
CAN_3_bin.117.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.117.fa,5050972
CAN_3_bin.119.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.119.fa,2485687
CAN_3_bin.121.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.121.fa,2601705
CAN_3_bin.124.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.124.fa,2710250
CAN_3_bin.125.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.125.fa,3633755
CAN_3_bin.127.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.127.fa,3593132
CAN_3_bin.132.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.132.fa,3771695
CAN_3_bin.135.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.135.fa,2349826
CAN_3_bin.13.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.13.fa,4099468
CAN_3_bin.143.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.143.fa,668640
CAN_3_bin.145.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.145.fa,3185295
CAN_3_bin.147.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.147.fa,2449980
CAN_3_bin.149.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.149.fa,4283192
CAN_3_bin.14.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.14.fa,4877430
CAN_3_bin.152.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.152.fa,4037004
CAN_3_bin.159.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.159.fa,3309290
CAN_3_bin.15.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.15.fa,3187264
CAN_3_bin.162.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.162.fa,1452165
CAN_3_bin.166.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.166.fa,3211068
CAN_3_bin.169.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.169.fa,2996458
CAN_3_bin.176.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.176.fa,3316751
CAN_3_bin.177.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.177.fa,3750832
CAN_3_bin.17.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.17.fa,3665581
CAN_3_bin.180.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.180.fa,5006774
CAN_3_bin.183.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.183.fa,3326594
CAN_3_bin.185.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.185.fa,1166702
CAN_3_bin.193.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.193.fa,4385552
CAN_3_bin.196.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.196.fa,4142266
CAN_3_bin.198.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.198.fa,2859895
CAN_3_bin.199.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.199.fa,4417362
CAN_3_bin.19.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.19.fa,2568057
CAN_3_bin.201.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.201.fa,3750662
CAN_3_bin.202.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.202.fa,3100407
CAN_3_bin.203.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.203.fa,4236105
CAN_3_bin.205.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.205.fa,4163202
CAN_3_bin.207.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.207.fa,3116918
CAN_3_bin.208.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.208.fa,3204018
CAN_3_bin.210.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.210.fa,4589005
CAN_3_bin.215.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.215.fa,3292050
CAN_3_bin.216.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.216.fa,4692493
CAN_3_bin.218.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.218.fa,4971878
CAN_3_bin.220.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.220.fa,4156328
CAN_3_bin.221.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.221.fa,3823334
CAN_3_bin.224.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.224.fa,4094574
CAN_3_bin.226.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.226.fa,5700567
CAN_3_bin.227.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.227.fa,3461866
CAN_3_bin.23.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.23.fa,4829475
CAN_3_bin.24.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.24.fa,3763725
CAN_3_bin.28.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.28.fa,6000128
CAN_3_bin.29.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.29.fa,1301575
CAN_3_bin.2.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.2.fa,4087967
CAN_3_bin.34.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.34.fa,3206869
CAN_3_bin.3.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.3.fa,2865255
CAN_3_bin.40.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.40.fa,2871414
CAN_3_bin.43.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.43.fa,3423860
CAN_3_bin.47.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.47.fa,3187005
CAN_3_bin.50.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.50.fa,3710777
CAN_3_bin.52.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.52.fa,856469
CAN_3_bin.53.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.53.fa,7713514
CAN_3_bin.56.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.56.fa,3412220
CAN_3_bin.58.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.58.fa,3551875
CAN_3_bin.5.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.5.fa,3375855
CAN_3_bin.69.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.69.fa,2099628
CAN_3_bin.73.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.73.fa,2884615
CAN_3_bin.77.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.77.fa,2218256
CAN_3_bin.79.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.79.fa,3122901
CAN_3_bin.80.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.80.fa,2733024
CAN_3_bin.81.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.81.fa,3941698
CAN_3_bin.87.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.87.fa,2352607
CAN_3_bin.91.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.91.fa,3552866
CAN_3_bin.95.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_3_bin.95.fa,2552257
CAN_4_bin.103.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.103.fa,5968436
CAN_4_bin.107.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.107.fa,5470925
CAN_4_bin.10.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.10.fa,3701041
CAN_4_bin.110.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.110.fa,791018
CAN_4_bin.112.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.112.fa,3249985
CAN_4_bin.115.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.115.fa,3324625
CAN_4_bin.116.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.116.fa,3624861
CAN_4_bin.118.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.118.fa,2835179
CAN_4_bin.11.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.11.fa,5045851
CAN_4_bin.122.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.122.fa,6215467
CAN_4_bin.123.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.123.fa,4504001
CAN_4_bin.125.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.125.fa,4337955
CAN_4_bin.126.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.126.fa,3755562
CAN_4_bin.127.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.127.fa,3090116
CAN_4_bin.134.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.134.fa,1378748
CAN_4_bin.135.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.135.fa,2293952
CAN_4_bin.137.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.137.fa,4106116
CAN_4_bin.13.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.13.fa,5680164
CAN_4_bin.142.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.142.fa,3167313
CAN_4_bin.143.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.143.fa,3176633
CAN_4_bin.146.fa,/scratch1/afreiburger/emilykin/processed/mag/staged_bins/CAN_4_bin.146.fa,2894756
