genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
CAN_2_bin.11.fa,28_1,0.050000000000000044,average,skani,28
CAN_3_bin.73.fa,28_1,0.050000000000000044,average,skani,28
coasm_bin.237.fa,28_1,0.050000000000000044,average,skani,28
coasm_bin.147.fa,29_0,0.050000000000000044,average,skani,29
CAN_1_bin.110.fa,30_1,0.050000000000000044,average,skani,30
coasm_bin.60.fa,30_1,0.050000000000000044,average,skani,30
coasm_bin.298.fa,31_0,0.050000000000000044,average,skani,31
CAN_1_bin.84.fa,32_1,0.050000000000000044,average,skani,32
CAN_2_bin.174.fa,32_1,0.050000000000000044,average,skani,32
CAN_4_bin.221.fa,32_1,0.050000000000000044,average,skani,32
coasm_bin.504.fa,32_1,0.050000000000000044,average,skani,32
CAN_4_bin.69.fa,33_1,0.050000000000000044,average,skani,33
coasm_bin.313.fa,33_1,0.050000000000000044,average,skani,33
CAN_1_bin.193.fa,34_1,0.050000000000000044,average,skani,34
CAN_2_bin.113.fa,34_1,0.050000000000000044,average,skani,34
CAN_3_bin.28.fa,34_1,0.050000000000000044,average,skani,34
CAN_4_bin.230.fa,34_1,0.050000000000000044,average,skani,34
CAN_5_bin.32.fa,34_1,0.050000000000000044,average,skani,34
coasm_bin.481.fa,34_1,0.050000000000000044,average,skani,34
CAN_4_bin.171.fa,35_1,0.050000000000000044,average,skani,35
CAN_5_bin.94.fa,35_1,0.050000000000000044,average,skani,35
coasm_bin.10.fa,35_1,0.050000000000000044,average,skani,35
CAN_4_bin.216.fa,36_1,0.050000000000000044,average,skani,36
CAN_5_bin.71.fa,36_1,0.050000000000000044,average,skani,36
coasm_bin.543.fa,36_1,0.050000000000000044,average,skani,36
coasm_bin.320.fa,37_0,0.050000000000000044,average,skani,37
CAN_4_bin.13.fa,38_1,0.050000000000000044,average,skani,38
CAN_5_bin.16.fa,38_1,0.050000000000000044,average,skani,38
coasm_bin.260.fa,38_1,0.050000000000000044,average,skani,38
CAN_4_bin.94.fa,39_1,0.050000000000000044,average,skani,39
coasm_bin.181.fa,39_1,0.050000000000000044,average,skani,39
CAN_4_bin.42.fa,40_1,0.050000000000000044,average,skani,40
CAN_5_bin.9.fa,40_1,0.050000000000000044,average,skani,40
coasm_bin.225.fa,40_1,0.050000000000000044,average,skani,40
coasm_bin.572.fa,41_0,0.050000000000000044,average,skani,41
coasm_bin.473.fa,42_0,0.050000000000000044,average,skani,42
CAN_4_bin.224.fa,43_1,0.050000000000000044,average,skani,43
CAN_5_bin.30.fa,43_1,0.050000000000000044,average,skani,43
coasm_bin.519.fa,43_1,0.050000000000000044,average,skani,43
CAN_4_bin.70.fa,44_1,0.050000000000000044,average,skani,44
coasm_bin.109.fa,44_1,0.050000000000000044,average,skani,44
coasm_bin.103.fa,45_0,0.050000000000000044,average,skani,45
coasm_bin.426.fa,46_0,0.050000000000000044,average,skani,46
CAN_4_bin.103.fa,47_1,0.050000000000000044,average,skani,47
CAN_5_bin.76.fa,47_1,0.050000000000000044,average,skani,47
coasm_bin.96.fa,47_1,0.050000000000000044,average,skani,47
CAN_4_bin.123.fa,48_1,0.050000000000000044,average,skani,48
CAN_5_bin.123.fa,48_1,0.050000000000000044,average,skani,48
coasm_bin.448.fa,48_1,0.050000000000000044,average,skani,48
CAN_4_bin.11.fa,49_1,0.050000000000000044,average,skani,49
CAN_5_bin.41.fa,49_1,0.050000000000000044,average,skani,49
coasm_bin.576.fa,49_1,0.050000000000000044,average,skani,49
coasm_bin.240.fa,50_0,0.050000000000000044,average,skani,50
coasm_bin.315.fa,51_0,0.050000000000000044,average,skani,51
CAN_3_bin.125.fa,52_1,0.050000000000000044,average,skani,52
coasm_bin.293.fa,52_1,0.050000000000000044,average,skani,52
coasm_bin.110.fa,53_0,0.050000000000000044,average,skani,53
coasm_bin.183.fa,54_0,0.050000000000000044,average,skani,54
coasm_bin.414.fa,55_1,0.050000000000000044,average,skani,55
coasm_bin.468.fa,55_2,0.050000000000000044,average,skani,55
CAN_1_bin.158.fa,55_3,0.050000000000000044,average,skani,55
CAN_2_bin.66.fa,55_3,0.050000000000000044,average,skani,55
CAN_3_bin.169.fa,55_3,0.050000000000000044,average,skani,55
CAN_4_bin.77.fa,55_3,0.050000000000000044,average,skani,55
coasm_bin.120.fa,55_3,0.050000000000000044,average,skani,55
coasm_bin.324.fa,55_4,0.050000000000000044,average,skani,55
coasm_bin.153.fa,56_0,0.050000000000000044,average,skani,56
CAN_4_bin.80.fa,57_1,0.050000000000000044,average,skani,57
coasm_bin.201.fa,57_1,0.050000000000000044,average,skani,57
CAN_4_bin.167.fa,58_1,0.050000000000000044,average,skani,58
CAN_5_bin.117.fa,58_1,0.050000000000000044,average,skani,58
coasm_bin.578.fa,58_1,0.050000000000000044,average,skani,58
CAN_1_bin.89.fa,59_1,0.050000000000000044,average,skani,59
CAN_4_bin.118.fa,59_1,0.050000000000000044,average,skani,59
coasm_bin.70.fa,59_1,0.050000000000000044,average,skani,59
CAN_5_bin.169.fa,60_1,0.050000000000000044,average,skani,60
coasm_bin.525.fa,60_1,0.050000000000000044,average,skani,60
CAN_1_bin.28.fa,61_1,0.050000000000000044,average,skani,61
CAN_2_bin.176.fa,61_1,0.050000000000000044,average,skani,61
CAN_3_bin.226.fa,61_1,0.050000000000000044,average,skani,61
coasm_bin.513.fa,61_1,0.050000000000000044,average,skani,61
CAN_1_bin.77.fa,62_1,0.050000000000000044,average,skani,62
CAN_2_bin.27.fa,62_1,0.050000000000000044,average,skani,62
CAN_3_bin.193.fa,62_1,0.050000000000000044,average,skani,62
CAN_4_bin.211.fa,62_1,0.050000000000000044,average,skani,62
CAN_5_bin.172.fa,62_1,0.050000000000000044,average,skani,62
coasm_bin.451.fa,62_1,0.050000000000000044,average,skani,62
coasm_bin.318.fa,63_0,0.050000000000000044,average,skani,63
CAN_4_bin.122.fa,64_1,0.050000000000000044,average,skani,64
CAN_5_bin.62.fa,64_1,0.050000000000000044,average,skani,64
coasm_bin.546.fa,64_1,0.050000000000000044,average,skani,64
CAN_4_bin.107.fa,65_1,0.050000000000000044,average,skani,65
coasm_bin.148.fa,65_1,0.050000000000000044,average,skani,65
CAN_5_bin.49.fa,66_1,0.050000000000000044,average,skani,66
coasm_bin.258.fa,66_1,0.050000000000000044,average,skani,66
CAN_1_bin.183.fa,67_1,0.050000000000000044,average,skani,67
CAN_2_bin.160.fa,67_1,0.050000000000000044,average,skani,67
CAN_3_bin.53.fa,67_1,0.050000000000000044,average,skani,67
coasm_bin.348.fa,67_1,0.050000000000000044,average,skani,67
CAN_4_bin.155.fa,68_1,0.050000000000000044,average,skani,68
coasm_bin.231.fa,68_1,0.050000000000000044,average,skani,68
CAN_1_bin.103.fa,69_1,0.050000000000000044,average,skani,69
CAN_2_bin.62.fa,69_1,0.050000000000000044,average,skani,69
CAN_3_bin.23.fa,69_1,0.050000000000000044,average,skani,69
coasm_bin.423.fa,69_1,0.050000000000000044,average,skani,69
coasm_bin.13.fa,70_0,0.050000000000000044,average,skani,70
CAN_5_bin.176.fa,71_1,0.050000000000000044,average,skani,71
coasm_bin.556.fa,71_1,0.050000000000000044,average,skani,71
CAN_4_bin.46.fa,72_1,0.050000000000000044,average,skani,72
CAN_5_bin.111.fa,72_1,0.050000000000000044,average,skani,72
coasm_bin.86.fa,72_1,0.050000000000000044,average,skani,72
CAN_4_bin.170.fa,73_1,0.050000000000000044,average,skani,73
CAN_5_bin.133.fa,73_1,0.050000000000000044,average,skani,73
coasm_bin.47.fa,73_1,0.050000000000000044,average,skani,73
CAN_4_bin.62.fa,74_0,0.050000000000000044,average,skani,74
CAN_4_bin.92.fa,75_0,0.050000000000000044,average,skani,75
coasm_bin.261.fa,76_0,0.050000000000000044,average,skani,76
CAN_4_bin.18.fa,77_1,0.050000000000000044,average,skani,77
CAN_5_bin.11.fa,77_1,0.050000000000000044,average,skani,77
coasm_bin.55.fa,77_1,0.050000000000000044,average,skani,77
CAN_1_bin.11.fa,78_1,0.050000000000000044,average,skani,78
CAN_2_bin.19.fa,78_1,0.050000000000000044,average,skani,78
CAN_3_bin.201.fa,78_1,0.050000000000000044,average,skani,78
CAN_4_bin.116.fa,78_1,0.050000000000000044,average,skani,78
CAN_5_bin.99.fa,78_1,0.050000000000000044,average,skani,78
coasm_bin.454.fa,78_1,0.050000000000000044,average,skani,78
CAN_2_bin.31.fa,79_1,0.050000000000000044,average,skani,79
CAN_4_bin.196.fa,79_1,0.050000000000000044,average,skani,79
CAN_5_bin.106.fa,79_1,0.050000000000000044,average,skani,79
coasm_bin.154.fa,79_1,0.050000000000000044,average,skani,79
CAN_4_bin.25.fa,80_1,0.050000000000000044,average,skani,80
CAN_5_bin.35.fa,80_1,0.050000000000000044,average,skani,80
coasm_bin.526.fa,80_1,0.050000000000000044,average,skani,80
CAN_5_bin.53.fa,81_1,0.050000000000000044,average,skani,81
coasm_bin.365.fa,81_1,0.050000000000000044,average,skani,81
CAN_4_bin.72.fa,82_0,0.050000000000000044,average,skani,82
coasm_bin.251.fa,83_0,0.050000000000000044,average,skani,83
CAN_4_bin.59.fa,84_1,0.050000000000000044,average,skani,84
coasm_bin.325.fa,84_1,0.050000000000000044,average,skani,84
coasm_bin.138.fa,85_0,0.050000000000000044,average,skani,85
CAN_4_bin.197.fa,86_0,0.050000000000000044,average,skani,86
CAN_3_bin.95.fa,87_1,0.050000000000000044,average,skani,87
coasm_bin.207.fa,87_1,0.050000000000000044,average,skani,87
CAN_1_bin.109.fa,88_1,0.050000000000000044,average,skani,88
CAN_3_bin.103.fa,88_1,0.050000000000000044,average,skani,88
coasm_bin.88.fa,88_1,0.050000000000000044,average,skani,88
coasm_bin.538.fa,89_0,0.050000000000000044,average,skani,89
CAN_2_bin.120.fa,90_1,0.050000000000000044,average,skani,90
CAN_3_bin.224.fa,90_1,0.050000000000000044,average,skani,90
coasm_bin.27.fa,90_1,0.050000000000000044,average,skani,90
CAN_1_bin.108.fa,91_1,0.050000000000000044,average,skani,91
CAN_2_bin.136.fa,91_1,0.050000000000000044,average,skani,91
CAN_3_bin.40.fa,91_1,0.050000000000000044,average,skani,91
coasm_bin.542.fa,91_1,0.050000000000000044,average,skani,91
coasm_bin.350.fa,92_0,0.050000000000000044,average,skani,92
CAN_1_bin.152.fa,93_1,0.050000000000000044,average,skani,93
coasm_bin.54.fa,93_1,0.050000000000000044,average,skani,93
CAN_4_bin.115.fa,94_1,0.050000000000000044,average,skani,94
coasm_bin.358.fa,94_1,0.050000000000000044,average,skani,94
CAN_5_bin.156.fa,95_1,0.050000000000000044,average,skani,95
coasm_bin.535.fa,95_1,0.050000000000000044,average,skani,95
CAN_4_bin.1.fa,96_1,0.050000000000000044,average,skani,96
CAN_5_bin.108.fa,96_1,0.050000000000000044,average,skani,96
coasm_bin.425.fa,96_1,0.050000000000000044,average,skani,96
coasm_bin.238.fa,97_0,0.050000000000000044,average,skani,97
CAN_5_bin.68.fa,98_1,0.050000000000000044,average,skani,98
coasm_bin.514.fa,98_1,0.050000000000000044,average,skani,98
coasm_bin.437.fa,99_0,0.050000000000000044,average,skani,99
CAN_1_bin.122.fa,100_1,0.050000000000000044,average,skani,100
CAN_4_bin.220.fa,100_1,0.050000000000000044,average,skani,100
coasm_bin.465.fa,100_1,0.050000000000000044,average,skani,100
coasm_bin.196.fa,101_0,0.050000000000000044,average,skani,101
CAN_1_bin.157.fa,102_1,0.050000000000000044,average,skani,102
CAN_2_bin.10.fa,102_1,0.050000000000000044,average,skani,102
CAN_3_bin.180.fa,102_1,0.050000000000000044,average,skani,102
coasm_bin.399.fa,102_1,0.050000000000000044,average,skani,102
coasm_bin.118.fa,103_0,0.050000000000000044,average,skani,103
coasm_bin.386.fa,104_0,0.050000000000000044,average,skani,104
CAN_5_bin.52.fa,105_0,0.050000000000000044,average,skani,105
CAN_5_bin.80.fa,106_1,0.050000000000000044,average,skani,106
coasm_bin.289.fa,106_1,0.050000000000000044,average,skani,106
coasm_bin.262.fa,106_2,0.050000000000000044,average,skani,106
CAN_1_bin.163.fa,107_1,0.050000000000000044,average,skani,107
CAN_2_bin.47.fa,107_1,0.050000000000000044,average,skani,107
CAN_3_bin.203.fa,107_1,0.050000000000000044,average,skani,107
CAN_4_bin.53.fa,107_1,0.050000000000000044,average,skani,107
CAN_5_bin.164.fa,107_1,0.050000000000000044,average,skani,107
coasm_bin.174.fa,107_1,0.050000000000000044,average,skani,107
coasm_bin.178.fa,108_0,0.050000000000000044,average,skani,108
CAN_4_bin.127.fa,109_1,0.050000000000000044,average,skani,109
CAN_5_bin.1.fa,109_1,0.050000000000000044,average,skani,109
coasm_bin.580.fa,109_1,0.050000000000000044,average,skani,109
CAN_1_bin.161.fa,110_1,0.050000000000000044,average,skani,110
CAN_2_bin.151.fa,110_1,0.050000000000000044,average,skani,110
CAN_3_bin.3.fa,110_1,0.050000000000000044,average,skani,110
CAN_5_bin.75.fa,110_1,0.050000000000000044,average,skani,110
coasm_bin.140.fa,110_1,0.050000000000000044,average,skani,110
CAN_4_bin.152.fa,111_0,0.050000000000000044,average,skani,111
CAN_4_bin.35.fa,112_0,0.050000000000000044,average,skani,112
CAN_4_bin.177.fa,113_1,0.050000000000000044,average,skani,113
coasm_bin.340.fa,113_1,0.050000000000000044,average,skani,113
CAN_4_bin.168.fa,114_1,0.050000000000000044,average,skani,114
CAN_5_bin.163.fa,114_1,0.050000000000000044,average,skani,114
coasm_bin.280.fa,114_1,0.050000000000000044,average,skani,114
CAN_4_bin.44.fa,115_1,0.050000000000000044,average,skani,115
coasm_bin.90.fa,115_1,0.050000000000000044,average,skani,115
coasm_bin.555.fa,116_0,0.050000000000000044,average,skani,116
coasm_bin.540.fa,117_0,0.050000000000000044,average,skani,117
coasm_bin.420.fa,118_0,0.050000000000000044,average,skani,118
CAN_5_bin.84.fa,119_1,0.050000000000000044,average,skani,119
coasm_bin.202.fa,119_1,0.050000000000000044,average,skani,119
CAN_1_bin.177.fa,120_1,0.050000000000000044,average,skani,120
CAN_2_bin.39.fa,120_1,0.050000000000000044,average,skani,120
CAN_3_bin.199.fa,120_1,0.050000000000000044,average,skani,120
CAN_4_bin.178.fa,120_1,0.050000000000000044,average,skani,120
CAN_5_bin.51.fa,120_1,0.050000000000000044,average,skani,120
CAN_1_bin.202.fa,121_1,0.050000000000000044,average,skani,121
CAN_2_bin.119.fa,121_1,0.050000000000000044,average,skani,121
CAN_3_bin.14.fa,121_1,0.050000000000000044,average,skani,121
coasm_bin.392.fa,121_1,0.050000000000000044,average,skani,121
CAN_4_bin.185.fa,122_1,0.050000000000000044,average,skani,122
CAN_5_bin.34.fa,122_1,0.050000000000000044,average,skani,122
coasm_bin.31.fa,122_1,0.050000000000000044,average,skani,122
CAN_1_bin.60.fa,123_1,0.050000000000000044,average,skani,123
CAN_3_bin.183.fa,123_1,0.050000000000000044,average,skani,123
CAN_4_bin.240.fa,123_1,0.050000000000000044,average,skani,123
coasm_bin.203.fa,123_1,0.050000000000000044,average,skani,123
CAN_1_bin.130.fa,124_1,0.050000000000000044,average,skani,124
CAN_2_bin.7.fa,124_1,0.050000000000000044,average,skani,124
CAN_3_bin.10.fa,124_1,0.050000000000000044,average,skani,124
CAN_4_bin.137.fa,124_1,0.050000000000000044,average,skani,124
coasm_bin.338.fa,124_2,0.050000000000000044,average,skani,124
coasm_bin.105.fa,125_0,0.050000000000000044,average,skani,125
coasm_bin.248.fa,126_0,0.050000000000000044,average,skani,126
coasm_bin.279.fa,127_0,0.050000000000000044,average,skani,127
coasm_bin.108.fa,128_0,0.050000000000000044,average,skani,128
coasm_bin.219.fa,129_0,0.050000000000000044,average,skani,129
CAN_3_bin.119.fa,130_1,0.050000000000000044,average,skani,130
coasm_bin.497.fa,130_1,0.050000000000000044,average,skani,130
CAN_2_bin.127.fa,131_1,0.050000000000000044,average,skani,131
CAN_3_bin.166.fa,131_1,0.050000000000000044,average,skani,131
coasm_bin.218.fa,131_1,0.050000000000000044,average,skani,131
CAN_4_bin.148.fa,132_1,0.050000000000000044,average,skani,132
CAN_5_bin.103.fa,132_1,0.050000000000000044,average,skani,132
coasm_bin.93.fa,132_1,0.050000000000000044,average,skani,132
CAN_1_bin.123.fa,133_1,0.050000000000000044,average,skani,133
coasm_bin.233.fa,133_1,0.050000000000000044,average,skani,133
coasm_bin.157.fa,134_0,0.050000000000000044,average,skani,134
coasm_bin.139.fa,135_0,0.050000000000000044,average,skani,135
coasm_bin.394.fa,136_0,0.050000000000000044,average,skani,136
CAN_4_bin.225.fa,137_1,0.050000000000000044,average,skani,137
coasm_bin.146.fa,137_1,0.050000000000000044,average,skani,137
coasm_bin.476.fa,138_0,0.050000000000000044,average,skani,138
CAN_1_bin.20.fa,139_1,0.050000000000000044,average,skani,139
coasm_bin.250.fa,139_1,0.050000000000000044,average,skani,139
CAN_1_bin.165.fa,140_1,0.050000000000000044,average,skani,140
CAN_3_bin.220.fa,140_1,0.050000000000000044,average,skani,140
CAN_4_bin.125.fa,140_1,0.050000000000000044,average,skani,140
CAN_5_bin.18.fa,140_1,0.050000000000000044,average,skani,140
coasm_bin.185.fa,140_1,0.050000000000000044,average,skani,140
CAN_1_bin.98.fa,141_1,0.050000000000000044,average,skani,141
CAN_2_bin.95.fa,141_1,0.050000000000000044,average,skani,141
CAN_3_bin.218.fa,141_1,0.050000000000000044,average,skani,141
CAN_4_bin.26.fa,141_1,0.050000000000000044,average,skani,141
CAN_5_bin.165.fa,141_1,0.050000000000000044,average,skani,141
coasm_bin.405.fa,141_1,0.050000000000000044,average,skani,141
CAN_4_bin.64.fa,142_0,0.050000000000000044,average,skani,142
coasm_bin.347.fa,143_0,0.050000000000000044,average,skani,143
CAN_4_bin.89.fa,144_1,0.050000000000000044,average,skani,144
coasm_bin.85.fa,144_1,0.050000000000000044,average,skani,144
coasm_bin.131.fa,145_0,0.050000000000000044,average,skani,145
coasm_bin.305.fa,146_0,0.050000000000000044,average,skani,146
coasm_bin.278.fa,147_0,0.050000000000000044,average,skani,147
CAN_1_bin.50.fa,148_1,0.050000000000000044,average,skani,148
CAN_2_bin.92.fa,148_1,0.050000000000000044,average,skani,148
CAN_3_bin.47.fa,148_1,0.050000000000000044,average,skani,148
CAN_4_bin.181.fa,148_1,0.050000000000000044,average,skani,148
coasm_bin.215.fa,148_1,0.050000000000000044,average,skani,148
coasm_bin.395.fa,149_0,0.050000000000000044,average,skani,149
coasm_bin.558.fa,150_0,0.050000000000000044,average,skani,150
CAN_3_bin.19.fa,151_1,0.050000000000000044,average,skani,151
coasm_bin.75.fa,151_1,0.050000000000000044,average,skani,151
coasm_bin.226.fa,152_0,0.050000000000000044,average,skani,152
CAN_1_bin.208.fa,153_1,0.050000000000000044,average,skani,153
CAN_2_bin.159.fa,153_1,0.050000000000000044,average,skani,153
CAN_3_bin.115.fa,153_1,0.050000000000000044,average,skani,153
CAN_4_bin.228.fa,153_1,0.050000000000000044,average,skani,153
CAN_5_bin.101.fa,153_1,0.050000000000000044,average,skani,153
coasm_bin.460.fa,153_1,0.050000000000000044,average,skani,153
CAN_1_bin.25.fa,154_1,0.050000000000000044,average,skani,154
CAN_2_bin.121.fa,154_1,0.050000000000000044,average,skani,154
CAN_3_bin.43.fa,154_1,0.050000000000000044,average,skani,154
coasm_bin.528.fa,154_1,0.050000000000000044,average,skani,154
coasm_bin.367.fa,155_0,0.050000000000000044,average,skani,155
CAN_1_bin.62.fa,156_1,0.050000000000000044,average,skani,156
CAN_2_bin.125.fa,156_1,0.050000000000000044,average,skani,156
CAN_3_bin.91.fa,156_1,0.050000000000000044,average,skani,156
CAN_1_bin.38.fa,157_1,0.050000000000000044,average,skani,157
CAN_2_bin.41.fa,157_1,0.050000000000000044,average,skani,157
CAN_3_bin.13.fa,157_1,0.050000000000000044,average,skani,157
coasm_bin.297.fa,157_1,0.050000000000000044,average,skani,157
CAN_1_bin.1.fa,158_1,0.050000000000000044,average,skani,158
CAN_3_bin.2.fa,158_1,0.050000000000000044,average,skani,158
CAN_4_bin.9.fa,158_1,0.050000000000000044,average,skani,158
CAN_5_bin.177.fa,158_1,0.050000000000000044,average,skani,158
coasm_bin.506.fa,158_1,0.050000000000000044,average,skani,158
coasm_bin.449.fa,159_0,0.050000000000000044,average,skani,159
CAN_3_bin.124.fa,160_1,0.050000000000000044,average,skani,160
coasm_bin.308.fa,160_1,0.050000000000000044,average,skani,160
CAN_3_bin.162.fa,161_1,0.050000000000000044,average,skani,161
coasm_bin.471.fa,161_1,0.050000000000000044,average,skani,161
CAN_2_bin.82.fa,162_1,0.050000000000000044,average,skani,162
CAN_3_bin.77.fa,162_1,0.050000000000000044,average,skani,162
CAN_4_bin.158.fa,162_1,0.050000000000000044,average,skani,162
coasm_bin.134.fa,162_1,0.050000000000000044,average,skani,162
coasm_bin.502.fa,163_0,0.050000000000000044,average,skani,163
CAN_4_bin.154.fa,164_1,0.050000000000000044,average,skani,164
coasm_bin.272.fa,164_1,0.050000000000000044,average,skani,164
CAN_1_bin.83.fa,165_1,0.050000000000000044,average,skani,165
CAN_2_bin.51.fa,165_1,0.050000000000000044,average,skani,165
CAN_3_bin.117.fa,165_1,0.050000000000000044,average,skani,165
coasm_bin.411.fa,165_1,0.050000000000000044,average,skani,165
CAN_1_bin.55.fa,166_1,0.050000000000000044,average,skani,166
CAN_2_bin.34.fa,166_1,0.050000000000000044,average,skani,166
CAN_3_bin.110.fa,166_1,0.050000000000000044,average,skani,166
coasm_bin.485.fa,166_1,0.050000000000000044,average,skani,166
coasm_bin.469.fa,167_0,0.050000000000000044,average,skani,167
CAN_1_bin.29.fa,168_1,0.050000000000000044,average,skani,168
CAN_2_bin.165.fa,168_1,0.050000000000000044,average,skani,168
CAN_3_bin.58.fa,168_1,0.050000000000000044,average,skani,168
CAN_4_bin.161.fa,168_1,0.050000000000000044,average,skani,168
coasm_bin.321.fa,168_1,0.050000000000000044,average,skani,168
CAN_1_bin.96.fa,169_1,0.050000000000000044,average,skani,169
CAN_3_bin.79.fa,169_1,0.050000000000000044,average,skani,169
CAN_4_bin.179.fa,169_1,0.050000000000000044,average,skani,169
coasm_bin.28.fa,169_1,0.050000000000000044,average,skani,169
CAN_1_bin.102.fa,170_1,0.050000000000000044,average,skani,170
CAN_4_bin.43.fa,170_1,0.050000000000000044,average,skani,170
coasm_bin.417.fa,170_1,0.050000000000000044,average,skani,170
CAN_1_bin.81.fa,171_1,0.050000000000000044,average,skani,171
coasm_bin.496.fa,171_1,0.050000000000000044,average,skani,171
CAN_1_bin.148.fa,172_1,0.050000000000000044,average,skani,172
coasm_bin.292.fa,172_1,0.050000000000000044,average,skani,172
CAN_4_bin.51.fa,172_2,0.050000000000000044,average,skani,172
CAN_5_bin.58.fa,172_2,0.050000000000000044,average,skani,172
coasm_bin.277.fa,172_2,0.050000000000000044,average,skani,172
CAN_1_bin.210.fa,172_3,0.050000000000000044,average,skani,172
CAN_2_bin.43.fa,172_3,0.050000000000000044,average,skani,172
CAN_3_bin.81.fa,172_3,0.050000000000000044,average,skani,172
CAN_5_bin.25.fa,172_3,0.050000000000000044,average,skani,172
coasm_bin.377.fa,172_3,0.050000000000000044,average,skani,172
CAN_2_bin.110.fa,173_1,0.050000000000000044,average,skani,173
CAN_3_bin.152.fa,173_1,0.050000000000000044,average,skani,173
coasm_bin.271.fa,173_1,0.050000000000000044,average,skani,173
