sample_id,abundance_day,op_day,date,note,COD-Inf [mg/L],COD-Inf [mg/L]#2,P-Inf [mg/L],P-return [mg/L],N-Inf [mg/L],N-Inf [mg/L]#2,COD:P,COD:N,N:P,P_An-1 [mg/L],Acetate ppm [mg/L],Propionate ppm [mg/L],Acetate ppm [COD mg/L],Propionate ppm [COD mg/L],COD_An_1 [COD mg/L],P_An-2 [COD mg/L],Acetate ppm [mg/L]#2,Propionate ppm [mg/L]#2,COD_An_2 [COD mg/L],DO_An-1 [mg/L],DO_An-2 [mg/L],OPR_An-1 [mV],OPR_An-2 [mV],An_time [minutes],P_Ax-1 [mg/L],N_Ax-1 [mg/L],P_Ax-2 [mg/L],N_Ax-2 [mg/L],peakN2O [mg/L],pN2O_time [minutes],ORP_Ax-2 [mV],Ax_react_time [minutes],Ax_time [minutes],P_A-1 [mg/L],P_A-2 [mg/L],A_time [minutes],MLSS,MLSS [avg],SRT,COD removal [COD%],N removal [N%],N to N2O conversion [N2O%],P removal [P%],Cod removal (ppm) [COD-ppm],N removal (ppm) [N-ppn],P removal (ppm) [P-ppm],Anoxic P removal [ANO-P-ppm],Aerobic P removal [AER-P-ppm],COD removal [COD%]#2,N removal [N%]#2,N to N2O conversion [N2O%]#2,P removal [P%]#2,denitrification rate [mg NO2–N  h−1],specific denitrification rates [mg NO2–N g−1 VSS−1 h−1],specific denitrifying P uptake rate,anoxic:aerobic P uptake rate ratio
,-229.0,10.0,2023-12-15,,,,10.064,,,,,,,,,,,,,,,,,6.12,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,2790.000000000009,,,,,1.0,,,,,,,,,,,,,
,-228.0,11.0,2023-12-16,,,,10.064,,,,,,,,,,,,,,,,,6.3,,,,80.0,0.0,,,,,,,175.0,180.0,0.0,,100.0,,2790.000000000009,,,,,1.0,,,,,,,,,,,,,
,-227.0,12.0,2023-12-17,,,,10.064,,,,,,,,,,,,,,,,,4.08,,,,80.0,0.0,,,,0.12,,,175.0,180.0,0.0,,100.0,,2790.000000000009,,,,,1.0,,,,,,,,,,,,,
,-226.0,13.0,2023-12-18,,144.252,90.121,13.42,6.71,9.42,,10.74903129657228,7.656687898089173,1.4038748137108792,13.9,,,,,72.126,29.8,,,7.766,9.31,0.21,,,80.0,29.8,9.42,19.0,1e-05,0.41,,,175.0,180.0,19.0,9.64,100.0,,2790.000000000009,,0.9461636580428696,0.9999989384288748,0.0435244623401935,0.2816691505216095,136.48600000000002,9.41999,3.78,10.8,9.36,0.9461636580428696,0.9999989384288748,0.0435244623401935,0.2816691505216095,3.229710857142857,1.157602457757293,,
,-225.0,14.0,2023-12-19,turbid effluent,233.668,,18.56,9.33,14.5,,12.589870689655172,8.05751724137931,1.5624999999999998,18.61,,,,,116.834,47.14,,,7.85,8.16,,,,80.0,47.14,14.5,29.07,0.58,1.44,,,175.0,180.0,29.07,13.99,100.0,2790.000000000009,2790.000000000009,26.52595550484772,0.9664053272163924,0.96,0.1034482758620689,0.2462284482758621,225.818,13.92,4.570000000000002,18.07,15.08,0.9664053272163924,0.96,0.1034482758620689,0.2462284482758621,4.772571428571429,1.7105990783410083,,
,-224.0,15.0,2023-12-20,,,,,,,,,,,,,,,,,,,,,8.32,,,,80.0,,,,,1.23,,,175.0,180.0,,,100.0,,2790.000000000009,,,,,,,,,,,,,,,,,,
,-223.0,16.0,2023-12-21,,202.776,,17.33666666666667,8.61,13.5,,11.69636608344549,7.510222222222223,1.5573928090751776,16.8,,,,,101.388,36.8,,,1.057,7.18,,,,80.0,36.8,13.5,23.8,0.635,1.84,,,175.0,180.0,23.8,12.7,100.0,,2790.000000000009,,0.9947873515603424,0.952962962962963,0.1430237077341624,0.2674485675831572,201.719,12.865,4.63666666666667,13.000000000000009,11.099999999999998,0.9947873515603424,0.952962962962963,0.1430237077341624,0.2674485675831572,4.410857142857143,1.580952380952376,,
,-222.0,17.0,2023-12-22,,221.0,124.255,18.24,8.18,16.35,,12.116228070175437,6.758409785932721,1.7927631578947367,17.3,,,,,110.5,40.0,,,1.047,4.54,,,,80.0,40.0,16.35,24.0,3.63,2.45,,,175.0,180.0,24.0,14.3,100.0,,2700.000000000045,25.34030949319248,0.995262443438914,0.7779816513761468,0.1926100628930817,0.2160087719298247,219.953,12.720000000000002,3.940000000000003,16.0,9.7,0.995262443438914,0.7779816513761468,0.1926100628930817,0.2160087719298247,4.361142857142858,1.6152380952380685,,
,-221.0,18.0,2023-12-23,,,,18.96,,17.21666666666667,,,,1.8161040787623068,,,,,,,,,,,,,,,80.0,,17.21666666666667,,,2.41,,,175.0,180.0,,,100.0,,2700.000000000045,,,1.0,0.1399806389157792,1.0,,,,,,,1.0,0.1399806389157792,,5.902857142857144,,,
,-220.0,19.0,2023-12-24,,,,19.44,,17.794444444444444,,,,1.8307041609510748,,,,,,,,,,,,,,,80.0,,17.794444444444444,27.9,3.31,2.31,,,175.0,180.0,27.9,16.55,100.0,,2700.000000000045,,,0.8139868872931626,0.15948143602332,0.148662551440329,,14.484444444444444,2.889999999999997,,11.349999999999998,,0.8139868872931626,0.15948143602332,0.148662551440329,4.966095238095238,1.839294532627835,,
,-219.0,20.0,2023-12-25,,235.598,,20.399999999999995,10.5,18.95,,11.548921568627454,6.216306068601583,1.8578431372549025,20.7,,,,,117.799,46.2,,,0.0,5.25,,,,80.0,46.2,18.95,31.1,2.22,2.05,,,175.0,180.0,31.1,17.1,100.0,,2700.000000000045,,1.0,0.8828496042216359,0.122534369396294,0.1617647058823526,235.598,16.73,3.2999999999999936,15.100000000000003,13.999999999999996,,0.8828496042216359,0.122534369396294,0.1617647058823526,5.736000000000001,2.124444444444409,,
,-218.0,21.0,2023-12-26,high ORP upset,358.37,,25.977777777777785,38.45,16.13,,13.795252352437975,11.108803471791694,1.2418306244653543,34.35,,,,,179.185,65.02,,,3.835,2.71,,,,80.0,65.02,16.13,55.57,1.52,0.36,,,175.0,180.0,55.57,35.86,100.0,2700.000000000045,2700.000000000045,16.187050359712767,0.9892987694282446,0.9057656540607564,0.0246406570841889,-0.3804106073567147,354.535,14.61,-9.882222222222214,9.449999999999996,19.71,0.9892987694282446,0.9057656540607564,0.0246406570841889,0.0,5.009142857142857,1.855238095238064,,
,-217.0,22.0,2023-12-27,94.4,304.778,185.667,25.57777777777777,23.0,16.55,,11.91573414422242,9.207794561933534,1.2940920938314515,29.4,,,,,152.389,45.0,,,21.211,,,,,80.0,45.0,16.55,44.0,1e-05,0.6,,,175.0,180.0,44.0,26.6,100.0,,2700.000000000045,,0.9304050817316212,0.9999993957703928,0.0362537983406636,-0.0399652476107736,283.567,16.54999,-1.0222222222222328,1.0,17.4,0.9304050817316212,0.9999993957703928,0.0362537983406636,0.0,5.674282285714287,2.1015860317459967,,
,-216.0,23.0,2023-12-28,,,,,,16.825000000000003,,,,,,,,,,,,,,,,,,,80.0,,16.825000000000003,,,1.58,,,175.0,180.0,,,100.0,,2700.000000000045,,,1.0,0.0939078751857355,,,,,,,,1.0,0.0939078751857355,,5.76857142857143,,,
,-215.0,24.0,2023-12-29,,,,,,16.825000000000003,,,,,,,,,,,,,,,,,,,80.0,,16.825000000000003,,,2.24,,,175.0,180.0,,,100.0,,,,,1.0,0.1331352154531946,,,,,,,,1.0,0.1331352154531946,,5.76857142857143,,,
,-214.0,25.0,2023-12-30,,,,,,16.825000000000003,,,,,,,,,,,,,,,,,,,80.0,,16.825000000000003,,,2.61,,,175.0,180.0,,,100.0,,2860.0000000000364,,,1.0,0.1551263001485884,,,,,,,,1.0,0.1551263001485884,,5.76857142857143,,,
,-213.0,26.0,2023-12-31,,,,,,16.825000000000003,,,,,,,,,,,,,,,,,,,80.0,,16.825000000000003,,,2.87,,,175.0,180.0,,,100.0,,2860.0000000000364,,,1.0,0.1705794947994056,,,,,,,,1.0,0.1705794947994056,,5.76857142857143,,,
,-212.0,27.0,2024-01-01,,,,,,16.825000000000003,,,,,,,,,,,,,,,,,,,80.0,,16.825000000000003,,,3.53,,,175.0,180.0,,,100.0,,2860.0000000000364,,,1.0,0.2098068350668647,,,,,,,,1.0,0.2098068350668647,,5.76857142857143,,,
,-211.0,28.0,2024-01-02,N2O data is zhen's,268.5436,155.6987,,,17.1,,,7.852152046783624,,24.0,,,,,134.27179999999998,50.8,,,8.8337,,,,,80.0,50.8,17.1,33.6,1e-05,4.07,,,175.0,180.0,33.6,18.92,100.0,,2860.0000000000364,,0.9671051553639706,0.9999994152046784,0.2380118350946404,,259.70989999999995,17.099990000000002,,17.199999999999996,14.68,0.9671051553639706,0.9999994152046784,0.2380118350946404,,5.862853714285715,2.0499488511488253,,
,-210.0,29.0,2024-01-03,adjust wasting to 15 sec,327.97,,34.379999999999995,21.12,20.99,,9.539557882489822,7.812529776083851,1.2210587550901688,27.75,,,,,163.985,65.07,,,8.543,,,,,80.0,65.07,20.99,37.89,0.43,5.12,,,175.0,180.0,37.89,20.6,100.0,2860.0000000000364,2860.0000000000364,26.3437998935599,0.9739518858432172,0.9795140543115768,0.2490272373540856,0.4008144269924373,319.427,20.56,13.779999999999994,27.18,17.29,0.9739518858432172,0.9795140543115768,0.2490272373540856,0.4008144269924373,7.049142857142857,2.4647352647352334,,
,-209.0,30.0,2024-01-04,,,,,,20.595,,,,,,,,,,,,,,,,,,,80.0,,20.595,,,5.19,,,175.0,180.0,,,100.0,,2935.0000000000136,,,1.0,0.2520029133284778,,,,,,,,1.0,0.2520029133284778,,7.061142857142857,,,
,-208.0,31.0,2024-01-05,,,,33.64,10.36,20.2,,,,1.2009512485136742,22.0,,,,,,47.2,,,,2.77,,,,80.0,47.2,20.2,29.6,0.249,5.89,,,175.0,180.0,29.6,10.2,100.0,,2935.0000000000136,,,0.9876732673267328,0.2952232970778407,0.6967895362663497,,19.951,23.44,17.6,19.4,,0.9876732673267328,0.2952232970778407,0.6967895362663497,6.840342857142858,2.330610854222428,,
,-207.0,32.0,2024-01-06,baby granules formation occurred over weekend,,,,,20.2,,,,,,,,,,,,,,,,,,,80.0,,20.2,,,6.59,,,175.0,180.0,,,100.0,,3009.999999999991,,,1.0,0.3262376237623762,,,,,,,,1.0,0.3262376237623762,,6.925714285714286,,,
,-206.0,33.0,2024-01-07,,,,,,20.2,,,,,,,,,,,,,,,,,,,80.0,,20.2,,,6.81,,,175.0,180.0,,,100.0,,3009.999999999991,,,1.0,0.3371287128712871,,,,,,,,1.0,0.3371287128712871,,6.925714285714286,,,
,-205.0,34.0,2024-01-08,very obvious clear effluent ,379.844,186.279,34.41,29.25,24.11,,11.038767800058125,7.877312318540025,1.4013368206916594,31.83,,,,,189.922,71.22,,,7.884,4.92,,,,80.0,71.22,24.11,46.25,1.3,6.74,,,175.0,180.0,46.25,29.19,100.0,3009.999999999991,3009.999999999991,25.888761467890088,0.9792441107401986,0.9460804645375362,0.2954844366505919,0.151700087183958,371.96,22.81,5.219999999999995,24.97,17.06,0.9792441107401986,0.9460804645375362,0.2954844366505919,0.151700087183958,7.820571428571428,2.5981964878974924,,
,-204.0,35.0,2024-01-09,,,,34.41,,23.75,,,,1.3804126707352515,,,,,,,,,,,,,,,80.0,54.5,23.75,32.7,2.35,7.21,,,175.0,180.0,32.7,20.7,100.0,,3009.999999999991,,,0.9010526315789472,0.3369158878504673,0.3984306887532693,,21.4,13.709999999999996,21.8,12.000000000000004,,0.9010526315789472,0.3369158878504673,0.3984306887532693,7.337142857142857,2.437588989084013,,
,-203.0,36.0,2024-01-10,adjust wasting to 22 sec,,,34.41,,25.3,,,,1.4705027608253414,,,,,,,,,,,,,,,80.0,60.0,25.3,39.65,3.2,8.29,,,175.0,180.0,39.65,23.95,100.0,,3009.999999999991,,,0.8735177865612649,0.3751131221719457,0.3039814007555942,,22.1,10.459999999999996,20.35,15.7,,0.8735177865612649,0.3751131221719457,0.3039814007555942,7.577142857142856,2.5173232083531163,,
,-202.0,37.0,2024-01-11,,,,30.205,,25.35,,,,1.6785300446945872,,,,,,,,,,,3.94,,,,80.0,,25.35,,4.09,8.62,,,175.0,180.0,,22.6,100.0,,,,,0.8386587771203156,0.405456255879586,0.2517795067041879,,21.26,7.604999999999997,,,,0.8386587771203156,0.405456255879586,0.2517795067041879,7.289142857142858,,,
,-201.0,38.0,2024-01-12,,,,26.0,,25.4,,,,1.9538461538461536,,,,,,,,,,4.192,7.34,,,,80.0,64.25,25.4,44.5,5.03,7.53,,,175.0,180.0,44.5,29.5,100.0,,2640.000000000009,,,0.8019685039370078,0.3696612665684831,-0.1346153846153846,,20.37,-3.5,19.75,15.0,,0.8019685039370078,0.3696612665684831,0.0,6.983999999999999,2.645454545454536,,
,-200.0,39.0,2024-01-13,,,,26.0,,26.21,,,,2.0161538461538457,,,,,,,,,,,,,,,80.0,,26.21,,,8.45,,,175.0,180.0,,,100.0,,2640.000000000009,,,1.0,0.3223960320488363,1.0,,,,,,,1.0,0.3223960320488363,,8.986285714285714,,,
,-199.0,40.0,2024-01-14,,,,26.0,,26.75,,,,2.0576923076923075,,,,,,,,,,,,,,,80.0,,26.75,,,7.32,,,175.0,180.0,,,100.0,,2640.000000000009,,,1.0,0.2736448598130842,1.0,,,,,,,1.0,0.2736448598130842,,9.17142857142857,,,
,-198.0,41.0,2024-01-15,,,,26.0,,27.11,,,,2.085384615384615,,,,,,,,,,,,,,,80.0,,27.11,,,7.58,,,175.0,180.0,,,100.0,,2640.000000000009,,,1.0,0.2796016230173368,1.0,,,,,,,1.0,0.2796016230173368,,9.294857142857142,,,
,-197.0,42.0,2024-01-16,,379.844,,25.0,25.66,27.83,,15.193760000000005,6.824362199065757,2.2264000000000004,25.33,,,,,189.922,56.38,,,7.884,7.82,,,,80.0,56.38,27.83,40.15,8.52,7.36,,,175.0,180.0,40.15,28.24,100.0,2640.000000000009,2640.000000000009,24.440421329821888,0.9792441107401986,0.6938555515630614,0.3811496633868462,-0.1296000000000002,371.96,19.31,-3.240000000000005,16.230000000000004,11.91,0.9792441107401986,0.6938555515630614,0.3811496633868462,0.0,6.620571428571428,2.5077922077921992,,
,-196.0,43.0,2024-01-17,,,,26.0,,25.8,,,,1.984615384615385,,,,,,,,,,,,,,,80.0,56.49999999999999,25.8,39.0,8.94,6.04,,,175.0,180.0,39.0,27.0,100.0,,2640.000000000009,,,0.6534883720930232,0.3582443653618031,-0.0384615384615384,,16.86,-1.0,17.499999999999993,12.0,,0.6534883720930232,0.3582443653618031,0.0,5.780571428571428,2.1896103896103822,,
,-195.0,44.0,2024-01-18,,,,26.0,,25.0,,,,1.9230769230769231,,,,,,,,,,,,,,,80.0,,25.0,24.85,13.12,3.87,,,175.0,180.0,24.85,19.65,100.0,,2585.0000000000136,,,0.4752,0.3257575757575757,0.2442307692307691,,11.88,6.349999999999998,,5.199999999999999,,0.4752,0.3257575757575757,0.2442307692307691,4.073142857142858,1.5756838905774997,,
,-194.0,45.0,2024-01-19,,,,26.0,,23.450000000000003,,,,1.803846153846154,,,,,,,,,,,,,,,80.0,60.0,23.450000000000003,44.0,9.74,5.3,,,175.0,180.0,44.0,29.5,100.0,,2495.0000000000045,,,0.5846481876332623,0.386579139314369,-0.1346153846153846,,13.710000000000004,-3.5,16.0,14.5,,0.5846481876332623,0.386579139314369,0.0,4.70057142857143,1.883996564557684,,
,-193.0,46.0,2024-01-20,,,,,,25.0,,,,,,,,,,,,,,,,,,,80.0,,25.0,,,6.14,,,175.0,180.0,,,100.0,,2495.0000000000045,,,1.0,0.2455999999999999,,,,,,,,1.0,0.2455999999999999,,8.571428571428571,,,
,-192.0,47.0,2024-01-21,ORP abnormality  prediction: NO2 weird dosing ,,,26.0,,25.0,,,,1.9230769230769231,,,,,,,,,,,,,,,80.0,,25.0,,,2.93,,,175.0,180.0,,,100.0,,2495.0000000000045,,,1.0,0.1172,1.0,,,,,,,1.0,0.1172,,8.571428571428571,,,
,-191.0,48.0,2024-01-22,COD left over cause PAO unable to activate,425.681412,,26.0,,26.9,,16.372362,7.9122939033457245,2.069230769230769,31.0,149.362,35.318,159.36925399999998,53.471452,212.840706,32.0,139.1368,32.822005999999995,198.151482684,6.23,,,,80.0,32.0,26.9,31.200000000000003,0.0,0.04,,,175.0,180.0,31.200000000000003,29.700000000000003,100.0,2530.000000000018,2495.0000000000045,26.162790697674417,0.5345075516616637,1.0,0.0014869888475836,-0.1423076923076924,227.529929316,26.9,-3.700000000000003,0.7999999999999972,1.5,,1.0,0.0014869888475836,0.0,9.222857142857142,3.696535929000852,,
,-190.0,49.0,2024-01-23,did 2 cycle half COD test,369.740206,,26.0,,30.92,,14.220777153846152,5.978981338939197,2.378461538461538,31.14,129.777,30.646,138.47205899999997,46.398044,184.870103,36.73,123.85949399999998,5.727,140.82875809799998,,,,,80.0,36.73,30.92,38.79,0.34,0.06,,,175.0,180.0,38.79,29.0,100.0,2459.999999999991,2495.0000000000045,20.820011284559385,0.6191142975184041,0.9890038809831824,0.0019620667102681,-0.1153846153846153,228.911447902,30.58,-3.0,-2.0600000000000023,9.79,,0.9890038809831824,0.0019620667102681,0.0,10.48457142857143,4.202233037503572,,
,-189.0,50.0,2024-01-24,some P activity retrun ,299.154258,,,,25.0,,,5.983085159999999,,14.06,106.041,24.063,113.145747,36.431382,149.577129,29.2,38.216739,1.363,42.84084251299999,0.98,,,,80.0,29.2,25.0,17.259999999999998,0.0,0.06,,,175.0,180.0,17.259999999999998,8.870000000000001,100.0,,2495.0000000000045,,0.8567934723730392,1.0,0.0024,,256.313415487,25.0,,11.94,8.389999999999997,,1.0,0.0024,,8.571428571428571,3.435442313197818,,
,-188.0,51.0,2024-01-25,more P activity return ,420.104496,,27.0,8.100000000000001,22.5,,15.559425777777776,9.335655466666667,1.6666666666666667,21.6,148.02,34.422,157.93734,52.11490799999999,210.052248,43.2,19.560244,1.353,22.919222348,0.79,,,,80.0,43.2,22.5,26.8,0.0,3.75,,,175.0,180.0,26.8,17.9,100.0,,2459.999999999991,,0.9454439965146196,1.0,0.1666666666666666,0.3370370370370371,397.185273652,22.5,9.1,16.400000000000002,8.900000000000002,0.9454439965146196,1.0,0.1666666666666666,0.3370370370370371,7.714285714285714,3.135888501742172,,
,-187.0,52.0,2024-01-26,,365.005702,,25.8,,20.9,,14.147507829457364,8.732193827751196,1.6201550387596897,,127.259,30.857,135.785353,46.717498,182.502851,,1.32308,,1.41172636,3.82,,,,80.0,48.4,20.9,26.0,0.001,4.74,,,175.0,180.0,26.0,17.95,100.0,,3880.000000000018,,0.9961323169685716,0.9999521531100478,0.2268051102923585,0.3042635658914729,363.59397564,20.899,7.850000000000001,22.4,8.05,0.9961323169685716,0.9999521531100478,0.2268051102923585,0.3042635658914729,7.165371428571428,1.8467452135493283,,
,-186.0,53.0,2024-01-27,,,,,,22.2,,,,,,,,,,,,,,,0.25,,,,80.0,,22.2,,,4.8,,,175.0,180.0,,,100.0,,3880.000000000018,,,1.0,0.2162162162162162,,,,,,,,1.0,0.2162162162162162,,7.611428571428571,,,
,-185.0,54.0,2024-01-28,"weird weekend upset, weird cycle happened Sunday morning ",,,,,23.066666666666663,,,,,,,,,,,,,,,0.25,,,,80.0,,23.066666666666663,,,0.07,,,175.0,180.0,,,100.0,,3880.000000000018,,,1.0,0.0030346820809248,,,,,,,,1.0,0.0030346820809248,,7.908571428571429,,,
,-184.0,55.0,2024-01-29,after night cycle start producing ,,,30.8,,24.8,,,,1.6103896103896105,29.0,,,,,,51.5,,,,0.25,,,,80.0,51.5,24.8,37.7,0.001,0.08,,,175.0,180.0,37.7,16.8,100.0,,3625.000000000023,,,0.9999596774193548,0.0032259365296987,0.4545454545454545,,24.799,14.0,13.799999999999995,20.9,,0.9999596774193548,0.0032259365296987,0.4545454545454545,8.502514285714286,2.345521182265996,,
,-183.0,56.0,2024-01-30,,370.435722,,23.56,15.02,29.7,,15.723078183361626,6.236291616161616,2.521222410865874,26.8,132.867,28.698,141.76908899999998,43.448772,185.217861,62.47,1.138489,0.246,1.5872117629999998,0.57,0.2,-95.6,-181.0,80.0,62.47,29.7,34.24,0.83,5.13,,-168.6,175.0,180.0,34.24,19.31,100.0,3880.000000000018,3625.000000000023,18.328784379592992,0.9957152842754188,0.972053872053872,0.1776931070315206,0.1803904923599322,368.8485102369999,28.87,4.250000000000004,28.23,14.930000000000003,0.9957152842754188,0.972053872053872,0.1776931070315206,0.1803904923599322,9.898285714285716,2.730561576354663,,
,-182.0,57.0,2024-01-31,,,,27.0,10.3,25.25,,,,1.870370370370371,23.8,,,,,,52.400000000000006,,,,0.26,0.23,-97.0,-181.0,80.0,52.400000000000006,25.25,27.5,0.001,5.34,,-178.0,175.0,180.0,27.5,16.299999999999997,100.0,,3625.000000000023,,,0.999960396039604,0.2114935244960196,0.3962962962962963,,25.249,10.7,24.90000000000001,11.200000000000005,,0.999960396039604,0.2114935244960196,0.3962962962962963,8.6568,2.388082758620675,,
,-181.0,58.0,2024-02-01,"batch test, had funcky cycle in morning ",,,29.31111111111112,12.5,0.0,,,,,21.6,,,,,,,,,,0.41,,,,80.0,,,,,,,,175.0,180.0,,13.0,100.0,,3625.000000000023,,,,,0.5564821834723276,,,16.311111111111114,,,,,,0.5564821834723276,,,,
,-180.0,59.0,2024-02-02,,,,25.4,12.9,24.3,,,,1.9133858267716537,25.6,,,,,,53.8,,,,0.25,,,,80.0,53.8,24.3,29.11,0.001,6.14,,,175.0,180.0,29.11,20.3,100.0,3370.000000000028,3365.000000000009,18.317982787256888,,0.9999588477366256,0.2526852956911807,0.200787401574803,,24.299,5.099999999999998,24.69,8.809999999999999,,0.9999588477366256,0.2526852956911807,0.200787401574803,8.331085714285715,2.4758055614519145,,
,-179.0,60.0,2024-02-03,pH upset to 8.6 for 3 cycles form Friday afternoon,,,,,25.200000000000003,,,,,,,,,,,,,,,1.03,,,,80.0,,25.200000000000003,44.5,0.001,1.95,,,175.0,180.0,44.5,29.5,100.0,,3365.000000000009,,,0.9999603174603174,0.0773840231755228,,,25.199,,,15.0,,0.9999603174603174,0.0773840231755228,,8.639657142857144,2.567505837401819,,
,-178.0,61.0,2024-02-04,,,,,,26.550000000000004,,,,,,,,0.0,0.0,0.0,,,,,0.25,,,,80.0,,26.550000000000004,,,0.08,,,175.0,180.0,,,100.0,,3365.000000000009,,,1.0,0.0030131826741996,,,,,,,,1.0,0.0030131826741996,,9.102857142857143,,,
,-177.0,62.0,2024-02-05,,338.64,,32.0,24.0,22.5,,10.5825,7.525333333333333,1.40625,40.0,138.046,31.274,,,169.32,51.2,24.591,,26.238597,1.11,0.24,-131.0,-185.0,80.0,51.2,22.5,51.1,0.001,0.08,,-187.0,175.0,180.0,51.1,37.9,100.0,,3834.999999999991,,0.9225177267895108,0.9999555555555556,0.0035557135872705,-0.1843749999999999,312.401403,22.499,-5.899999999999999,0.1000000000000014,13.200000000000005,0.9225177267895108,0.9999555555555556,0.0035557135872705,0.0,7.713942857142857,2.011458372136343,,
