ko_group	mag	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
nosZ_cladeII	CAN_5_bin.100	2.4454	1.1858	1.7524	3.0585	2.9575
nosZ_cladeII	CAN_5_bin.112	1.2354	1.6398	1.6772	3.7618	2.5745
nosZ_cladeII	CAN_5_bin.145	1.0906	1.4325	3.0055	0.0000	2.4700
nosZ_cladeII	CAN_5_bin.147	3.4464	3.5605	3.5180	2.9032	3.2841
nosZ_cladeII	CAN_5_bin.167	0.0000	0.0000	0.0000	0.0000	1.9695
nosZ_cladeII	CAN_5_bin.62	2.1684	0.7007	2.4021	4.6363	2.9658
nosZ_cladeII	CAN_5_bin.70	1.8480	1.5929	2.2511	1.8163	1.8348
nosZ_cladeII	coasm_bin.10	0.0000	0.9430	2.4800	1.8250	1.0835
nosZ_cladeII	coasm_bin.110	1.8407	1.5481	2.0466	0.0000	0.0000
nosZ_cladeII	coasm_bin.114	3.0838	3.3662	1.0829	0.0000	0.0000
nosZ_cladeII	coasm_bin.121	4.5704	4.8356	2.8784	0.0000	0.0000
nosZ_cladeII	coasm_bin.132	3.3232	1.8138	1.9629	0.0000	8.6932
nosZ_cladeII	coasm_bin.139	1.8132	2.9354	3.8546	1.2615	0.0000
nosZ_cladeII	coasm_bin.142	4.4606	5.2417	2.5697	3.2444	2.6585
nosZ_cladeII	coasm_bin.15	1.6335	0.4620	1.8081	1.1039	0.0000
nosZ_cladeII	coasm_bin.153	3.6857	1.5493	1.4621	1.6939	2.8770
nosZ_cladeII	coasm_bin.156	2.9541	1.8339	3.4937	3.8562	0.0000
nosZ_cladeII	coasm_bin.178	4.9609	0.7799	1.5413	0.6587	2.9047
nosZ_cladeII	coasm_bin.181	0.0000	0.0000	0.8183	7.5050	3.0921
nosZ_cladeII	coasm_bin.183	1.2040	3.1041	2.1689	0.0000	0.0000
nosZ_cladeII	coasm_bin.185	1.8159	1.6739	1.3393	1.1458	1.6261
nosZ_cladeII	coasm_bin.196	0.2103	0.0582	0.1615	1.0666	5.6609
nosZ_cladeII	coasm_bin.203	1.0767	0.0000	0.9854	0.0000	0.0000
nosZ_cladeII	coasm_bin.213	0.0000	0.0000	0.0000	1.9961	3.6239
nosZ_cladeII	coasm_bin.214	2.6451	2.0547	1.9329	2.4798	1.0170
nosZ_cladeII	coasm_bin.238	48.1891	0.0000	0.0000	11.8383	0.0000
nosZ_cladeII	coasm_bin.246	2.1003	3.2050	2.3897	1.8766	1.8322
nosZ_cladeII	coasm_bin.250	1.4868	0.2930	0.7532	1.4850	0.2634
nosZ_cladeII	coasm_bin.256	0.8727	1.2977	2.4117	0.8113	0.0000
nosZ_cladeII	coasm_bin.259	1.6492	1.8291	2.1773	5.2772	0.0000
nosZ_cladeII	coasm_bin.260	4.7769	2.6419	0.0000	2.9475	2.9578
nosZ_cladeII	coasm_bin.268	7.7100	2.0714	0.9837	0.0000	0.0000
nosZ_cladeII	coasm_bin.286	4.2328	2.4874	3.0371	4.6170	0.0000
nosZ_cladeII	coasm_bin.312	5.9583	11.2039	17.8147	0.0000	0.0000
nosZ_cladeII	coasm_bin.313	13.0027	8.1809	12.4190	6.1433	10.6730
nosZ_cladeII	coasm_bin.314	48.3141	46.1866	65.4311	0.0000	2.8123
nosZ_cladeII	coasm_bin.318	5.4698	2.8994	1.6416	0.0000	0.0000
nosZ_cladeII	coasm_bin.320	6.3748	0.0000	0.0000	3.1809	0.0000
nosZ_cladeII	coasm_bin.322	0.3259	0.7250	0.4971	0.4307	0.4303
nosZ_cladeII	coasm_bin.347	0.2766	0.1352	0.0957	1.6440	0.2515
nosZ_cladeII	coasm_bin.348	3.7565	2.5201	2.8451	1.3427	0.0000
nosZ_cladeII	coasm_bin.350	6.2334	5.7271	3.4294	4.7600	0.0000
nosZ_cladeII	coasm_bin.358	7.8836	6.8773	5.8163	4.4610	2.6298
nosZ_cladeII	coasm_bin.362	0.0000	2.8711	4.1844	0.0000	6.4744
nosZ_cladeII	coasm_bin.364	3.9977	2.5614	4.1477	3.5572	0.0000
nosZ_cladeII	coasm_bin.373	0.0000	3.3311	4.4078	4.0015	3.1089
nosZ_cladeII	coasm_bin.393	0.0000	132.3590	51.2822	16.6651	1.6967
nosZ_cladeII	coasm_bin.40	3.8647	2.8878	3.5293	3.4770	0.0000
nosZ_cladeII	coasm_bin.425	10.5236	0.0000	13.0401	4.0391	3.0880
nosZ_cladeII	coasm_bin.441	2.0575	5.7234	2.7029	0.0000	0.0000
nosZ_cladeII	coasm_bin.466	0.0000	0.0000	0.0000	0.0000	3.8545
nosZ_cladeII	coasm_bin.468	3.3063	5.6479	5.0322	5.1072	2.5748
nosZ_cladeII	coasm_bin.47	5.8896	2.6430	3.0399	2.4747	2.7390
nosZ_cladeII	coasm_bin.481	3.1647	2.8588	2.3136	3.1165	2.6701
nosZ_cladeII	coasm_bin.482	0.0000	4.2742	6.6216	3.1110	7.7539
nosZ_cladeII	coasm_bin.484	2.7450	3.4226	2.4392	3.7036	6.4235
nosZ_cladeII	coasm_bin.492	8.2108	15.8376	12.8849	12.4495	0.0000
nosZ_cladeII	coasm_bin.521	1.7529	4.4812	3.2387	2.5323	0.0000
nosZ_cladeII	coasm_bin.529	0.1555	0.2759	0.1894	0.6445	0.3923
nosZ_cladeII	coasm_bin.53	4.5937	3.9677	0.0000	3.3797	2.4062
nosZ_cladeII	coasm_bin.539	3.8438	3.5865	3.3981	1.7753	5.0663
nosZ_cladeII	coasm_bin.54	2.7202	0.7108	2.5550	0.0000	0.0000
nosZ_cladeII	coasm_bin.543	0.0000	6.0340	4.3202	3.9390	3.1209
nosZ_cladeII	coasm_bin.548	1.3492	4.7086	0.9911	5.8837	1.0496
nosZ_cladeII	coasm_bin.551	1.0205	3.4521	2.2475	2.8683	0.0000
nosZ_cladeII	coasm_bin.578	0.0000	0.0000	4.9860	2.6117	2.5710
nosZ_cladeII	coasm_bin.579	1.2059	4.0182	1.2784	3.1907	3.6228
nosZ_cladeII	coasm_bin.61	2.7539	2.2306	2.7529	0.0000	3.3754
