MAG	K00134	K01596	K01006
CAN_5_bin.167	0	2	0
CAN_5_bin.169	1	1	1
CAN_5_bin.173	1	0	0
CAN_5_bin.177	1	1	0
CAN_5_bin.180	1	0	1
CAN_5_bin.2	1	0	1
CAN_5_bin.40	1	1	0
CAN_5_bin.52	0	0	1
CAN_5_bin.62	1	1	1
CAN_5_bin.70	1	1	1
CAN_5_bin.9	1	1	1
CAN_5_bin.97	1	1	1
coasm_bin.10	1	0	0
coasm_bin.103	0	1	0
coasm_bin.105	3	0	0
coasm_bin.108	1	0	1
coasm_bin.110	0	0	2
coasm_bin.114	1	0	0
coasm_bin.115	0	2	0
coasm_bin.117	0	1	1
coasm_bin.118	1	0	1
coasm_bin.121	1	0	0
coasm_bin.13	1	1	1
coasm_bin.131	1	1	1
coasm_bin.132	1	1	0
coasm_bin.134	1	1	0
coasm_bin.139	1	0	0
coasm_bin.142	1	0	0
coasm_bin.147	1	1	1
coasm_bin.15	1	1	1
coasm_bin.150	1	1	1
coasm_bin.153	1	0	1
coasm_bin.156	1	1	1
coasm_bin.157	1	0	0
coasm_bin.161	1	0	1
coasm_bin.171	1	1	0
coasm_bin.178	1	2	1
coasm_bin.181	1	1	1
coasm_bin.183	1	0	1
coasm_bin.185	1	1	1
coasm_bin.188	1	0	1
coasm_bin.196	1	0	1
coasm_bin.2	1	1	0
coasm_bin.201	1	1	1
coasm_bin.202	2	0	1
coasm_bin.203	2	0	1
coasm_bin.206	0	0	2
coasm_bin.207	1	1	2
coasm_bin.208	1	1	1
coasm_bin.213	1	0	0
coasm_bin.214	0	1	1
coasm_bin.215	1	0	0
coasm_bin.218	1	0	1
coasm_bin.219	1	0	1
coasm_bin.22	1	0	1
coasm_bin.222	1	1	1
coasm_bin.223	1	0	1
coasm_bin.226	1	1	0
coasm_bin.231	1	1	1
coasm_bin.233	1	1	0
coasm_bin.237	1	0	1
coasm_bin.238	1	0	0
coasm_bin.240	1	0	1
coasm_bin.246	1	0	1
coasm_bin.248	1	0	2
coasm_bin.249	1	1	0
coasm_bin.250	1	1	1
coasm_bin.251	0	1	1
coasm_bin.255	1	1	0
coasm_bin.256	1	1	0
coasm_bin.258	0	2	0
coasm_bin.259	2	0	1
coasm_bin.260	1	1	1
coasm_bin.261	1	0	1
coasm_bin.262	1	0	2
coasm_bin.265	1	1	0
coasm_bin.268	1	0	0
coasm_bin.27	1	1	1
coasm_bin.271	1	1	0
coasm_bin.277	1	1	0
coasm_bin.278	0	0	1
coasm_bin.279	0	0	1
coasm_bin.28	1	1	1
coasm_bin.280	1	0	1
coasm_bin.286	1	0	0
coasm_bin.289	1	0	1
coasm_bin.290	0	0	1
coasm_bin.293	0	1	1
coasm_bin.298	1	3	1
coasm_bin.305	1	0	0
coasm_bin.31	2	0	1
coasm_bin.312	1	0	0
coasm_bin.313	1	0	1
coasm_bin.314	1	0	0
coasm_bin.315	0	0	1
coasm_bin.318	1	1	1
coasm_bin.320	1	0	0
coasm_bin.321	1	1	0
coasm_bin.324	1	1	1
coasm_bin.325	2	1	1
coasm_bin.335	1	1	0
coasm_bin.336	1	0	1
coasm_bin.337	1	1	1
coasm_bin.338	3	0	1
coasm_bin.340	0	0	1
coasm_bin.347	1	2	1
coasm_bin.348	1	1	1
coasm_bin.350	1	0	1
coasm_bin.358	1	0	1
coasm_bin.362	1	0	0
coasm_bin.364	1	0	0
coasm_bin.365	1	1	1
coasm_bin.367	1	1	0
coasm_bin.373	1	1	1
coasm_bin.386	1	0	1
coasm_bin.388	0	0	1
coasm_bin.389	1	1	0
coasm_bin.392	2	0	1
coasm_bin.393	1	0	1
coasm_bin.394	0	0	1
coasm_bin.395	1	0	0
coasm_bin.399	2	0	1
coasm_bin.40	1	0	0
coasm_bin.400	1	0	0
coasm_bin.41	1	0	0
coasm_bin.411	0	1	0
coasm_bin.414	0	1	1
coasm_bin.417	1	1	0
coasm_bin.420	1	0	1
coasm_bin.423	1	1	1
coasm_bin.425	1	0	0
coasm_bin.426	1	0	1
coasm_bin.437	1	0	1
coasm_bin.441	1	1	1
coasm_bin.447	1	0	0
coasm_bin.448	1	0	1
coasm_bin.449	1	1	0
coasm_bin.466	1	1	1
coasm_bin.468	1	1	1
coasm_bin.469	1	1	0
coasm_bin.47	1	1	1
coasm_bin.471	1	1	0
coasm_bin.473	1	0	1
coasm_bin.481	1	1	1
coasm_bin.482	1	1	1
coasm_bin.484	1	0	1
coasm_bin.485	1	1	0
coasm_bin.489	1	0	1
coasm_bin.492	0	1	1
coasm_bin.495	1	1	0
coasm_bin.496	1	1	0
coasm_bin.497	1	0	1
coasm_bin.499	1	0	0
coasm_bin.502	0	1	0
coasm_bin.51	1	1	0
coasm_bin.512	1	1	1
coasm_bin.514	1	0	1
coasm_bin.518	1	0	1
coasm_bin.519	1	1	1
coasm_bin.521	1	0	0
coasm_bin.529	2	1	0
coasm_bin.53	1	1	0
coasm_bin.535	1	0	1
coasm_bin.538	1	1	3
coasm_bin.539	2	0	0
coasm_bin.54	1	0	1
coasm_bin.540	1	0	1
coasm_bin.542	1	1	1
coasm_bin.543	1	0	1
coasm_bin.547	1	0	0
coasm_bin.548	1	1	1
coasm_bin.55	1	1	1
coasm_bin.551	1	1	1
coasm_bin.555	1	0	2
coasm_bin.556	2	1	1
coasm_bin.558	1	1	0
coasm_bin.563	2	1	0
coasm_bin.578	1	1	1
coasm_bin.579	1	0	0
coasm_bin.60	1	0	1
coasm_bin.61	0	1	0
coasm_bin.70	1	1	1
coasm_bin.74	2	0	2
coasm_bin.75	1	1	0
coasm_bin.82	1	0	0
coasm_bin.84	1	0	0
coasm_bin.85	1	0	0
coasm_bin.86	1	1	1
coasm_bin.88	1	1	1
coasm_bin.92	1	0	1
coasm_bin.93	1	0	1
