ko	root_iterativeID	n_MAGs	genus	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
K00023	Rhizobiaceae	2	Mesorhizobium_A	2.7377	3.3369	3.2562	1.7951	1.0596
K00023	PHOS-HE28_m	2	PHOS-HE28	0.1914	0.0000	0.4323	7.4480	0.3265
K00023	Taibaiella	1	Flavipsychrobacter	5.5451	12.7278	9.0297	3.0996	0.0000
K00023	Sulfuritalea	2	Azospira_A	2.7850	3.4400	2.0435	1.7062	0.3949
K00023	Rhabdaerophilum_m	1	Rhabdaerophilum	0.7061	0.4652	1.1163	0.6668	2.8099
K00023	Chelatococcus_asaccharovorans	1	Chelatococcus	0.2175	1.4331	0.3930	0.0000	0.1237
K00023	Gemmobacter	1	Gemmobacter	0.7325	1.7373	1.7205	0.0000	0.0833
K00023	JACRCT01_m	1	JACRCT01	0.0597	0.0786	0.0539	0.1352	2.0688
K00023	Hoeflea	1	Pseudohoeflea	0.6334	0.2782	0.9537	0.9571	0.1200
K00023	Inhella_m	2	Inhella	0.7003	2.1747	3.7728	0.1196	0.0995
K00023	OLB10_m	1	OLB10	2.8242	0.2326	1.1163	3.4674	0.6021
K00023	Amaricoccus	1	Amaricoccus	1.2098	0.3188	1.5302	0.1828	0.2751
K00023	Brevundimonas	2	Brevundimonas	0.4395	0.1448	0.0993	3.0714	0.1249
K00023	Sulfuritalea_m	1	Sulfuritalea	8.7108	6.1954	3.4613	4.7395	0.7927
K00023	JAIUNP01_m	1	JAIUNP01	1.4727	0.1944	1.5970	0.7235	3.6845
K00023	alphaI_cluster	1	GCA-013693735	1.4166	1.5962	1.7251	1.6433	0.6067
K00023	Bryobacter	3	JACTMJ01	1.2484	4.1125	2.2557	0.0000	0.0000
K00023	Luteimonas	3	Luteimonas_D	4.5856	9.0479	7.8509	5.7872	1.2496
K00023	Aquimonas_m	3	Aquimonas	3.1546	4.4279	4.0300	3.9843	0.4739
K00023	UBA2400_m	1		0.0000	0.0000	0.0000	0.0000	13.5057
K00023	JADKFD01_m	1	JADKFD01	4.4613	4.8870	3.1308	2.9923	0.2815
K00023	Novosphingobium	1	Novosphingobium	0.0000	0.0000	0.0000	0.0000	1.2136
K00023	JAIOHN01_m	1	JAIOHN01	0.5418	0.3569	0.2447	2.0465	0.3080
K00023	midas_g_1409	1	M3007	1.9319	0.5990	0.6160	1.5454	0.0646
K00023	UBA2475_m	3	UBA2475	4.4254	3.3885	3.8196	0.0000	0.0000
K00023	midas_g_4351	1	JADZAI01	0.8219	0.4332	0.5941	1.2420	0.5607
K00023	Niabella	1	Niabella	2.3665	2.9624	2.0310	0.3576	0.0000
K00023	2-12-FULL-35-15_m	2	2-12-FULL-35-15	1.2545	0.2204	0.3868	2.2689	0.3441
K00023	JADZAI01_m	1	JADZAI01	0.4395	1.0134	1.9852	0.1660	0.0000
K00023	GCA-013693735_m	1	GCA-013693735	0.2571	0.3388	0.3485	0.0000	0.4386
K00023	Luteimonas_D_m	1	Luteimonas_D	2.2668	2.7572	1.5753	1.5809	1.0905
K00023	Paracoccus	1	Paracoccus	0.8512	0.8973	0.4614	0.0000	0.2903
K00023	Pseudofulvimonas_m	2	Pseudofulvimonas	2.4056	3.1699	2.2618	0.7681	0.1510
K00023	Casimicrobium_m	1	Casimicrobium	0.4044	1.0658	0.7307	0.3055	0.0000
K00023	Thermomonas	2	Thermomonas	1.2895	1.0377	1.3034	0.7904	0.0000
K00023	JABFRJ01_m	1	JABFRJ01	0.3446	0.4540	0.4669	0.5206	0.2938
K00023	Edaphobaculum	3	Flavipsychrobacter	1.0378	0.5541	0.3799	1.5159	1.2766
K00023	UBA5072_m	1	UBA5072	0.0000	0.0000	0.0757	0.7597	0.6669
K00023	Shinella	1	Mesorhizobium_G	0.3405	0.4486	0.0000	0.1286	0.3871
K00023	PGYR01_m	1	PGYR01	0.5805	0.1530	0.4195	0.7017	0.0000
K00023	Defluviimonas	1	Albidovulum	0.0000	0.0000	0.1608	0.1345	1.5177
K00023	Vicingus_m	1	Vicingus	0.0000	0.0000	0.0000	1.7337	0.0000
K00023	GCA-2702655_m	1	GCA-2702655	0.0000	0.0000	0.0000	1.4272	0.4296
K00023	midas_g_2947	1	Arctic95D-9	0.7769	0.5118	1.3616	0.1643	0.0000
K00023	CAIVAT01_m	1	CAIVAT01	0.0000	0.4978	0.0000	0.2854	0.0000
K00023	Flavitalea	1	JJ008	0.5618	0.4935	0.1692	0.1415	0.0000
K00023	midas_g_94	1		0.0000	0.0000	0.6874	0.7480	1.4489
K00023	Leptonema_m	1	Leptonema	0.4223	0.0000	0.3815	0.3190	0.0000
K00023	SCN-52-12_m	1	SCN-52-12	0.0000	0.0000	0.0000	0.0565	0.3613
K00023	Brevundimonas_m	1	Brevundimonas	0.0000	0.0000	0.0000	1.4791	0.0000
K00023	Rurimicrobium	1	Flavipsychrobacter	0.1772	2.2449	3.0783	0.0000	0.3681
K00023	Flavipsychrobacter_m	1	Flavipsychrobacter	0.1772	0.2335	0.0000	0.7970	0.9979
K00023	JAKRSD01_m	1	JAKRSD01	0.0845	0.2226	0.2289	0.0638	1.0563
K00023	Runella_m	1	Runella	0.0000	0.2640	0.3620	0.0000	0.1139
K00023	Xanthomonadaceae	1	Pseudoxanthomonas_B	0.1744	0.9191	0.3151	0.0000	0.0991
K00023	midas_g_251	1	SCUB01	0.0000	0.2345	0.1608	0.0000	0.0000
K00023	UBA924_m	1	UBA924	0.0000	0.3914	0.0000	1.1221	0.1689
K00362	Ca_Competibacter	6	Competibacter	720.0115	736.9828	724.8591	356.5941	178.6273
K00362	Ca_Accumulibacter	3	Accumulibacter	60.6660	44.1217	47.6711	156.7261	149.8148
K00362	Thauera	1	Thauera	30.5638	75.4877	70.6950	2.9403	1.4161
K00362	JAEULV01_m	1	JAEULV01	33.8116	46.1446	47.6379	40.4467	157.4420
K00362	Niveibacterium	1	Niveibacterium	1.3926	2.1182	2.3389	0.4131	0.0531
K00362	Azonexus	3	Azonexus	3.2755	1.9468	2.6697	27.3866	6.3992
K00362	Propionivibrio	1	Accumulibacter	6.9898	2.7090	3.8075	23.1429	0.8766
K00362	Giesbergeria_m	2	Giesbergeria	27.7246	38.7560	42.1861	6.4444	0.9893
K00362	Denitratisoma	1	Desulfobacillus	34.9940	9.3110	12.1595	9.9145	0.1913
K00362	Accumulibacter_m	3	Accumulibacter	0.4786	0.2803	0.3363	1.8771	2.0666
K00362	Zoogloea	3	Zoogloea	18.4130	39.4348	37.8517	0.5519	0.7220
K00362	Bosea	2	JAIUNP01	1.8875	2.9959	2.8291	1.4585	2.5120
K00362	Azospira	2	Azospira_A	5.9494	6.0355	5.5644	1.3122	0.4462
K00362	Villigracilis_m	4	Villigracilis	0.2214	0.0000	0.0000	2.8441	1.5736
K00362	UBA5066_m	3	UBA5066	0.2423	0.3193	0.2736	0.0000	0.0000
K00362	Beijerinckiaceae_m	1		0.2164	0.0000	0.5866	2.2892	21.1637
K00362	Rhodobacter	4	JAAKGP01	1.6253	1.2850	1.9088	1.1051	0.6468
K00362	Azonexus_m	2	Azonexus	4.9427	5.5134	3.2885	2.6401	0.4802
K00362	Ottowia_m	1	Ottowia	1.2267	0.8980	0.6157	1.3387	0.5424
K00362	Rhodobacteraceae	3	Neotabrizicola	0.0000	0.1572	0.1078	0.0000	0.2035
K00362	Hydrogenophaga_m	3	Hydrogenophaga	2.5719	6.8329	8.6970	2.1270	0.0000
K00362	Defluviicoccus_m	2	Defluviicoccus	1.5350	1.4277	0.5710	0.0000	0.0513
K00362	CALBKH01_m	1	CALBKH01	0.0719	0.1895	0.2598	0.3259	1.8395
K00362	Rhodoplanes	1	SCUB01	0.2197	0.2896	0.0000	2.6563	5.4968
K00362	Desulfobacillus_m	1	Desulfobacillus	2.3874	1.5483	1.8483	0.7698	0.1183
K00362	Phreatobacter_m	2	Phreatobacter	0.3850	0.8202	0.5160	0.9310	0.8593
K00362	Sulfuritalea	2	Azospira_A	3.7355	5.4611	3.0791	1.5473	5.0107
K00362	Rhabdaerophilum_m	1	Rhabdaerophilum	0.2373	0.6254	0.3216	0.8068	1.7538
K00362	Chelatococcus_asaccharovorans	1	Chelatococcus	0.4845	0.4469	0.3064	0.0732	0.2203
K00362	Gemmobacter	1	Gemmobacter	0.4774	0.9086	0.7188	0.0401	0.0302
K00362	JACRCT01_m	1	JACRCT01	0.0000	0.0000	0.0000	0.0000	4.4780
K00362	Inhella_m	2	Inhella	0.5164	1.2318	0.8438	0.0000	0.0000
K00362	Amaricoccus	1	Amaricoccus	0.3699	0.7660	0.2865	0.3194	0.0601
K00362	Sulfuritalea_m	1	Sulfuritalea	0.6754	0.2738	0.4224	0.3533	0.0000
K00362	JAIUNP01_m	1	JAIUNP01	0.6303	0.1384	0.4745	0.1587	0.2986
K00362	UBA5195_m	1	UBA5195	0.5418	0.0000	0.0000	2.1342	2.0457
K00362	Holophagaceae	1	Holophaga	0.0000	1.0292	0.9072	0.6744	0.0000
K00362	midas_g_6489	1	UBA6170	1.6743	0.0000	0.4989	3.1049	4.5744
K00362	Paracoccus	1	Paracoccus	0.2124	0.2799	0.1439	0.2809	0.0604
K00362	Casimicrobium_m	1	Casimicrobium	0.2093	0.3448	0.7565	0.0000	0.0000
K00362	JABFRJ01_m	1	JABFRJ01	0.0512	0.2699	0.0925	0.1548	0.0000
K00362	UBA8950_m	1	UBA8950	0.0986	0.0000	0.1781	0.5382	0.3744
K00362	Holophaga_m	1	Holophaga	0.0604	0.0796	0.2183	0.0913	0.1717
K00362	Defluviimonas	1	Albidovulum	0.0530	0.0699	0.0000	0.0801	0.3317
K00362	midas_g_94	1		0.0530	0.0698	0.0479	0.0800	0.2108
K00362	Leptonema_m	1	Leptonema	0.2629	0.1386	0.2851	0.0000	0.0000
K00362	Runella_m	1	Runella	0.2734	0.0000	0.6092	0.2066	0.0830
K00362	midas_g_251	1	SCUB01	0.1631	0.4299	0.4422	0.1233	0.1855
K00362	UBA1934_m	1	UBA1934	0.0523	0.0689	0.0000	0.2369	0.0297
K00363	Ca_Competibacter	6	Competibacter	345.1257	341.9730	334.8193	262.2470	149.4770
K00363	Ca_Accumulibacter	3	Accumulibacter	94.8149	54.2512	60.4661	179.1505	346.8662
K00363	Thauera	1	Thauera	110.1586	302.8620	308.6640	8.1350	5.1797
K00363	Leptovillus_m	2	Leptovillus	41.9446	22.6248	22.4642	65.2353	53.7954
K00363	JAEULV01_m	1	JAEULV01	6.6632	8.9073	9.5967	7.9526	32.7485
K00363	OLB5_m	3	OLB5	0.0000	0.0000	0.0000	0.5709	2.5775
K00363	Niveibacterium	1	Niveibacterium	0.9350	2.0641	1.5395	0.0000	0.0000
K00363	Azonexus	3	Azonexus	11.6078	9.3140	9.7567	87.9293	22.3692
K00363	Propionivibrio	1	Accumulibacter	6.2172	1.6622	3.4189	17.1549	0.5635
K00363	Giesbergeria_m	2	Giesbergeria	5.6344	9.0241	9.7216	1.2113	0.3601
K00363	Denitratisoma	1	Desulfobacillus	12.1233	4.9045	4.7077	3.6155	0.1814
K00363	Accumulibacter_m	3	Accumulibacter	1.1836	0.5510	1.1333	4.5732	3.2803
K00363	Zoogloea	3	Zoogloea	11.7073	23.0826	24.3852	0.3884	0.4249
K00363	Bosea	2	JAIUNP01	6.3807	11.0352	7.9262	5.4233	13.3766
K00363	Azospira	2	Azospira_A	21.9450	24.5564	20.5741	5.9448	1.4014
K00363	Villigracilis_m	4	Villigracilis	2.9857	0.6677	0.3016	6.1260	3.3734
K00363	Beijerinckiaceae_m	1		0.1096	0.0000	0.2970	1.2420	12.0249
K00363	Rhodobacter	4	JAAKGP01	0.7966	0.9797	0.9116	0.5216	0.3321
K00363	Azonexus_m	2	Azonexus	0.7623	0.5022	0.3443	0.2880	0.0000
K00363	Ca_Caldilinea	2	Caldilinea	1.6253	3.7478	0.3671	3.3768	2.5410
K00363	Ottowia_m	1	Ottowia	1.4683	0.8599	0.8843	1.7256	0.5565
K00363	Hydrogenophaga_m	3	Hydrogenophaga	1.7652	7.9858	7.9667	1.5096	0.3105
K00363	CALBKH01_m	1	CALBKH01	0.0000	2.7025	0.0000	4.6485	15.1579
K00363	Desulfobacillus_m	1	Desulfobacillus	6.6261	3.8199	6.7345	3.1288	0.2354
K00363	UBA1924_m	2		1.8353	3.5470	1.6581	0.0000	0.0000
K00363	JACTMZ01_m	4	JACTMZ01	0.2834	0.3734	0.3200	0.1070	0.1611
K00363	PHOS-HE28_m	2	PHOS-HE28	0.8363	0.5510	0.7555	21.7985	1.6641
K00363	UBA6663_m	1	UBA6663	0.5047	0.4434	0.9120	0.6355	1.1478
K00363	Sulfuritalea	2	Azospira_A	2.8989	7.0941	2.6190	0.3968	0.5456
K00363	Rhabdaerophilum_m	1	Rhabdaerophilum	0.1480	0.3901	0.2674	0.4473	1.4304
K00363	Chelatococcus_asaccharovorans	1	Chelatococcus	0.5168	0.6810	0.3113	0.0000	0.0979
K00363	P3OB-42	1	JAEUJQ01	1.7540	2.0544	1.5846	0.2945	0.0000
K00363	Gemmobacter	1	Gemmobacter	2.3073	3.0403	2.7793	0.2905	0.0000
K00363	Inhella_m	2	Inhella	0.4719	2.1863	1.5759	0.0000	0.0000
K00363	Amaricoccus	1	Amaricoccus	1.9227	3.5470	1.7371	1.7432	0.2186
K00363	Sulfuritalea_m	1	Sulfuritalea	3.3130	1.0914	1.8707	1.2515	0.0000
K00363	JAIUNP01_m	1	JAIUNP01	1.4981	1.9740	1.6918	0.8489	0.2129
K00363	Bryobacter	3	JACTMJ01	1.8257	0.5099	0.8036	1.6506	0.1774
K00363	UBA5195_m	1	UBA5195	0.0000	0.0000	0.0000	0.5659	2.3421
K00363	JARKPB01_m	1	JARKPB01	0.3988	0.5255	0.0000	4.5194	1.3603
K00363	Gemmatimonas	1	JAABRT01	0.6779	0.8643	1.0169	0.0000	0.0000
K00363	midas_g_6489	1	UBA6170	0.3880	0.0000	0.0000	0.8795	1.3236
K00363	Paracoccus	1	Paracoccus	0.7490	0.0000	0.3384	1.1318	0.2129
K00363	Casimicrobium_m	1	Casimicrobium	1.6253	2.6770	3.3037	0.0000	0.0000
K00363	JABFRJ01_m	1	JABFRJ01	0.3713	1.9570	0.3354	0.2805	0.0000
K00363	Anaerolinea	1	Anaerolinea	0.0000	0.4204	0.2882	1.2052	0.3628
K00363	UBA8950_m	1	UBA8950	0.0000	0.4299	0.0000	1.7256	0.7420
K00363	UBA2392_m	1	UBA2392	6.9214	1.0213	1.0780	0.0000	0.0000
K00363	Defluviimonas	1	Albidovulum	0.3880	0.5113	0.0000	0.5863	1.1030
K00363	JAEUKH01_m	1	JAEUKH01	0.0000	0.1474	0.1011	0.0000	0.4452
K00363	GCA-2702655_m	1	GCA-2702655	0.0000	0.0000	0.0000	1.6477	1.3543
K00363	GWE2-31-10_m	1		0.0000	0.0000	0.0000	1.3672	2.8807
K00363	JAFEBO01_m	1	JAFEBO01	0.4853	1.1191	0.9865	0.0000	0.2069
K00363	Ch132_m	1	Ch132	0.3121	0.1371	0.1880	0.8646	0.1183
K00363	Blastopirellula	1	M30B19	1.0059	0.3615	0.1652	0.0691	0.0000
K00363	midas_g_94	1		0.0000	0.0000	0.0000	0.0000	1.2003
K00363	Leptonema_m	1	Leptonema	0.7946	0.0000	1.0051	0.0000	0.0000
K00363	Runella_m	1	Runella	0.3811	0.5022	0.6887	0.2880	0.0000
K00363	JAEUWI01_m	1	JAEUWI01	2.4286	2.5805	3.2622	0.0000	0.0000
K00363	UBA1934_m	1	UBA1934	0.0000	0.5207	0.0000	1.7912	0.0000
K00368	Leptovillus_m	2	Leptovillus	152.5942	74.1350	74.4529	205.2909	178.5842
K00368	JAAEKA01_m	2	JAAEKA01	0.0000	0.0000	0.1060	20.1299	45.9778
K00368	Bosea	2	JAIUNP01	1.3530	4.1599	3.3614	0.5111	0.8974
K00368	Fen-1058_m	1	Fen-1058	0.2267	0.6838	0.0000	9.3782	41.5950
K00368	Villigracilis_m	4	Villigracilis	3.4372	0.5984	1.3839	20.5115	13.8106
K00368	Mesorhizobium	4	DUSC01	2.0149	0.0000	0.2510	6.2592	6.8905
K00368	Dokdonella	6	Dokdonella	6.7898	4.9462	4.3143	9.0296	0.8102
K00368	Rhodobacter	4	JAAKGP01	2.1210	1.8528	2.0969	0.4057	1.0078
K00368	Pseudoxanthomonas_A_m	2	Pseudoxanthomonas_A	2.8222	4.0422	4.6559	0.1854	0.0000
K00368	Ca_Caldilinea	2	Caldilinea	8.1584	2.3006	3.8077	12.6802	9.4664
K00368	Flexifilum_m	4	Flexifilum	4.1218	1.2782	2.0423	4.8581	3.8707
K00368	Rhodobacteraceae	3	Neotabrizicola	0.2297	0.3027	0.2075	0.0868	0.0000
K00368	midas_g_8672	1	OLB9	0.0000	0.0000	0.0000	4.7023	2.9015
K00368	Phaeodactylibacter	1	UBA2329	2.5067	1.3513	1.7499	3.7016	1.8138
K00368	Phreatobacter_m	2	Phreatobacter	0.0000	0.1478	0.3040	0.1695	0.0638
K00368	Arenimonas	4	Chiayiivirga	9.5831	5.9317	8.3756	1.6838	0.4236
K00368	Rhizobiaceae	2	Mesorhizobium_A	1.8338	2.7922	2.5076	2.4880	1.8879
K00368	UBA2796_m	1	UBA2796	0.7153	0.1571	0.1077	2.1199	1.6152
K00368	JACTMZ01_m	4	JACTMZ01	0.0000	0.9008	0.6176	1.0330	0.3887
K00368	PHOS-HE28_m	2	PHOS-HE28	0.2526	0.1664	0.1141	9.3516	0.8617
K00368	UBA6663_m	1	UBA6663	1.0543	2.0761	1.0810	1.1376	1.6337
K00368	Taibaiella	1	Flavipsychrobacter	11.2589	18.3994	16.8976	7.6771	0.2148
K00368	P3OB-42	1	JAEUJQ01	4.9696	10.9139	2.9931	1.2515	0.0000
K00368	Hoeflea	1	Pseudohoeflea	0.4429	0.2918	0.0000	0.0000	0.0629
K00368	OLB10_m	1	OLB10	7.5729	0.4336	1.5842	7.9557	2.2834
K00368	Amaricoccus	1	Amaricoccus	1.1562	2.6662	1.8280	0.6552	0.4930
K00368	JALHNB01_m	2	JALHNB01	0.9216	0.6677	0.4639	1.6155	1.3644
K00368	CFX2_m	1	CFX2	8.1893	7.5936	6.5764	1.3749	0.3449
K00368	JANWYT01_m	1	JANWYT01	4.5701	4.7999	3.5595	0.0000	0.0241
K00368	GCA-2794515_m	2	GCA-2794515	4.3317	1.4761	1.8361	1.3605	0.8323
K00368	Bryobacter	3	JACTMJ01	0.5623	0.5927	0.9143	0.0000	0.0000
K00368	Luteimonas	3	Luteimonas_D	0.6877	0.5664	0.8543	1.1041	0.1466
K00368	Cephaloticoccus	1	UBA2377	3.7686	2.1282	2.4319	3.2540	0.3061
K00368	UBA2287_m	1	UBA2287	0.3356	0.2948	0.4043	1.7749	1.3992
K00368	JAIOHN01_m	1	JAIOHN01	0.4395	0.0000	0.4110	2.5254	0.4223
K00368	midas_g_1409	1	M3007	3.2831	1.2826	0.8528	1.9425	0.1074
K00368	UBA9002_m	1	UBA9002	0.1679	0.2213	0.0000	0.4440	1.0023
K00368	UBA5195_m	1	UBA5195	0.0000	0.0000	0.0000	0.1391	1.4650
K00368	JAAFHL01_m	1	JAAFHL01	2.5405	1.3819	2.7165	0.0000	13.7476
K00368	Gemmatimonas	1	JAABRT01	0.2871	0.3784	0.5188	0.0000	0.0000
K00368	2-12-FULL-35-15_m	2	2-12-FULL-35-15	1.7887	0.6743	0.3707	1.5676	0.2102
K00368	JACKCG01_m	1	JACKCG01	0.1682	0.2217	0.1013	0.3390	0.0319
K00368	JALNZU01_m	1	JALNZU01	1.6933	2.3200	3.5190	1.0477	0.4569
K00368	midas_g_6489	1	UBA6170	0.0000	0.0000	0.0000	0.2689	0.4047
K00368	Thermomonas	2	Thermomonas	0.2529	0.6664	0.8376	0.0637	0.0479
K00368	Terrimicrobium	1	QYQL01	0.0000	0.0000	0.0842	0.6339	0.6890
K00368	Anaerolinea	1	Anaerolinea	0.3112	0.0000	0.0000	0.3762	0.0708
K00368	Edaphobaculum	3	Flavipsychrobacter	0.3378	0.4451	0.6104	0.0000	0.0000
K00368	UBA8950_m	1	UBA8950	0.6089	0.1617	0.7230	3.2793	2.0545
K00368	UBA5072_m	1	UBA5072	0.0000	0.0000	0.0000	1.3847	1.7366
K00368	Shinella	1	Mesorhizobium_G	0.0863	0.4549	0.4679	0.0000	0.0000
K00368	PGYR01_m	1	PGYR01	1.4852	1.1742	0.8050	2.0197	0.1689
K00368	ELB16-189_m	1	ELB16-189	4.8170	2.6136	5.1198	0.2141	0.1611
K00368	JAEUKH01_m	1	JAEUKH01	0.1713	0.3385	0.0000	0.0000	0.4381
K00368	Vicingus_m	1	Vicingus	0.3072	0.0810	0.0555	0.7891	0.0000
K00368	Prosthecobacter	1	Prosthecobacter	1.3854	0.2080	0.2843	2.6772	0.3163
K00368	Leptolinea	1	Leptolinea	0.0000	0.0000	0.0000	0.2781	0.2093
K00368	JADLGF01_m	1	JADLGF01	0.0000	0.1419	0.0486	0.3254	0.0000
K00368	Herpetosiphon	1	Herpetosiphon	1.4156	0.0000	1.1456	0.0000	0.5900
K00368	Mariniflexile_m	1	Mariniflexile	0.9815	0.7613	0.9370	0.0868	0.0495
K00368	SCN-52-12_m	1	SCN-52-12	0.0000	0.0000	0.0000	0.1635	0.8613
K00368	Rurimicrobium	1	Flavipsychrobacter	0.5452	0.7184	1.4776	0.0000	0.0000
K00368	Flavipsychrobacter_m	1	Flavipsychrobacter	0.2738	0.2635	0.1445	0.8256	1.6151
K00368	JAKRSD01_m	1	JAKRSD01	0.0000	0.0266	0.0183	0.0153	0.2874
K00368	Xanthomonadaceae	1	Pseudoxanthomonas_B	0.0000	0.6665	0.6854	0.0649	0.0000
K00368	1-14-0-10-56-10_m	2	1-14-0-10-56-10	0.0000	0.0000	0.0000	0.6423	0.1186
K00368	JALHNF01_m	1	JALHNF01	0.7426	1.4677	1.3417	0.8415	0.0000
K00368	PJMF01_m	1		0.1074	0.0000	0.0000	0.2434	0.2442
K00370	Ca_Competibacter	6	Competibacter	779.1924	768.0744	797.4474	365.4755	175.6688
K00370	Azonexus	3	Azonexus	2.4424	2.7651	3.2011	0.7797	0.0978
K00370	Giesbergeria_m	2	Giesbergeria	2.8622	6.9145	6.2798	1.0297	0.4843
K00370	JAAEKA01_m	2	JAAEKA01	0.0000	0.4673	0.0000	2.4534	0.3498
K00370	Competibacter_A_m	1	Competibacter_A	0.7771	0.3118	0.8058	1.8963	0.8907
K00370	Villigracilis_m	4	Villigracilis	2.4618	0.5405	0.3733	16.0006	7.3667
K00370	Mesorhizobium	4	DUSC01	0.6536	0.4771	0.0000	2.5977	3.5144
K00370	Dokdonella	6	Dokdonella	3.3452	2.4795	1.3222	1.7376	0.2377
K00370	UBA5066_m	3	UBA5066	0.2774	0.3655	0.2506	0.1796	0.1126
K00370	Ottowia_m	1	Ottowia	1.4852	1.6116	0.9471	0.7920	0.7450
K00370	Rhodobacteraceae	3	Neotabrizicola	0.0846	2.2042	0.8036	0.3360	2.2277
K00370	midas_g_8672	1	OLB9	0.0000	0.0000	0.0000	7.7875	5.6836
K00370	Hydrogenophaga_m	3	Hydrogenophaga	2.2364	4.5610	4.8430	0.9928	0.3806
K00370	Desulfobacillus_m	1	Desulfobacillus	0.0684	0.0000	0.1544	0.0000	0.0000
K00370	Phreatobacter_m	2	Phreatobacter	1.5448	1.9003	1.4574	1.2192	1.2499
K00370	Arenimonas	4	Chiayiivirga	3.1401	4.0629	3.5782	0.9161	0.0196
K00370	UBA1573_m	3	UBA1573	0.3466	0.8679	0.3757	0.0000	0.0000
K00370	Rhizobiaceae	2	Mesorhizobium_A	0.4081	0.2261	0.4479	0.4352	0.5358
K00370	Rhabdaerophilum_m	1	Rhabdaerophilum	0.9242	0.0000	0.1670	1.1172	2.8374
K00370	P3OB-42	1	JAEUJQ01	1.6343	4.9693	5.1717	0.4457	0.0000
K00370	Inhella_m	2	Inhella	0.4774	0.4943	0.8318	0.1031	0.0000
K00370	Brevundimonas	2	Brevundimonas	0.2815	0.0000	0.1272	2.8712	0.1600
K00370	Bryobacter	3	JACTMJ01	2.9315	2.9752	2.1081	0.6160	0.1411
K00370	Aquimonas_m	3	Aquimonas	2.0688	1.9826	1.8691	0.1421	0.0000
K00370	UBA2400_m	1		0.0000	0.1655	0.0000	0.1897	10.6367
K00370	SHZI01_m	2	SHZI01	1.0933	1.0804	1.1938	0.4129	0.0000
K00370	Novosphingobium	1	Novosphingobium	0.0346	0.0000	0.0000	0.0261	0.7075
