locus_id	mag	bam_contig	raw_contig	start0	end	strand	subtype	hmm_score	evalue
CAN_3_bin_208__contig_31755_pilon__g6830	CAN_3_bin.208	CAN_3_bin_208::contig_31755_pilon	contig_31755_pilon	6829	9127	-	C-NosZ	724.4	1.8e-218
CAN_3_bin_216__contig_1115_pilon__g2640956	CAN_3_bin.216	CAN_3_bin_216::contig_1115_pilon	contig_1115_pilon	2640955	2642908	-	C-NosZ	741.3	1.8e-223
CAN_3_bin_221__contig_3232_pilon__g3476109	CAN_3_bin.221	CAN_3_bin_221::contig_3232_pilon	contig_3232_pilon	3476108	3478136	-	C-NosZ	712.6	7.1e-215
CAN_3_bin_227__contig_9094_pilon__g1212104	CAN_3_bin.227	CAN_3_bin_227::contig_9094_pilon	contig_9094_pilon	1212103	1214056	-	C-NosZ	712.8	5.3e-215
CAN_4_bin_103__contig_5654_pilon__g3152561	CAN_4_bin.103	CAN_4_bin_103::contig_5654_pilon	contig_5654_pilon	3152560	3154549	-	C-NosZ	642.1	2.4e-193
CAN_4_bin_107__contig_15383_pilon__g38782	CAN_4_bin.107	CAN_4_bin_107::contig_15383_pilon	contig_15383_pilon	38781	40692	-	C-NosZ	614.6	5.6e-185
CAN_4_bin_112__contig_21500_pilon__g69705	CAN_4_bin.112	CAN_4_bin_112::contig_21500_pilon	contig_21500_pilon	69704	71696	-	C-NosZ	716.3	4.8e-216
CAN_4_bin_166__contig_5922_pilon__g1730311	CAN_4_bin.166	CAN_4_bin_166::contig_5922_pilon	contig_5922_pilon	1730310	1732263	+	C-NosZ	732.1	8.4e-221
CAN_4_bin_195__contig_4623_pilon__g1877	CAN_4_bin.195	CAN_4_bin_195::contig_4623_pilon	contig_4623_pilon	1876	4165	+	C-NosZ	715.0	1.4e-215
CAN_4_bin_197__contig_3417_pilon__g259707	CAN_4_bin.197	CAN_4_bin_197::contig_3417_pilon	contig_3417_pilon	259706	261680	-	C-NosZ	715.9	6.5e-216
CAN_4_bin_208__contig_17884_pilon__g28038	CAN_4_bin.208	CAN_4_bin_208::contig_17884_pilon	contig_17884_pilon	28037	30335	-	C-NosZ	723.6	2.9e-218
CAN_4_bin_220__contig_7059_pilon__g156603	CAN_4_bin.220	CAN_4_bin_220::contig_7059_pilon	contig_7059_pilon	156602	158894	+	C-NosZ	701.1	2.4e-211
CAN_4_bin_225__contig_21552_pilon__g105889	CAN_4_bin.225	CAN_4_bin_225::contig_21552_pilon	contig_21552_pilon	105888	108156	-	C-NosZ	715.7	8.6e-216
CAN_4_bin_236__contig_3802_pilon__g30604	CAN_4_bin.236	CAN_4_bin_236::contig_3802_pilon	contig_3802_pilon	30603	32568	-	C-NosZ	724.5	1.7e-218
CAN_4_bin_238__contig_21236_pilon__g138949	CAN_4_bin.238	CAN_4_bin_238::contig_21236_pilon	contig_21236_pilon	138948	140931	-	C-NosZ	713.9	3.8e-215
CAN_4_bin_25__contig_10871_pilon__g509673	CAN_4_bin.25	CAN_4_bin_25::contig_10871_pilon	contig_10871_pilon	509672	511607	+	C-NosZ	738.8	9.4e-223
CAN_4_bin_44__contig_2274_pilon__g615036	CAN_4_bin.44	CAN_4_bin_44::contig_2274_pilon	contig_2274_pilon	615035	616949	+	C-NosZ	770.5	3.4e-232
CAN_4_bin_64__contig_20493_pilon__g13425	CAN_4_bin.64	CAN_4_bin_64::contig_20493_pilon	contig_20493_pilon	13424	15722	+	C-NosZ	717.6	2.2e-216
CAN_5_bin_100__contig_180_pilon__g105473	CAN_5_bin.100	CAN_5_bin_100::contig_180_pilon	contig_180_pilon	105472	107413	-	C-NosZ	732.4	5.8e-221
CAN_5_bin_112__contig_1439_pilon__g1178615	CAN_5_bin.112	CAN_5_bin_112::contig_1439_pilon	contig_1439_pilon	1178614	1180618	-	C-NosZ	717.5	2.3e-216
CAN_5_bin_145__contig_6625_pilon__g2027547	CAN_5_bin.145	CAN_5_bin_145::contig_6625_pilon	contig_6625_pilon	2027546	2029535	+	C-NosZ	720.0	4.5e-217
CAN_5_bin_147__contig_1541_pilon__g2920715	CAN_5_bin.147	CAN_5_bin_147::contig_1541_pilon	contig_1541_pilon	2920714	2922703	-	C-NosZ	705.4	9.8e-213
CAN_5_bin_167__contig_5668_pilon__g29968	CAN_5_bin.167	CAN_5_bin_167::contig_5668_pilon	contig_5668_pilon	29967	31977	-	C-NosZ	718.4	1.1e-216
CAN_5_bin_40__contig_15328_pilon__g31468	CAN_5_bin.40	CAN_5_bin_40::contig_15328_pilon	contig_15328_pilon	31467	33399	+	C-NosZ	758.3	1.0e-228
CAN_5_bin_62__contig_18830_pilon__g31084	CAN_5_bin.62	CAN_5_bin_62::contig_18830_pilon	contig_18830_pilon	31083	33111	+	C-NosZ	685.1	2.5e-206
CAN_5_bin_70__contig_4019_pilon__g62656	CAN_5_bin.70	CAN_5_bin_70::contig_4019_pilon	contig_4019_pilon	62655	64941	-	C-NosZ	718.1	1.6e-216
coasm_bin_10__contig_6075_pilon__g738121	coasm_bin.10	coasm_bin_10::contig_6075_pilon	contig_6075_pilon	738120	740145	-	C-NosZ	676.8	7.0e-204
coasm_bin_105__contig_51181_pilon__g20663	coasm_bin.105	coasm_bin_105::contig_51181_pilon	contig_51181_pilon	20662	22087	-	C-NosZ	599.0	1.8e-180
coasm_bin_108__contig_34616_pilon__g31634	coasm_bin.108	coasm_bin_108::contig_34616_pilon	contig_34616_pilon	31633	33586	+	C-NosZ	739.0	8.1e-223
coasm_bin_110__contig_52774_pilon__g1	coasm_bin.110	coasm_bin_110::contig_52774_pilon	contig_52774_pilon	0	1863	-	C-NosZ	626.4	9.8e-189
coasm_bin_114__contig_18801_pilon__g32663	coasm_bin.114	coasm_bin_114::contig_18801_pilon	contig_18801_pilon	32662	34651	-	C-NosZ	715.9	7.6e-216
coasm_bin_121__contig_26880_pilon__g70536	coasm_bin.121	coasm_bin_121::contig_26880_pilon	contig_26880_pilon	70535	72527	+	C-NosZ	711.4	1.4e-214
coasm_bin_132__contig_13513_pilon__g2391197	coasm_bin.132	coasm_bin_132::contig_13513_pilon	contig_13513_pilon	2391196	2393167	+	C-NosZ	709.6	6.4e-214
coasm_bin_139__contig_59195_pilon__g24314	coasm_bin.139	coasm_bin_139::contig_59195_pilon	contig_59195_pilon	24313	26278	-	C-NosZ	671.2	3.3e-202
coasm_bin_142__contig_61138_pilon__g124353	coasm_bin.142	coasm_bin_142::contig_61138_pilon	contig_61138_pilon	124352	126338	+	C-NosZ	714.8	1.3e-215
coasm_bin_15__contig_19815_pilon__g118978	coasm_bin.15	coasm_bin_15::contig_19815_pilon	contig_19815_pilon	118977	121269	+	C-NosZ	714.8	2.0e-215
coasm_bin_153__contig_9947_pilon__g276304	coasm_bin.153	coasm_bin_153::contig_9947_pilon	contig_9947_pilon	276303	278391	-	C-NosZ	650.9	3.3e-196
coasm_bin_156__contig_12794_pilon__g974364	coasm_bin.156	coasm_bin_156::contig_12794_pilon	contig_12794_pilon	974363	976343	-	C-NosZ	709.8	8.8e-214
coasm_bin_157__contig_32105_pilon__g11741	coasm_bin.157	coasm_bin_157::contig_32105_pilon	contig_32105_pilon	11740	13678	+	C-NosZ	739.9	3.1e-223
coasm_bin_171__contig_42433_pilon__g121199	coasm_bin.171	coasm_bin_171::contig_42433_pilon	contig_42433_pilon	121198	123136	-	C-NosZ	746.4	5.0e-225
coasm_bin_178__contig_12716_pilon__g107901	coasm_bin.178	coasm_bin_178::contig_12716_pilon	contig_12716_pilon	107900	109259	-	C-NosZ	423.8	3.0e-127
coasm_bin_181__contig_53337_pilon__g7950	coasm_bin.181	coasm_bin_181::contig_53337_pilon	contig_53337_pilon	7949	9062	-	C-NosZ	373.3	5.4e-112
coasm_bin_181__contig_12380_pilon__g17930	coasm_bin.181	coasm_bin_181::contig_12380_pilon	contig_12380_pilon	17929	18838	-	C-NosZ	355.6	1.2e-106
coasm_bin_181__contig_12380_pilon__g18793	coasm_bin.181	coasm_bin_181::contig_12380_pilon	contig_12380_pilon	18792	19905	-	C-NosZ	260.1	9.9e-78
coasm_bin_183__contig_62262_pilon__g20585	coasm_bin.183	coasm_bin_183::contig_62262_pilon	contig_62262_pilon	20584	22726	+	C-NosZ	698.3	1.7e-210
coasm_bin_185__contig_2971_pilon__g23111	coasm_bin.185	coasm_bin_185::contig_2971_pilon	contig_2971_pilon	23110	25408	+	C-NosZ	719.7	5.7e-217
coasm_bin_196__contig_5554_pilon__g86684	coasm_bin.196	coasm_bin_196::contig_5554_pilon	contig_5554_pilon	86683	88621	+	C-NosZ	805.7	5.6e-243
coasm_bin_196__contig_50271_pilon__g45289	coasm_bin.196	coasm_bin_196::contig_50271_pilon	contig_50271_pilon	45288	47580	+	C-NosZ	698.9	1.3e-210
coasm_bin_202__contig_48293_pilon__g25377	coasm_bin.202	coasm_bin_202::contig_48293_pilon	contig_48293_pilon	25376	27311	-	C-NosZ	759.8	3.8e-229
coasm_bin_203__contig_8862_pilon__g18689	coasm_bin.203	coasm_bin_203::contig_8862_pilon	contig_8862_pilon	18688	20662	+	C-NosZ	737.6	2.4e-222
coasm_bin_203__contig_44546_pilon__g4206	coasm_bin.203	coasm_bin_203::contig_44546_pilon	contig_44546_pilon	4205	4673	+	C-NosZ	167.0	1.4e-49
coasm_bin_208__contig_40293_pilon__g8139	coasm_bin.208	coasm_bin_208::contig_40293_pilon	contig_40293_pilon	8138	10079	-	C-NosZ	753.5	4.1e-227
coasm_bin_213__contig_58971_pilon__g19447	coasm_bin.213	coasm_bin_213::contig_58971_pilon	contig_58971_pilon	19446	21420	-	C-NosZ	724.1	2.2e-218
coasm_bin_214__contig_35828_pilon__g27680	coasm_bin.214	coasm_bin_214::contig_35828_pilon	contig_35828_pilon	27679	29971	+	C-NosZ	718.0	1.5e-216
coasm_bin_222__contig_2019_pilon__g318143	coasm_bin.222	coasm_bin_222::contig_2019_pilon	contig_2019_pilon	318142	320092	-	C-NosZ	741.2	1.9e-223
coasm_bin_233__contig_58993_pilon__g48147	coasm_bin.233	coasm_bin_233::contig_58993_pilon	contig_58993_pilon	48146	50084	-	C-NosZ	744.2	1.5e-224
coasm_bin_238__contig_15862_pilon__g102272	coasm_bin.238	coasm_bin_238::contig_15862_pilon	contig_15862_pilon	102271	103132	+	C-NosZ	358.7	4.8e-108
coasm_bin_238__contig_15862_pilon__g101112	coasm_bin.238	coasm_bin_238::contig_15862_pilon	contig_15862_pilon	101111	102272	+	C-NosZ	316.1	4.0e-95
coasm_bin_246__contig_10496_pilon__g22404	coasm_bin.246	coasm_bin_246::contig_10496_pilon	contig_10496_pilon	22403	24419	+	C-NosZ	624.7	2.7e-188
coasm_bin_246__contig_10496_pilon__g18555	coasm_bin.246	coasm_bin_246::contig_10496_pilon	contig_10496_pilon	18554	19694	+	C-NosZ	372.4	6.4e-112
coasm_bin_248__contig_60309_pilon__g108076	coasm_bin.248	coasm_bin_248::contig_60309_pilon	contig_60309_pilon	108075	110028	-	C-NosZ	758.5	1.2e-228
coasm_bin_248__contig_32176_pilon__g34344	coasm_bin.248	coasm_bin_248::contig_32176_pilon	contig_32176_pilon	34343	36284	+	C-NosZ	752.7	6.5e-227
coasm_bin_249__contig_60339_pilon__g73312	coasm_bin.249	coasm_bin_249::contig_60339_pilon	contig_60339_pilon	73311	75243	-	C-NosZ	761.2	1.5e-229
coasm_bin_250__contig_2873_pilon__g278082	coasm_bin.250	coasm_bin_250::contig_2873_pilon	contig_2873_pilon	278081	280379	+	C-NosZ	725.5	1.0e-218
coasm_bin_256__contig_59740_pilon__g15373	coasm_bin.256	coasm_bin_256::contig_59740_pilon	contig_59740_pilon	15372	17655	-	C-NosZ	720.9	2.2e-217
coasm_bin_259__contig_53215_pilon__g2229	coasm_bin.259	coasm_bin_259::contig_53215_pilon	contig_53215_pilon	2228	4190	+	C-NosZ	706.3	4.5e-213
coasm_bin_260__contig_9348_pilon__g545333	coasm_bin.260	coasm_bin_260::contig_9348_pilon	contig_9348_pilon	545332	547309	-	C-NosZ	673.4	7.9e-203
coasm_bin_268__contig_56871_pilon__g160019	coasm_bin.268	coasm_bin_268::contig_56871_pilon	contig_56871_pilon	160018	161992	+	C-NosZ	726.2	4.7e-219
coasm_bin_286__contig_58492_pilon__g83995	coasm_bin.286	coasm_bin_286::contig_58492_pilon	contig_58492_pilon	83994	85980	+	C-NosZ	720.6	2.9e-217
coasm_bin_31__contig_3566_pilon__g1400973	coasm_bin.31	coasm_bin_31::contig_3566_pilon	contig_3566_pilon	1400972	1402916	+	C-NosZ	749.9	5.3e-226
coasm_bin_312__contig_62613_pilon__g61761	coasm_bin.312	coasm_bin_312::contig_62613_pilon	contig_62613_pilon	61760	62372	-	C-NosZ	214.5	5.3e-64
coasm_bin_312__contig_62613_pilon__g63130	coasm_bin.312	coasm_bin_312::contig_62613_pilon	contig_62613_pilon	63129	63756	-	C-NosZ	203.2	1.3e-60
coasm_bin_312__contig_62613_pilon__g62481	coasm_bin.312	coasm_bin_312::contig_62613_pilon	contig_62613_pilon	62480	63083	-	L-NosZ	168.3	4.9e-50
coasm_bin_313__contig_33514_pilon__g14398	coasm_bin.313	coasm_bin_313::contig_33514_pilon	contig_33514_pilon	14397	16392	-	C-NosZ	654.2	5.0e-197
coasm_bin_314__contig_41358_pilon__g116663	coasm_bin.314	coasm_bin_314::contig_41358_pilon	contig_41358_pilon	116662	118606	-	C-NosZ	715.1	1.9e-215
coasm_bin_318__contig_59797_pilon__g33225	coasm_bin.318	coasm_bin_318::contig_59797_pilon	contig_59797_pilon	33224	34643	+	C-NosZ	524.8	6.9e-158
coasm_bin_318__contig_59797_pilon__g34689	coasm_bin.318	coasm_bin_318::contig_59797_pilon	contig_59797_pilon	34688	35093	+	C-NosZ	163.8	1.4e-48
coasm_bin_320__contig_53505_pilon__g10522	coasm_bin.320	coasm_bin_320::contig_53505_pilon	contig_53505_pilon	10521	12360	-	C-NosZ	648.6	1.3e-195
coasm_bin_322__contig_29718_pilon__g44554	coasm_bin.322	coasm_bin_322::contig_29718_pilon	contig_29718_pilon	44553	46539	+	C-NosZ	721.5	1.2e-217
coasm_bin_335__contig_6714_pilon__g69072	coasm_bin.335	coasm_bin_335::contig_6714_pilon	contig_6714_pilon	69071	71009	-	C-NosZ	740.3	3.7e-223
coasm_bin_340__contig_25192_pilon__g39343	coasm_bin.340	coasm_bin_340::contig_25192_pilon	contig_25192_pilon	39342	41268	+	C-NosZ	825.0	7.5e-249
coasm_bin_347__contig_35836_pilon__g92168	coasm_bin.347	coasm_bin_347::contig_35836_pilon	contig_35836_pilon	92167	94465	-	C-NosZ	721.1	2.8e-217
coasm_bin_348__contig_6311_pilon__g1960892	coasm_bin.348	coasm_bin_348::contig_6311_pilon	contig_6311_pilon	1960891	1963168	-	C-NosZ	706.9	7.7e-213
coasm_bin_350__contig_11599_pilon__g65172	coasm_bin.350	coasm_bin_350::contig_11599_pilon	contig_11599_pilon	65171	67325	+	C-NosZ	657.7	3.0e-198
coasm_bin_358__contig_30729_pilon__g17251	coasm_bin.358	coasm_bin_358::contig_30729_pilon	contig_30729_pilon	17250	19329	-	C-NosZ	649.6	8.8e-196
coasm_bin_362__contig_46179_pilon__g23146	coasm_bin.362	coasm_bin_362::contig_46179_pilon	contig_46179_pilon	23145	23910	+	C-NosZ	241.3	5.4e-72
coasm_bin_364__contig_19213_pilon__g3140592	coasm_bin.364	coasm_bin_364::contig_19213_pilon	contig_19213_pilon	3140591	3142568	+	C-NosZ	724.2	2.0e-218
coasm_bin_365__contig_29115_pilon__g1399649	coasm_bin.365	coasm_bin_365::contig_29115_pilon	contig_29115_pilon	1399648	1401595	-	C-NosZ	749.6	4.5e-226
coasm_bin_373__contig_12727_pilon__g337202	coasm_bin.373	coasm_bin_373::contig_12727_pilon	contig_12727_pilon	337201	339211	+	C-NosZ	697.7	2.9e-210
coasm_bin_392__contig_61242_pilon__g22387	coasm_bin.392	coasm_bin_392::contig_61242_pilon	contig_61242_pilon	22386	24315	+	C-NosZ	763.0	5.0e-230
coasm_bin_393__contig_62164_pilon__g14557	coasm_bin.393	coasm_bin_393::contig_62164_pilon	contig_62164_pilon	14556	15348	+	C-NosZ	239.6	1.5e-71
coasm_bin_393__contig_62164_pilon__g15460	coasm_bin.393	coasm_bin_393::contig_62164_pilon	contig_62164_pilon	15459	15732	+	C-NosZ	128.3	7.2e-38
coasm_bin_393__contig_62164_pilon__g15900	coasm_bin.393	coasm_bin_393::contig_62164_pilon	contig_62164_pilon	15899	16217	+	C-NosZ	124.6	9.6e-37
coasm_bin_394__contig_8321_pilon__g1728	coasm_bin.394	coasm_bin_394::contig_8321_pilon	contig_8321_pilon	1727	3686	+	C-NosZ	760.7	3.6e-229
coasm_bin_399__contig_14298_pilon__g1071129	coasm_bin.399	coasm_bin_399::contig_14298_pilon	contig_14298_pilon	1071128	1073078	-	C-NosZ	828.5	7.9e-250
coasm_bin_40__contig_7814_pilon__g1148643	coasm_bin.40	coasm_bin_40::contig_7814_pilon	contig_7814_pilon	1148642	1150631	-	C-NosZ	714.0	2.1e-215
coasm_bin_420__contig_59792_pilon__g185833	coasm_bin.420	coasm_bin_420::contig_59792_pilon	contig_59792_pilon	185832	187788	-	C-NosZ	767.5	2.6e-231
coasm_bin_425__contig_59333_pilon__g3024490	coasm_bin.425	coasm_bin_425::contig_59333_pilon	contig_59333_pilon	3024489	3026520	-	C-NosZ	713.1	4.4e-215
coasm_bin_441__contig_4727_pilon__g746425	coasm_bin.441	coasm_bin_441::contig_4727_pilon	contig_4727_pilon	746424	748377	+	C-NosZ	723.8	2.8e-218
coasm_bin_466__contig_31330_pilon__g54513	coasm_bin.466	coasm_bin_466::contig_31330_pilon	contig_31330_pilon	54512	56522	+	C-NosZ	716.5	5.0e-216
coasm_bin_468__contig_39176_pilon__g12004	coasm_bin.468	coasm_bin_468::contig_39176_pilon	contig_39176_pilon	12003	13920	-	C-NosZ	691.3	1.8e-208
coasm_bin_47__contig_12371_pilon__g31538	coasm_bin.47	coasm_bin_47::contig_12371_pilon	contig_12371_pilon	31537	33526	+	C-NosZ	681.0	4.0e-205
coasm_bin_481__contig_7991_pilon__g191061	coasm_bin.481	coasm_bin_481::contig_7991_pilon	contig_7991_pilon	191060	193094	+	C-NosZ	673.7	6.6e-203
coasm_bin_482__contig_44997_pilon__g2898227	coasm_bin.482	coasm_bin_482::contig_44997_pilon	contig_44997_pilon	2898226	2900179	-	C-NosZ	714.3	2.0e-215
coasm_bin_484__contig_5704_pilon__g552366	coasm_bin.484	coasm_bin_484::contig_5704_pilon	contig_5704_pilon	552365	554663	+	C-NosZ	698.5	1.2e-210
coasm_bin_492__contig_42928_pilon__g16826	coasm_bin.492	coasm_bin_492::contig_42928_pilon	contig_42928_pilon	16825	18295	+	C-NosZ	500.8	1.1e-150
coasm_bin_492__contig_42928_pilon__g18292	coasm_bin.492	coasm_bin_492::contig_42928_pilon	contig_42928_pilon	18291	18699	+	C-NosZ	118.0	9.1e-35
coasm_bin_497__contig_19386_pilon__g200937	coasm_bin.497	coasm_bin_497::contig_19386_pilon	contig_19386_pilon	200936	202838	-	C-NosZ	812.4	4.7e-245
coasm_bin_51__contig_4728_pilon__g812883	coasm_bin.51	coasm_bin_51::contig_4728_pilon	contig_4728_pilon	812882	814817	-	C-NosZ	761.0	2.1e-229
coasm_bin_514__contig_53870_pilon__g106728	coasm_bin.514	coasm_bin_514::contig_53870_pilon	contig_53870_pilon	106727	108689	+	C-NosZ	750.0	4.1e-226
coasm_bin_521__contig_25474_pilon__g7856	coasm_bin.521	coasm_bin_521::contig_25474_pilon	contig_25474_pilon	7855	9835	+	C-NosZ	719.8	4.1e-217
coasm_bin_529__contig_10309_pilon__g2423	coasm_bin.529	coasm_bin_529::contig_10309_pilon	contig_10309_pilon	2422	4363	+	C-NosZ	731.8	1.3e-220
coasm_bin_529__contig_46596_pilon__g3060	coasm_bin.529	coasm_bin_529::contig_46596_pilon	contig_46596_pilon	3059	5357	+	C-NosZ	718.2	1.6e-216
coasm_bin_53__contig_7194_pilon__g601682	coasm_bin.53	coasm_bin_53::contig_7194_pilon	contig_7194_pilon	601681	603670	+	C-NosZ	708.3	1.4e-213
coasm_bin_538__contig_60728_pilon__g157433	coasm_bin.538	coasm_bin_538::contig_60728_pilon	contig_60728_pilon	157432	159187	+	C-NosZ	814.3	1.4e-245
coasm_bin_539__contig_6624_pilon__g2625431	coasm_bin.539	coasm_bin_539::contig_6624_pilon	contig_6624_pilon	2625430	2627407	+	C-NosZ	726.7	3.3e-219
coasm_bin_54__contig_32379_pilon__g42358	coasm_bin.54	coasm_bin_54::contig_32379_pilon	contig_32379_pilon	42357	44433	+	C-NosZ	645.8	9.3e-195
coasm_bin_543__contig_11244_pilon__g2025782	coasm_bin.543	coasm_bin_543::contig_11244_pilon	contig_11244_pilon	2025781	2027776	+	C-NosZ	674.0	6.1e-203
coasm_bin_548__contig_32964_pilon__g8022	coasm_bin.548	coasm_bin_548::contig_32964_pilon	contig_32964_pilon	8021	10016	+	C-NosZ	720.1	3.8e-217
coasm_bin_55__contig_60669_pilon__g252166	coasm_bin.55	coasm_bin_55::contig_60669_pilon	contig_60669_pilon	252165	254097	+	C-NosZ	754.4	1.8e-227
coasm_bin_551__contig_19342_pilon__g439773	coasm_bin.551	coasm_bin_551::contig_19342_pilon	contig_19342_pilon	439772	441749	+	C-NosZ	698.2	1.8e-210
coasm_bin_555__contig_4260_pilon__g953006	coasm_bin.555	coasm_bin_555::contig_4260_pilon	contig_4260_pilon	953005	954919	-	C-NosZ	779.4	5.8e-235
coasm_bin_578__contig_21031_pilon__g2378689	coasm_bin.578	coasm_bin_578::contig_21031_pilon	contig_21031_pilon	2378688	2380605	+	C-NosZ	681.4	1.9e-205
coasm_bin_579__contig_15826_pilon__g2953067	coasm_bin.579	coasm_bin_579::contig_15826_pilon	contig_15826_pilon	2953066	2955043	-	C-NosZ	705.7	8.9e-213
coasm_bin_61__contig_58584_pilon__g418987	coasm_bin.61	coasm_bin_61::contig_58584_pilon	contig_58584_pilon	418986	420981	+	C-NosZ	721.0	1.9e-217
